IRN,DISTRICT,COUNTY,COUNTY NUMBER,DISTRICT TYPE,CALCULATED OPPORTUNITY GRANT,CAPPED OPPORTUNITY GRANT,CALCULATED TARGETED ASSISTANCE,CAPPED TARGETED ASSISTANCE,CALCULATED K-3 LITERACY FUNDING,CAPPED K-3 LITERACY FUNDING,CALCULATED ECONOMIC DISADVANTAGED FUNDING,CAPPED ECONOMIC DISADVANTAGED FUNDING,CALCULATED LIMITED ENGLISH PROFICIENCY FUNDING,CAPPED LIMITED ENGLISH PROFICIENCY FUNDING,CALCULATED GIFTED EDUCATION FUNDING,CAPPED GIFTED EDUCATION FUNDING,CALCULATED TRANSPORTATION FUNDING,CAPPED TRANSPORTATION FUNDING,CALCULATED SPECIAL EDUCATION ADDITIONAL FUNDING,CAPPED SPECIAL EDUCATION ADDITIONAL FUNDING,CALCULATED CAREER TECH EDUCATION FUNDING,CAPPED CAREER TECH EDUCATION FUNDING,CALCULATED FUNDING BEFORE GUARANTEE,CAPPED FUNDING BEFORE GUARANTEE,TRANSITIONAL GUARANTEE BASE,TRANSITIONAL GUARANTEE,TOTAL CALCULATED STATE FUNDING,PRESCHOOL SPECIAL EDUCATION FUNDING,SPECIAL EDUCATION TRANSPORTATION FUNDING,TOTAL ADDITIONAL AID ITEMS,EDUCATION SERVICE CENTER TRANSFER,OPEN ENROLLMENT ADJUSTMENT,COMMUNITY SCHOOL TRANSFER,STEM SCHOOL TRANSFER,SCHOLARSHIP TRANSFER,OTHER ADJUSTMENTS,TOTAL TRANSFERS & ADJUSTMENTS,NET STATE FOUNDATION FUNDING,STATEWIDE TOTAL ADM,STATEWIDE FORMULA ADM,STATEWIDE ECONOMIC DISADVANTAGED RATIO,STATEWIDE MEDIAN INCOME,STATEWIDE 3 YEAR AVERAGE VALUATION,STATEWIDE 3 YEAR AVERAGE ADJUSTED VALUATION,STATEWIDE 3 YEAR FEDERAL GROSS INCOME,ADJUSTED TOTAL ADM,TOTAL ADM,TUITION KINDERGARTEN ADM,JOINTURE JVS ADM,FORMULA ADM,CATEGORY 1 SPECIAL EDUCATION ADM,CATEGORY 2 SPECIAL EDUCATION ADM,CATEGORY 3 SPECIAL EDUCATION ADM,CATEGORY 4 SPECIAL EDUCATION ADM,CATEGORY 5 SPECIAL EDUCATION ADM,CATEGORY 6 SPECIAL EDUCATION ADM,CATEGORY 1 CAREER TECH FTE,CATEGORY 2 CAREER TECH FTE,CATEGORY 3 CAREER TECH FTE,CATEGORY 4 CAREER TECH FTE,CATEGORY 5 CAREER TECH FTE,CATEGORY 1 LEP ADM,CATEGORY 2 LEP ADM,CATEGORY 3 LEP ADM,K-3 FORMULA ADM,K-3 E-SCHOOL FORMULA ADM,PRESCHOOL AUTISM SCHOLARSHIP ADM,BRICK & MORTAR & STEM SCHOOL ADM,E-SCHOOL FORMULA ADM,NET FORMULA ADM,JON PETERSON SCHOLARSHIP ADM,AUTISM SCHOLARSHIP ADM,EDCHOICE SCHOLARSHIP ADM,ECONOMIC DISADVANTAGED ADM,ECONOMIC DISADVANTAGED RATIO,3 YEAR AVERAGE FEDERAL GROSS INCOME,3 YEAR AVERAGE TOTAL REAL VALUATION,3 YEAR AVERAGE AGRICULTURAL REAL VALUATION,3 YEAR AVERAGE ADJSUTED TOTAL VALUATION,3 YEAR AVERAGE TOTAL VALUATION,EXEMPT PROPERTY VALUATION,POTENTIAL PROPERTY VALUATION,MEDIAN INCOME TY11,STATE SHARE INDEX,ECONIMC DISADVANTAGED INDEX,INCOMING OPEN ENROLLMENT ADM,OUTGOING OPEN ENROLLMENT ADM,RESIDENT COMMUNITY SCHOOL ADM,RESIDENT SPECIAL ED PRESCHOOL CATEGORY 1 ADM,RESIDENT SPECIAL ED PRESCHOOL CATEGORY 2 ADM,RESIDENT SPECIAL ED PRESCHOOL CATEGORY 3 ADM,RESIDENT SPECIAL ED PRESCHOOL CATEGORY 4 ADM,RESIDENT SPECIAL ED PRESCHOOL CATEGORY 5 ADM,RESIDENT SPECIAL ED PRESCHOOL CATEGORY 6 ADM
44008,Franklin City SD,Warren,83,1,7456503.12,6186964.87,825509.58,684958.98,115811.29,96093.35,368243.73,305546.85,5734.63,4758.26,138378.45,114818.24,475183.21,394278.9,1327912.14,1327912.14,19870.5,19870.5,10733146.65,9135202.09,8597837.26,0,9135202.09,129776.01,92447.18,222223.19,-19133.86,385254.92,-1000804.82,0,-124744,-2947.93,-762375.69,8595049.59,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,2991.53,2991.53,0,132.3,2885.69,50.5,297.87,15.8,1,31,43.86,0,0.36,3.29,0,25.48,5,4,1,823.78,9.48,0,31.76,94.16,2763.71,4,0,0,1400.24,0.468068179,372836115,416668567,6496860,435772499,435772499,83420170,519192670,29890,0.449775191,1.01320095,156.12,82.9,130.16,12,16,0,0,0,0
44016,Fremont City SD,Sandusky,72,1,12365419.54,8444006.96,1878434.51,1282731.58,207854.21,141937.96,931550.98,636130.7,85270.58,58228.95,209912.65,143343.61,853190.98,582620.8,1595379.61,1595379.61,8699.08,8699.08,18135712.14,12893079.25,12134662.8,0,12893079.25,388421.16,85433.43,473854.59,-2339093.67,-825909.67,-714652.89,0,-263412,-116269.93,-4259338.16,9107595.68,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,4453.82,4453.82,0,171.61,4316.53,144.8,372.15,32.64,2,24,34.5,0.99,2.3,0,0,1.16,21,95.5,42.76,1415.2,13.9,0,46.26,70.78,4181.55,28.5,1,0,2474.77,0.555651104,580512579,543571690,43680580,571746393,571746393,84672240,656418633,28375,0.498636493,1.427847144,69.96,213.11,110.07,32,25,1,3,7,4
44024,Galion City SD,Crawford,17,1,8553960.53,6384090.4,1860459.91,1388519.88,109982.1,82083.11,467037.87,348565.09,4164.41,3108.03,94785.8,70741.63,446690.97,333379.55,1524990.8,1524990.8,8693.99,8693.99,13070766.38,10144172.48,9547456.45,0,10144172.48,215881.1,59584.17,275465.27,-577800.2,-504433.96,-820278.93,0,-31124,-80746.59,-2014383.68,8405254.07,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,2138.4,2138.4,0,159.05,2011.16,44.5,230.41,23.71,2.75,30.24,14.87,0.59,0.22,3.14,0,1.32,0,8,0,626.37,10.37,0,14.41,105.13,1894.22,1,0,0,1222.67,0.571768612,217765333,168807627,8852440,171201740,171201740,22287840,193489580,26989,0.740338929,1.511882273,86.39,181.95,115.93,6,22,0,0,3,3
44032,Gallipolis City SD,Gallia,27,1,6528340.93,6528340.93,1227428.5,1227428.5,102305.68,102305.68,389553.46,389553.46,0,0,100152.85,100152.85,759495.04,759495.04,1246566.17,1246566.17,7944.06,7944.06,10361786.69,10361786.69,11574911.79,1213125.1,11574911.79,200073.51,34197.93,234271.44,-83818.81,431166.59,-281924.7,0,0,-52387.77,13035.31,11822218.54,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,2124.39,2124.39,0,94.77,2048.57,83,233.72,20,0,29.4,23,2.28,0,0,0,2.09,0,0,0,666.5,7.9,0,0,41.68,2006.89,0,0,0,1131.37,0.532562288,260936691,233612030,29724663,246304520,246304520,69588520,315893040,27764,0.554704878,1.311650634,209.74,132.75,43.31,24,9,3,1,0,2
44040,Garfield Heights City SD,Cuyahoga,18,1,15092518.11,11340861.93,2619126.44,1968071.27,183274.28,137716.47,1683642.92,1265127.64,19654.21,14768.62,186055.3,139806.19,511258.42,384171.22,2372590.47,2372590.47,17112.74,17112.74,22685232.89,17640226.55,16602566.17,0,17640226.55,129447.25,80157.58,209604.83,-22328.22,-393414,-2332996.18,0,-178637,-18724.2,-2946099.6,14903731.78,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,4141.86,4142.36,1,103.5,4059.06,27.02,416.71,49.5,4,38.9,36.5,0.99,0,11.23,0.12,0.19,0,28,0,1111.45,13.22,1,227.85,135.66,3716.01,1.5,1,35,2884.39,0.696315627,431035695,395876543,0,406331536,406331536,74487380,480818917,28263,0.647052055,2.242278939,0,67.5,341.73,1,18,1,0,0,2
44057,Geneva Area City SD,Ashtabula,4,1,6257785.51,6257785.51,705865.75,705865.75,87358.9,87358.9,360406.2,360406.2,28817.34,28817.34,114389.5,114389.5,631075.07,631075.07,777159.68,777159.68,23495.76,23495.76,8986353.71,8986353.71,11363821.24,2377467.53,11363821.24,149948.08,79924.45,229872.53,-16835.46,825467.55,-695540.64,0,0,-6889.51,106201.94,11699895.71,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,2424.3,2424.3,0,55.5,2379.9,40.5,199,22.8,4,8,20,0.7,0,21.41,0,5.41,6.5,37.3,15,625.18,15.18,0,5,84,2292.15,0,0,0,1210.76,0.499426639,352396450,342030390,51788097,350882256,350882256,33791150,384673407,28789,0.457690535,1.153508399,247.91,97.2,93.85,11,19,0,0,0,1
44065,Girard City SD,Trumbull,78,1,7389112.25,5657518.12,1419645.89,1086960.39,85690.31,65609.3,416908.53,319208.52,0,0,83731.1,64109.22,560206.56,428925.51,1076146.75,1076146.75,3709.46,3709.46,11035150.85,8702187.27,8190293.9,0,8702187.27,76687.46,0,76687.46,-518320.24,296467.5,-390740.74,0,-74458,-53339.52,-740391,8038483.73,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,1750.06,1750.06,0,32.3,1724.22,43,149.27,13.41,1,7,22.89,0,0,2.57,0,0.11,0,0,0,479.33,1.13,0.93,17.55,33.82,1674.34,1,2.82,0,1016.05,0.580580094,189878088,129112437,332163,138349080,138349080,8740590,147089670,25059,0.745547586,1.558840342,132,78,46.39,8,5,0,0,0,1
44073,Grandview Heights City SD,Franklin,25,1,484652.07,484652.07,0,0,28441.34,28441.34,2107.02,2107.02,1153.49,1153.49,58993,58993,0,0,50007.25,50007.25,854.1,854.1,626208.27,626208.27,1483967.91,857759.64,1483967.91,8300.74,26832.55,35133.29,-6859.06,0,-106648.09,-63618.45,-52500,-27599.75,-257225.35,1261875.85,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,1068.6,1068.6,0,0,1068.6,13.6,41.1,11.3,0,1,13.8,0.98,1.26,0,0,0,4.5,7,0,297.7,1,1,20.1,6,1047.52,0,1,0,125.6,0.117536964,301997555,274842037,0,283228446,283228446,21853990,305082437,46848,0.078871236,0.06388903,0,0,25.36,0,2,0,0,0,0
44081,Winton Woods City SD,Hamilton,31,1,10517878.84,9115236.4,808673.18,700830.2,181364.89,157178.45,1489566.11,1290920.67,212392.82,184068.55,166062.95,143917.14,1122158.23,972509.54,1740025.2,1740025.2,6450.06,6450.06,16244572.28,14311136.21,13469304.68,0,14311136.21,90843.86,190864.63,281708.49,-21974.81,58348.97,-2634817.51,0,-344417,-622.37,-2943482.72,11649361.98,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,3804.57,3804.57,0,147.47,3686.59,99.96,324.22,42.22,3,48.4,36.57,0.38,0.49,4.58,0.12,0,73.8,234.18,71.38,1249.18,24.37,0,278.01,118.58,3332.01,25.72,1.77,0,2611.48,0.686406085,584029528,470187190,640407,484963980,484963980,56666390,541630370,32066,0.496607518,2.178911564,147.21,124.38,385.48,11,7,0,0,1,0
44099,Greenville City SD,Darke,19,1,8918302.43,7802753.55,1493527.47,1306709.08,136536.89,119458.13,358832.33,313947.67,10636.24,9305.8,149908.4,131157.06,723468.75,632973.42,1201014.85,1201014.85,265017.11,265017.11,13257244.47,11782336.67,11089258.03,0,11782336.67,323091.44,34851.09,357942.53,-17646.72,-2044183.2,-820061.19,0,-87332,-22302,-2991525.11,9148754.09,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,3119.68,3119.68,0,0,3119.68,71.5,268.36,22,4,25.8,24.8,64.1,29.84,0.16,33.38,12.74,0,17,3,955.38,34.08,0,0.47,130.5,2986.82,2,0,0,1436.66,0.460515181,408164784,397086287,39540900,412927156,412927156,51880710,464807867,26748,0.497601996,0.980765672,64.9,410.26,131.19,29,29,1,0,2,3
44107,Hamilton City SD,Butler,9,1,43042481.13,34956651.1,9555378.93,7760334.41,654101.06,531223.62,4584394.53,3723184.07,488415.95,396663.6,485292.6,394127.01,2588491.08,2102224.99,6231317.8,6231317.8,564212.56,564212.56,68194085.64,56659939.16,53327001.56,0,56659939.16,776604.35,239193.11,1015797.46,-63010.16,-474549.2,-3745052.45,0,-208570.5,182583.44,-4308598.87,53367137.75,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,10256.58,10256.58,0,0.07,10256.52,309.8,926.79,98.96,8,66.86,99.14,89.32,36.26,0.92,22.58,83,109,427,33.4,3717.66,28.63,0,195.17,385.79,9704.85,19.5,0,0,7387.65,0.720283954,968288418,837177503,1565653,840697291,840697291,230926240,1071623531,26391,0.730478156,2.399301546,160,233.06,549.31,85,43,2,1,7,5
44115,Heath City SD,Licking,45,1,4138460.5,3289216.78,473322.9,376193.42,58538.01,46525.56,167068.15,132784.49,4739.18,3766.66,79305.05,63031.05,394034.6,313175.69,424316.02,424316.02,335.33,335.33,5740119.74,4649345,4375854.13,0,4649345,107845.83,22407.07,130252.9,-1133990.39,219155.7,-537068.12,0,-46716,-52.94,-1498671.75,3280926.15,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,1676.51,1676.51,0,29.37,1653.01,33.54,79.87,7,1,17,10.69,0,0,0,0,0.54,1.5,5,4,422.24,5.52,0,10.53,84.36,1556.95,2,1.8,0,742.22,0.442717312,204866232,246122307,1694043,252640960,252640960,35178060,287819020,30290,0.435786027,0.906421846,83.58,44,86.82,12,10,0,0,1,0
44123,Hillsboro City SD,Highland,36,1,8914721.9,7875538.97,2463802.63,2176598.87,124487.88,109976.41,686617.93,606579.36,1340.61,1184.34,125499.85,110870.42,996959.89,880744.97,1191336.34,1191336.34,166043.23,166043.23,14670810.26,13118872.91,12347174.5,0,13118872.91,187189.86,22939.22,210129.08,-16785.54,-64457.18,-716050.95,0,-31500,260664.3,-568129.37,12760872.62,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,2647.23,2647.23,0,54.07,2603.97,49,209.68,26.3,3,16,23.92,49.51,0,8.43,0,11.62,1,0,1,793.17,17.44,0.37,1,95.53,2507.26,0,0.8,0,1591.89,0.60134178,252283399,272490280,39282650,285882180,285882180,38943800,324825980,25036,0.595826871,1.672322803,180.05,192.77,99.64,14,16,0,0,1,3
44131,Huron City SD,Erie,22,1,1549611.01,1549611.01,0,0,36293.04,36293.04,42100.54,42100.54,1269.19,1269.19,70044.15,70044.15,239106.19,239106.19,199548.94,199548.94,344.42,344.42,2138317.48,2138317.48,2239148.91,100831.43,2239148.91,81464.52,54337.23,135801.75,-13957.02,161877.25,-161900.21,0,-60108,-66938.25,-141026.23,2233924.43,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,1397.21,1397.21,0,52.97,1354.83,19,67.65,13,0,13,15.63,0.14,0,0.46,0,0.12,1,3,2,327.93,0.63,0,11.93,13.89,1330.99,1,0,0,405.94,0.29053614,325008862,325813700,5772000,331679190,331679190,22446550,354125740,36300,0.199089271,0.390371118,93.25,63,25.57,3,8,2,0,2,2
44149,Ironton City SD,Lawrence,44,1,5451350.84,5451350.84,842280.99,842280.99,82581.97,82581.97,387524.49,387524.49,496.86,496.86,72651.6,72651.6,661440.23,661440.23,1069020.91,1069020.91,42589.97,42589.97,8609937.86,8609937.86,8179892.04,0,8609937.86,106294.65,21077.48,127372.13,-206900.92,405275.41,-308847.33,0,0,-315419.83,-425892.67,8311417.32,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,1479.94,1479.94,0,59.52,1432.32,30,124.27,20,3,28,16.85,8.04,3.12,0,0,6.7,0,0,1,490.2,1,0,13.04,26.7,1395.84,0,0,0,887.59,0.599747287,175625567,133896970,262550,140756210,140756210,43593760,184349970,25369,0.662481941,1.663466036,232.64,164.25,37.91,3,14,1,0,0,1
44156,Jackson City SD,Jackson,40,1,8948375.22,8948375.22,2095964.28,2095964.28,122739.59,122739.59,665634.34,665634.34,0,0,119364.45,119364.45,1113422.13,1113422.13,1340246.74,1340246.74,330.23,330.23,14406076.98,14406076.98,13875739.73,0,14406076.98,118206.88,8911.87,127118.75,-16134.17,315329,-645538.54,0,-35000,-67041.6,-448385.31,14084810.42,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,2554.81,2554.81,0,84.9,2486.89,43.5,192.26,12,0,46.37,19,0,0,0,0,0.37,0,0,0,761.09,14,0,51.38,53.45,2394.9,0,0,0,1529.95,0.598850795,278979078,247327503,34467053,260842700,260842700,48177580,309020280,29404,0.626321871,1.658496712,179.96,122.5,94.45,4,10,0,0,4,1
44164,Kent City SD,Portage,67,1,9210690.09,9210690.09,312103.73,312103.73,125305.24,125305.24,320701.14,320701.14,34812.63,34812.63,146831.4,146831.4,767928.5,767928.5,1757733.47,1757733.47,272270.52,272270.52,12948376.72,12948376.72,12445439.38,0,12948376.72,218269.77,138394.3,356664.07,-75284.33,1421166.95,-536583.04,-12894.82,-94952.5,959074.7,1660526.96,14965567.75,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,3022.28,3022.28,0,0,3022.28,12,280.16,46.83,3.5,22,57,49,36.65,9.8,30.64,19.75,17.5,29,9,835.81,13.11,0,21.89,67.09,2937.27,0.5,1,0,1345.24,0.445107667,509849139,476743170,3026710,368199547,486658250,377794540,864452790,27062,0.530478076,0.916236322,313.81,82.5,79.55,19,16,0,0,4,2
44172,Kenton City SD,Hardin,33,1,6964248.08,5413324.52,1954241.42,1519035.92,101522.19,78913.41,476214.9,370162.83,0,0,92824.6,72152.76,340613.76,264759.79,963558.75,963558.75,28460.05,28460.05,10921683.75,8710368.03,8197993.43,0,8710368.03,189908.03,24409.43,214317.46,-12391.15,233718.68,-419555.31,0,0,-89230.38,-287458.16,8637227.33,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,1948.92,1948.92,0,42.5,1914.92,54.97,161.32,17.4,0,21,13,1.72,0,5.46,0,18.36,0,0,0,624.8,10,0,18.8,38.18,1862.64,0,0,0,1141.51,0.585714139,187918289,187496597,38122067,196450090,196450090,23409180,219859270,26445,0.633043516,1.586531758,165.52,120.4,61.39,18,21,0,0,0,0
44180,Kettering City SD,Montgomery,57,1,14921309.32,7829894.07,0,0,271893.86,142675.16,651470.58,341856.44,44479.43,23340.4,356270.25,186951.31,1435153.55,753090.77,2162124.29,2162124.29,323109.85,323109.85,20165811.13,11763042.29,11071098.61,0,11763042.29,541337.6,253872.96,795210.56,-1919999.59,-253630.5,-1180130.44,-206153.15,-230558,64223.01,-3726248.67,8832004.18,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,7318.85,7318.85,0,1,7318.05,136.78,580.53,70.7,2,46.8,91.2,72.86,72.68,14.28,46.74,71.42,9.5,83.4,23,2106.66,21.01,0,72.9,119.8,7136.57,5,2,0,3062.97,0.418504273,1509628269,1214187460,163837,1302314573,1302314573,164334280,1466648853,33431,0.35491269,0.809985319,0,43.6,193.82,55,43,1,0,6,7
44198,Lakewood City SD,Cuyahoga,18,1,13631498.28,13631498.28,0,0,242154.02,242154.02,713565.91,713565.91,224185.26,224185.26,266746.8,266746.8,1484.05,1484.05,2025700,2025700,219291.7,219291.7,17324626.02,17324626.02,17561565.71,236939.69,17561565.71,376568.74,150614.93,527183.67,-35270.63,-102912,-2480115.08,0,-119779,402500.79,-2335575.92,15753173.46,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,5693.36,5693.36,0,0,5693.36,46,396.85,68.7,10,39.3,76.9,62.2,32.01,3.82,5.61,34.6,71.43,334.6,72.6,1770.08,16.43,1,277.55,106.4,5377.79,1,1,0,2675.36,0.469908806,1206863510,872957770,0,886197306,886197306,95795520,981992827,31707,0.416685742,1.021185222,0,17.6,365.74,25,44,0,1,2,4
44206,Lancaster City SD,Fairfield,23,1,18184443.8,14222692.1,2454668.57,1919882.49,307788.98,240732.57,1209827.74,946248.76,7707.39,6028.22,318376.95,249013.8,1038020.38,811872.19,2305633.55,2305633.55,284027.05,284027.05,26110494.41,20986130.73,19751652.45,0,20986130.73,352499.67,141082.16,493581.83,-38207.39,-1841969.6,-1709497.22,0,-290018,-54195.12,-3933887.33,17545825.23,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,6621.39,6621.39,0,0,6621.39,190.3,515.97,60.6,6,48,47,54.24,45.45,21.34,22.41,23.3,7,5,0,2146.61,34.81,0.81,42.13,216.56,6370.23,3,0.81,0,3541.61,0.534874097,842096727,861677853,20087783,907775176,907775176,114147450,1021922627,28369,0.477977767,1.323062885,106.6,415.48,254.42,22,43,0,0,2,3
44214,Lebanon City SD,Warren,83,1,14602583.81,12632688.49,1187279.53,1027114.97,213804.66,184962.31,90235.67,78062.84,54265.44,46945.02,267891.45,231752.78,2084854.68,1803606.82,1533432.34,1533432.34,42575.51,42575.51,20076923.09,17581141.08,16546956.28,0,17581141.08,335069.64,138779.72,473849.36,-35403.88,-405617.97,-1327939.05,0,-111694,-14876.53,-1895531.43,16159459.01,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,5716.14,5716.14,0,204.81,5552.29,76.6,374.67,20.02,6,34.6,40,0.11,0.42,0.54,0.48,62.23,16.4,65.5,27,1511.09,18.29,0,12.51,186.83,5350.07,6,0,0,1354.03,0.236878383,900156413,750642027,35596487,791009563,791009563,118305930,909315493,38284,0.457791298,0.259494534,0,70.55,194.63,33,26,1,1,3,3
44222,Lima City SD,Allen,2,1,25739246.89,20759697.6,7502340.73,6050927.81,322506.76,260114.17,4190240.12,3379590.64,12346.05,9957.57,234752.2,189336.72,669444.95,539933.23,3093580.58,3093580.58,376525.24,376525.24,42140983.52,34659663.56,32620859.82,0,34659663.56,491303,89739.57,581042.57,-86174.04,-4446201.71,-3100810.65,0,-1578843,-66355.01,-9278384.41,25962321.72,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,5140.44,5140.44,0,0,5140.44,194.11,509.71,44,2,15.8,25.71,36.56,39.44,0,23.35,18.33,2,6.6,5,1688.37,33.4,3.56,254.85,219.83,4504.74,9,5.46,213.83,4524.74,0.880224261,351831378,293693627,0,281751455,311731780,176428370,488160150,20514,0.870973302,3.583142028,181.6,932.53,446.55,64,29,0,0,0,2
44230,Lockland City SD,Hamilton,31,1,2249873.33,1298113.82,422026.77,243497.61,34339.19,19812.75,461419.33,266226.01,32157.79,18554.14,41631.1,24019.98,0,0,279370.68,279370.68,792.29,792.29,3521610.48,2150387.28,2023893.91,0,2150387.28,24698.44,7679.63,32378.07,-3949.92,-136041.6,-223042.59,0,-17500,-95.07,-380629.18,1802136.17,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,642.21,642.21,0,14.98,630.22,10,61.61,13.8,0,0,3,0,0,0.68,0,0,3,38,6,210.8,1,0,17.93,19.66,597.11,0,0,0,540.08,0.840971022,61286903,62796847,0,68566383,68566383,5500010,74066393,21888,0.621406589,3.270690251,68,91.44,32.76,0,3,0,0,1,0
44248,Logan-Hocking Local SD,Hocking,37,3,12199618.56,12199618.56,3064429.88,3064429.88,177075.63,177075.63,856883.24,856883.24,0,0,191743.75,191743.75,1970860.18,1970860.18,2172896.26,2172896.26,153665.3,153665.3,20787172.8,20787172.8,20374704.37,0,20787172.8,304737.7,106064.39,410802.09,-197611.64,118999.1,-695330.74,0,0,-31621.89,-805565.17,20392409.72,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,4033.95,4033.95,0,119,3938.75,54.2,384.6,61,5,55,39,47.55,0.81,9.03,0,19.44,0,0,0,1166.57,12.17,0,0,94.83,3843.92,0,0,0,2259.95,0.560232526,395509124,436474620,38425093,479841086,479841086,67530410,547371497,28156,0.539135343,1.451489816,130.9,105.2,106.71,9,30,0,0,6,6
44255,London City SD,Madison,49,1,5755473.12,5479817.1,669233.86,637181.18,92109.47,87697.92,271648.79,258638.28,16011.05,15244.21,100700.2,95877.21,487714.5,464355.61,691396.78,691396.78,32357.52,32357.52,8116645.29,7762565.81,7305944.3,0,7762565.81,180492.91,15724.44,196217.35,-230139.24,-557668.9,-960293.01,-7138.34,-81375,-151354.8,-1987969.29,5970813.87,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,2196.18,2196.18,0,47.67,2158.04,74.1,196.78,9,0,2,21,13.31,0.42,0.72,0,0.12,7,18,5,649.6,10,0.65,8.04,146.38,2005.63,0,0.65,0,1044.78,0.475726033,312395741,290711537,18395537,300023163,300023163,35320800,335343963,31445,0.464088404,1.046625206,48.7,149.2,136,14,20,2,0,0,1
44263,Lorain City SD,Lorain,47,1,46194258.59,40106829.36,11438137.28,9930831.97,564570.14,490171.7,6470658.58,5617962.22,463898.53,402766.48,393218.7,341400.77,950282.6,825055.39,8933019.87,8933019.87,759749.93,759749.93,76167794.22,67407787.69,63442623.71,0,67407787.69,695371.33,286409.58,981780.91,-42880.31,-4439994.03,-16657181.32,0,-3505358,104586.52,-24540827.14,43848741.46,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,9749.74,9753.24,7,0,9749.74,139,1109.9,189,12,67.57,139.15,65.58,116.41,16.52,5.18,4.02,88.5,354.1,42,3049.59,63.52,2.05,1551.37,517.19,7508.93,0.5,7.3,554.34,8054.03,0.825779946,712280858,609822337,370447,622110566,622110566,134363500,756474067,22565,0.824543605,3.153595721,142,890.48,1992.91,49,45,4,0,3,11
44271,Loveland City SD,Hamilton,31,1,9381806.35,8249307.41,0,0,148917.92,130941.7,19729.25,17347.69,16114.77,14169.52,224384.05,197298.15,1598344.81,1405405.01,1115902.28,1115902.28,39656.33,39656.33,12544855.76,11170028.09,10512967.61,0,11170028.09,163761.74,111871.1,275632.84,-29281.33,-250694.82,-309933.42,0,-289170.93,-1794.03,-880874.53,10564786.4,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,4577.31,4577.31,0,38.12,4546.81,57.5,328.33,33.51,0.86,19.3,46.42,22.08,0.13,0,0,0,2.5,29.9,10,1146.15,8.29,2,2.6,43.02,4488.61,12.67,2.56,0,701.21,0.153192596,1113159081,749727040,1363123,760544893,760544893,33715840,794260733,50879,0.35900346,0.108530775,0,43.82,48.14,7,25,0,0,0,2
44289,Madeira City SD,Hamilton,31,1,1381547.91,1381547.91,0,0,43826.64,43826.64,777.94,777.94,2704.11,2704.11,70846.55,70846.55,310373.26,310373.26,186188.69,186188.69,0,0,1996265.1,1996265.1,2648407.26,652142.16,2648407.26,26038.3,9168.89,35207.19,-8915.66,-80430,-55473.34,0,-147511,0,-292330,2391284.45,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,1385.43,1385.43,0,22.64,1367.31,16,94,5,1,8.5,19.56,0,0,0,0,0,0.5,11,3,407.86,2,0,0,9.43,1347.22,7.5,3.16,0,107.43,0.077542712,361744395,296843943,0,301525590,301525590,15039980,316565570,54259,0.175876951,0.027807332,0,14,8.27,0,2,0,1,0,2
