"Annex N - Table 1B: Apprenticeship Starts by Age, Ethnicity and Region (2008/09 to 2012/13)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Not Known/Information Not Provided,30,32.9%,30,38.0%,20,29.1%,80,50,25.1%,60,29.0%,100,45.9%,210,90,27.2%,80,24.5%,160,48.3%,320,360,30.4%,390,33.2%,430,36.4%,"1,190",310,23.3%,520,38.3%,520,38.5%,"1,350"
North East Total,,"8,030",46.6%,"4,750",27.6%,"4,460",25.9%,"17,230","9,040",48.8%,"5,930",32.0%,"3,540",19.1%,"18,510","11,070",32.0%,"8,570",24.8%,"14,910",43.2%,"34,550","9,230",24.1%,"10,310",26.9%,"18,800",49.0%,"38,340","7,660",21.4%,"10,480",29.2%,"17,740",49.4%,"35,870"
North West,Visual Impairment,100,41.4%,60,24.1%,80,34.6%,240,120,51.1%,70,30.5%,40,18.5%,230,140,36.8%,90,22.0%,160,41.2%,390,90,26.3%,100,26.9%,170,46.8%,360,80,19.8%,100,24.4%,230,55.8%,410
,Hearing Impairment,40,44.9%,20,23.6%,30,31.5%,90,60,43.9%,40,31.8%,30,24.2%,130,50,22.4%,50,23.3%,130,54.3%,230,40,15.4%,50,19.0%,180,65.6%,270,40,14.7%,50,19.8%,180,65.6%,270
,Disability Affecting Mobility,20,29.4%,20,29.4%,20,41.2%,50,10,23.2%,20,30.4%,30,46.4%,60,20,13.1%,20,16.8%,100,70.1%,140,20,9.6%,20,13.9%,130,76.5%,170,20,9.7%,30,18.8%,110,71.4%,150
,Other Physical Disability,30,40.3%,30,40.3%,10,19.4%,60,20,31.4%,30,38.6%,20,30.0%,70,30,24.0%,30,20.7%,70,55.4%,120,20,12.3%,30,19.9%,100,67.8%,150,20,12.8%,40,28.2%,90,59.1%,150
,"Other Medical Condition (For Example Epilepsy, Asthma, Diabetes)",430,51.7%,270,32.4%,130,15.9%,830,530,50.6%,380,35.9%,140,13.5%,"1,060",500,35.4%,450,31.7%,460,32.9%,"1,410",520,31.0%,520,30.5%,650,38.6%,"1,690",430,26.0%,500,30.2%,730,43.9%,"1,650"
,Emotional/Behavioural Difficulties,30,65.9%,10,19.5%,10,14.6%,40,50,70.1%,20,22.4%,10,7.5%,70,60,63.0%,20,23.9%,10,13.0%,90,50,52.2%,20,26.1%,20,21.7%,90,60,54.9%,30,24.5%,20,20.6%,100
,Mental Health Difficulty,10,31.3%,10,43.8%,-,-,20,10,17.5%,20,40.0%,20,42.5%,40,20,24.4%,40,40.7%,30,34.9%,90,20,22.0%,30,26.6%,60,51.4%,110,30,20.9%,40,29.5%,70,49.6%,140
,Temporary Disability After Illness (For Example Post-Viral) or Accident,-,-,10,70.0%,-,-,10,10,55.6%,-,-,-,-,10,-,-,-,-,10,61.5%,10,-,-,-,-,10,50.0%,20,-,-,10,43.5%,10,47.8%,20
,Profound Complex Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,10,62.5%,10
,Aspergers Syndrome,10,45.5%,10,54.5%,-,-,10,10,55.0%,10,40.0%,-,-,20,20,50.0%,10,36.7%,-,-,30,20,36.4%,30,37.9%,20,25.8%,70,20,20.3%,30,44.6%,30,35.1%,70
,Multiple Disabilities,20,31.0%,10,22.4%,30,46.6%,60,30,59.6%,10,10.6%,10,29.8%,50,30,37.8%,10,14.6%,40,47.6%,80,30,19.7%,40,25.0%,80,55.3%,150,30,21.5%,40,25.0%,80,53.5%,140
,Other,150,59.3%,70,30.1%,30,10.6%,250,170,50.9%,120,36.0%,40,13.1%,340,160,34.1%,140,30.4%,160,35.4%,460,140,25.7%,140,26.8%,250,47.6%,530,150,30.4%,150,31.7%,180,37.9%,480
,No Disability,"15,420",44.6%,"12,070",34.9%,"7,100",20.5%,"34,590","19,530",43.9%,"17,230",38.7%,"7,770",17.4%,"44,530","22,540",30.1%,"22,840",30.6%,"29,380",39.3%,"74,760","19,460",23.9%,"24,330",29.9%,"37,640",46.2%,"81,420","16,050",21.0%,"23,680",30.9%,"36,810",48.1%,"76,540"
,Not Known/Information Not Provided,130,46.7%,90,32.3%,60,21.1%,290,290,42.8%,210,31.1%,180,26.0%,680,240,28.5%,270,31.0%,350,40.5%,860,"1,140",26.6%,"1,380",32.3%,"1,760",41.1%,"4,290","1,140",28.2%,"1,390",34.4%,"1,510",37.5%,"4,030"
North West Total,,"16,360",44.8%,"12,670",34.7%,"7,500",20.5%,"36,530","20,840",44.1%,"18,150",38.4%,"8,290",17.5%,"47,280","23,800",30.3%,"23,960",30.5%,"30,890",39.3%,"78,660","21,560",24.1%,"26,690",29.9%,"41,070",46.0%,"89,310","18,040",21.4%,"26,090",31.0%,"40,040",47.6%,"84,180"
Yorkshire and the Humber,Visual Impairment,100,36.6%,50,17.5%,120,45.9%,270,100,40.2%,70,27.0%,80,32.8%,260,90,29.0%,70,22.9%,140,48.1%,300,90,35.6%,70,27.6%,90,36.8%,250,60,26.5%,60,26.1%,110,47.4%,230
,Hearing Impairment,30,40.8%,20,33.8%,20,25.4%,70,40,38.8%,30,29.1%,30,32.0%,100,40,25.3%,30,19.5%,90,55.2%,150,40,22.3%,50,24.4%,100,53.4%,190,30,15.3%,40,23.3%,110,61.4%,180
,Disability Affecting Mobility,10,30.0%,10,27.5%,20,42.5%,40,10,28.6%,20,34.7%,20,36.7%,50,10,12.5%,20,16.3%,70,71.2%,100,20,14.9%,20,12.4%,90,72.7%,120,20,17.9%,20,23.8%,50,58.3%,80
,Other Physical Disability,20,45.9%,10,13.5%,20,40.5%,40,10,29.5%,20,38.6%,10,31.8%,40,20,25.3%,20,18.9%,50,55.8%,100,10,14.9%,20,21.8%,60,63.2%,90,20,27.4%,20,21.4%,40,51.2%,80
,"Other Medical Condition (For Example Epilepsy, Asthma, Diabetes)",350,47.4%,200,26.7%,190,25.8%,740,430,47.7%,270,30.4%,200,21.9%,900,430,37.2%,330,28.1%,400,34.7%,"1,160",420,34.0%,340,27.4%,470,38.6%,"1,230",330,28.5%,330,28.4%,490,43.1%,"1,150"
,Emotional/Behavioural Difficulties,20,52.6%,10,28.9%,10,18.4%,40,20,47.4%,10,28.9%,10,23.7%,40,70,69.6%,20,20.6%,10,9.8%,100,60,65.5%,20,17.9%,10,16.7%,80,30,55.0%,20,25.0%,10,20.0%,60
,Mental Health Difficulty,-,-,10,40.0%,10,46.7%,30,10,25.8%,10,41.9%,10,32.3%,30,20,25.0%,20,33.8%,30,41.2%,70,20,23.1%,20,24.4%,40,52.6%,80,20,23.5%,20,16.3%,60,60.2%,100
,Temporary Disability After Illness (For Example Post-Viral) or Accident,10,62.5%,-,-,-,-,10,10,54.5%,-,-,-,-,10,10,42.1%,-,-,10,47.4%,20,-,-,10,33.3%,10,60.0%,20,-,-,-,-,10,53.8%,10
,Profound Complex Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Aspergers Syndrome,10,53.8%,-,-,-,-,10,10,42.1%,10,47.4%,-,-,20,20,55.6%,10,27.8%,10,16.7%,40,20,40.0%,20,33.3%,20,26.7%,60,20,28.3%,20,37.7%,20,34.0%,50
,Multiple Disabilities,20,26.8%,10,17.1%,50,56.1%,80,10,22.2%,20,33.3%,20,44.4%,50,20,21.7%,20,24.6%,40,53.6%,70,20,28.8%,20,26.0%,30,45.2%,70,20,27.1%,30,37.1%,30,35.7%,70
,Other,120,53.7%,50,23.8%,50,22.5%,230,130,48.4%,90,33.6%,50,18.1%,280,110,34.5%,90,28.5%,120,37.0%,330,120,30.2%,90,22.9%,190,46.9%,410,120,32.2%,100,26.9%,150,41.0%,380
,No Disability,"14,040",46.2%,"9,820",32.3%,"6,500",21.4%,"30,360","15,030",43.6%,"13,410",38.9%,"6,010",17.4%,"34,450","15,790",29.8%,"16,130",30.5%,"20,990",39.7%,"52,910","16,130",27.5%,"18,030",30.7%,"24,610",41.9%,"58,770","13,360",24.5%,"17,570",32.3%,"23,540",43.2%,"54,470"
,Not Known/Information Not Provided,120,48.1%,70,29.6%,50,22.2%,240,110,37.9%,120,39.2%,70,22.9%,300,130,28.4%,130,27.7%,200,43.9%,460,"1,030",36.4%,940,33.3%,860,30.3%,"2,830",960,31.5%,"1,060",35.0%,"1,020",33.5%,"3,040"
Yorkshire and the Humber Total,,"14,850",46.2%,"10,270",31.9%,"7,040",21.9%,"32,170","15,930",43.6%,"14,080",38.5%,"6,520",17.8%,"36,530","16,760",30.0%,"16,880",30.2%,"22,170",39.7%,"55,800","17,990",28.0%,"19,630",30.6%,"26,580",41.4%,"64,200","14,980",25.0%,"19,280",32.2%,"25,640",42.8%,"59,900"
East Midlands,Visual Impairment,50,15.7%,70,21.7%,210,62.7%,330,50,32.7%,50,30.1%,60,37.2%,160,50,24.7%,60,30.0%,90,45.3%,190,50,27.9%,50,26.3%,80,45.8%,180,50,26.6%,50,27.1%,90,46.3%,190
,Hearing Impairment,30,39.4%,20,28.8%,20,31.8%,70,30,39.5%,30,33.3%,20,27.2%,80,30,22.9%,20,20.2%,60,56.9%,110,30,20.0%,30,20.7%,80,59.3%,140,30,18.1%,30,21.5%,90,60.4%,150
,Disability Affecting Mobility,10,38.7%,10,25.8%,10,35.5%,30,10,31.7%,20,41.5%,10,26.8%,40,10,8.6%,10,10.8%,80,80.6%,90,10,12.0%,20,18.1%,60,69.9%,80,10,11.1%,20,25.9%,50,63.0%,80
,Other Physical Disability,20,45.2%,10,26.2%,10,28.6%,40,30,44.6%,20,41.1%,10,14.3%,60,30,22.8%,20,18.4%,70,58.8%,110,20,18.8%,20,30.0%,40,51.3%,80,20,17.0%,20,25.5%,50,57.4%,90
,"Other Medical Condition (For Example Epilepsy, Asthma, Diabetes)",290,50.7%,160,27.5%,120,21.8%,560,290,52.5%,180,33.1%,80,14.4%,560,320,34.9%,240,26.7%,350,38.4%,900,290,29.8%,270,27.2%,420,43.0%,970,280,26.1%,350,31.7%,460,42.3%,"1,090"
,Emotional/Behavioural Difficulties,20,64.7%,10,20.6%,10,14.7%,30,40,75.0%,10,16.7%,-,-,50,60,62.2%,20,24.4%,10,13.3%,90,80,55.9%,50,36.6%,10,7.6%,150,60,62.6%,20,19.8%,20,17.6%,90
,Mental Health Difficulty,10,29.2%,10,29.2%,10,41.7%,20,10,34.5%,10,37.9%,10,27.6%,30,10,16.4%,20,28.4%,40,55.2%,70,20,16.2%,40,35.1%,50,48.6%,110,20,13.2%,30,28.9%,70,57.9%,110
,Temporary Disability After Illness (For Example Post-Viral) or Accident,-,-,-,-,-,-,10,-,-,-,-,-,-,10,-,-,-,-,10,53.8%,10,-,-,-,-,10,72.7%,10,-,-,-,-,10,58.3%,10
,Profound Complex Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,10
,Aspergers Syndrome,-,-,10,55.6%,-,-,10,10,68.8%,10,31.3%,-,-,20,10,60.9%,10,30.4%,-,-,20,10,31.6%,20,52.6%,10,15.8%,40,20,33.3%,30,48.1%,10,18.5%,50
,Multiple Disabilities,20,14.1%,30,21.5%,90,64.4%,140,10,28.6%,10,28.6%,20,42.9%,40,20,17.2%,20,20.4%,60,62.4%,90,20,23.8%,20,26.2%,40,50.0%,80,20,23.5%,20,22.5%,60,53.9%,100
,Other,60,47.4%,40,27.8%,30,24.8%,130,100,49.7%,80,37.7%,30,12.6%,200,100,33.3%,80,28.2%,110,38.5%,290,80,26.5%,100,31.1%,130,42.4%,310,120,29.1%,110,28.9%,170,42.0%,400
,No Disability,"9,030",43.8%,"7,260",35.3%,"4,300",20.9%,"20,590","10,140",43.9%,"9,490",41.1%,"3,470",15.0%,"23,100","11,150",28.9%,"11,740",30.5%,"15,660",40.6%,"38,550","10,740",25.3%,"13,110",30.8%,"18,670",43.9%,"42,530","9,960",22.5%,"14,210",32.2%,"20,010",45.3%,"44,180"
,Not Known/Information Not Provided,100,47.1%,60,30.6%,50,22.3%,210,120,41.1%,90,31.0%,80,27.9%,290,80,25.2%,110,35.0%,130,39.7%,320,690,32.6%,720,34.2%,700,33.2%,"2,110",750,30.6%,860,35.0%,840,34.4%,"2,450"
East Midlands Total,,"9,640",43.5%,"7,680",34.6%,"4,860",21.9%,"22,180","10,850",44.0%,"9,990",40.6%,"3,790",15.4%,"24,620","11,840",29.0%,"12,360",30.2%,"16,660",40.8%,"40,860","12,040",25.7%,"14,450",30.9%,"20,310",43.4%,"46,790","11,330",23.1%,"15,760",32.2%,"21,920",44.7%,"49,010"
West Midlands,Visual Impairment,40,17.9%,60,25.9%,120,56.1%,210,40,35.0%,40,35.0%,40,30.1%,120,40,20.8%,60,31.3%,90,47.9%,190,50,24.4%,60,27.9%,90,47.7%,200,30,15.1%,60,31.2%,110,53.8%,200
,Hearing Impairment,20,22.4%,20,29.9%,30,47.8%,70,30,35.0%,30,40.0%,20,25.0%,80,30,22.2%,30,20.7%,80,57.0%,140,40,23.4%,30,19.3%,100,57.3%,170,30,12.2%,60,25.2%,140,62.6%,220
,Disability Affecting Mobility,10,21.4%,10,28.6%,10,50.0%,30,10,29.5%,10,27.3%,20,43.2%,40,20,12.0%,30,20.8%,80,67.2%,130,10,11.1%,20,15.2%,70,73.7%,100,10,10.3%,20,13.7%,90,76.1%,120
,Other Physical Disability,20,55.0%,10,17.5%,10,27.5%,40,20,38.9%,20,27.8%,20,33.3%,50,20,21.8%,20,18.2%,70,60.0%,110,30,25.0%,30,26.9%,50,48.1%,100,20,18.1%,30,26.6%,50,55.3%,90
,"Other Medical Condition (For Example Epilepsy, Asthma, Diabetes)",310,45.2%,190,26.6%,200,28.2%,700,410,50.4%,270,34.1%,130,15.5%,800,420,36.1%,350,30.0%,400,33.9%,"1,170",420,31.6%,340,25.5%,570,42.8%,"1,340",330,25.0%,380,28.5%,620,46.5%,"1,330"
,Emotional/Behavioural Difficulties,30,66.0%,10,25.5%,-,-,50,40,58.1%,20,32.3%,10,9.7%,60,40,56.5%,20,27.5%,10,15.9%,70,70,57.0%,30,28.1%,20,14.9%,110,40,52.9%,20,22.1%,20,25.0%,70
,Mental Health Difficulty,10,19.4%,10,22.6%,20,58.1%,30,10,32.3%,10,29.0%,10,38.7%,30,20,38.0%,10,24.0%,20,38.0%,50,20,19.8%,40,41.8%,40,38.5%,90,10,10.3%,40,31.6%,70,58.1%,120
,Temporary Disability After Illness (For Example Post-Viral) or Accident,-,-,-,-,-,-,10,-,-,-,-,-,-,10,-,-,-,-,10,61.5%,10,-,-,-,-,10,81.3%,20,-,-,-,-,10,66.7%,10
,Profound Complex Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Aspergers Syndrome,10,71.4%,-,-,-,-,10,10,73.3%,-,-,-,-,20,20,64.5%,10,22.6%,-,-,30,20,27.9%,40,52.9%,10,19.1%,70,20,35.0%,20,40.0%,20,25.0%,60
,Multiple Disabilities,10,17.5%,20,26.3%,50,56.3%,80,20,64.9%,10,21.6%,10,13.5%,40,20,29.8%,10,22.8%,30,47.4%,60,30,30.3%,20,25.8%,40,43.8%,90,20,19.6%,40,38.3%,50,42.1%,110
,Other,100,55.3%,40,22.3%,40,22.3%,180,140,42.7%,130,41.8%,50,15.5%,320,140,30.9%,130,28.9%,180,40.2%,440,120,31.5%,100,25.6%,170,42.9%,390,110,23.4%,140,29.1%,220,47.4%,470
,No Disability,"10,630",40.7%,"9,280",35.5%,"6,230",23.8%,"26,140","12,690",42.6%,"11,840",39.7%,"5,270",17.7%,"29,800","14,730",28.8%,"15,960",31.2%,"20,530",40.1%,"51,220","14,070",25.7%,"16,700",30.5%,"23,930",43.7%,"54,700","11,210",19.9%,"17,950",31.8%,"27,260",48.3%,"56,420"
,Not Known/Information Not Provided,160,48.6%,90,28.0%,80,23.4%,320,170,49.1%,130,37.2%,50,13.6%,350,190,27.9%,260,39.0%,220,33.1%,680,790,25.6%,"1,070",34.5%,"1,240",39.9%,"3,100",760,23.7%,"1,140",35.5%,"1,310",40.8%,"3,220"
West Midlands Total,,"11,340",40.7%,"9,730",34.9%,"6,790",24.4%,"27,860","13,590",42.8%,"12,520",39.5%,"5,610",17.7%,"31,720","15,690",28.9%,"16,890",31.1%,"21,720",40.0%,"54,290","15,660",25.9%,"18,470",30.6%,"26,340",43.6%,"60,470","12,590",20.2%,"19,890",31.9%,"29,950",48.0%,"62,430"
East of England,Visual Impairment,40,11.5%,100,26.8%,230,61.7%,370,40,18.7%,50,26.4%,110,54.9%,190,50,16.4%,80,29.9%,150,53.6%,270,50,25.8%,50,25.8%,90,48.4%,180,40,22.8%,50,29.3%,80,47.9%,170
,Hearing Impairment,20,36.2%,20,36.2%,20,27.6%,60,30,39.4%,30,45.1%,10,15.5%,70,20,17.6%,40,29.4%,60,52.9%,120,20,16.7%,50,31.9%,70,51.4%,140,20,17.7%,30,26.2%,70,56.2%,130
,Disability Affecting Mobility,10,16.7%,10,26.7%,20,56.7%,30,10,30.6%,10,38.9%,10,30.6%,40,10,15.8%,10,21.1%,40,63.2%,60,10,6.7%,20,23.6%,60,69.7%,90,10,12.0%,20,22.8%,60,65.2%,90
,Other Physical Disability,20,41.0%,20,38.5%,10,20.5%,40,20,50.0%,10,31.6%,10,18.4%,40,40,37.5%,20,20.8%,40,41.7%,100,30,27.5%,30,29.4%,50,43.1%,110,20,18.8%,40,36.6%,50,44.6%,100
,"Other Medical Condition (For Example Epilepsy, Asthma, Diabetes)",240,45.5%,180,33.2%,110,21.3%,540,240,44.0%,230,41.8%,80,14.1%,550,350,38.1%,270,29.5%,300,32.4%,920,340,33.7%,300,29.7%,370,36.5%,"1,000",230,26.0%,270,30.5%,380,43.4%,870
,Emotional/Behavioural Difficulties,20,67.7%,10,19.4%,-,-,30,30,60.0%,20,27.3%,10,12.7%,60,70,63.7%,30,24.8%,10,11.5%,110,130,70.2%,40,22.5%,10,7.3%,190,40,43.2%,30,37.5%,20,19.3%,90
,Mental Health Difficulty,-,-,20,36.2%,40,60.3%,60,10,31.6%,20,44.7%,10,23.7%,40,30,33.3%,30,38.5%,20,28.2%,80,30,29.6%,30,31.5%,40,38.9%,110,20,17.2%,50,41.8%,50,41.0%,120
,Temporary Disability After Illness (For Example Post-Viral) or Accident,-,-,-,-,-,-,10,-,-,10,50.0%,-,-,10,-,-,-,-,-,-,10,-,-,-,-,-,-,10,-,-,-,-,-,-,10
,Profound Complex Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Aspergers Syndrome,10,64.7%,10,29.4%,-,-,20,10,44.4%,10,38.9%,-,-,20,10,44.0%,10,36.0%,10,20.0%,30,20,43.6%,20,34.5%,10,21.8%,60,30,34.1%,40,45.1%,20,20.7%,80
,Multiple Disabilities,10,6.3%,40,21.1%,130,72.6%,180,20,28.6%,20,28.6%,30,42.9%,60,20,22.9%,20,27.1%,40,50.0%,70,30,33.3%,20,24.0%,40,42.7%,100,20,22.2%,20,29.6%,40,48.1%,80
,Other,80,41.9%,60,33.9%,50,24.2%,190,100,45.3%,90,38.1%,40,16.6%,220,100,34.1%,110,35.7%,90,30.2%,310,110,33.5%,110,34.5%,100,32.0%,320,100,29.6%,130,37.0%,120,33.3%,350
,No Disability,"7,980",41.2%,"7,190",37.1%,"4,200",21.7%,"19,370","9,560",43.1%,"9,350",42.2%,"3,250",14.7%,"22,160","11,290",30.3%,"11,960",32.1%,"14,010",37.6%,"37,270","10,680",25.8%,"13,030",31.4%,"17,720",42.8%,"41,440","9,810",23.5%,"13,700",32.9%,"18,150",43.6%,"41,660"
,Not Known/Information Not Provided,120,42.2%,90,30.3%,80,27.6%,290,100,37.4%,120,43.3%,50,19.3%,270,170,41.6%,120,28.8%,120,29.5%,410,690,32.9%,710,34.3%,690,32.9%,"2,080",680,27.4%,880,35.6%,920,37.0%,"2,470"
East of England Total,,"8,560",40.4%,"7,730",36.5%,"4,880",23.0%,"21,170","10,170",42.9%,"9,960",42.0%,"3,600",15.2%,"23,730","12,160",30.6%,"12,710",32.0%,"14,890",37.5%,"39,760","12,150",26.5%,"14,420",31.5%,"19,260",42.0%,"45,820","11,010",23.8%,"15,270",33.0%,"19,940",43.1%,"46,220"
London,Visual Impairment,10,6.3%,50,21.7%,150,72.0%,210,20,20.5%,30,35.2%,40,44.3%,90,20,16.8%,40,29.4%,60,53.8%,120,20,15.1%,50,39.7%,60,45.2%,130,20,16.9%,40,29.2%,70,53.8%,130
,Hearing Impairment,10,24.4%,10,26.7%,20,48.9%,50,10,17.8%,20,40.0%,20,42.2%,50,20,17.4%,20,25.0%,50,57.6%,90,20,19.8%,30,26.0%,50,54.2%,100,20,19.1%,30,34.0%,40,46.8%,90
,Disability Affecting Mobility,-,-,10,27.8%,10,61.1%,20,-,-,10,30.0%,10,65.0%,20,10,13.9%,10,13.9%,50,72.2%,70,-,-,10,20.3%,40,72.9%,60,10,16.4%,10,19.7%,40,63.9%,60
,Other Physical Disability,-,-,10,28.6%,10,57.1%,20,10,30.0%,10,45.0%,10,25.0%,20,10,23.5%,20,29.4%,20,47.1%,50,20,24.2%,20,38.7%,20,37.1%,60,10,17.2%,20,32.8%,30,50.0%,60
,"Other Medical Condition (For Example Epilepsy, Asthma, Diabetes)",90,30.2%,110,35.1%,110,34.7%,310,150,39.4%,140,37.0%,90,23.7%,380,210,31.6%,210,32.0%,240,36.4%,660,210,29.6%,240,33.6%,260,36.9%,700,140,21.0%,230,35.4%,290,43.6%,650
,Emotional/Behavioural Difficulties,30,72.7%,10,11.4%,10,15.9%,40,40,61.7%,20,30.0%,10,8.3%,60,60,72.3%,20,19.3%,10,8.4%,80,30,41.8%,30,38.8%,10,19.4%,70,20,39.3%,30,44.3%,10,16.4%,60
,Mental Health Difficulty,-,-,10,33.3%,10,52.4%,20,10,28.6%,10,37.1%,10,34.3%,40,10,18.9%,20,34.0%,30,47.2%,50,10,23.7%,20,33.9%,30,42.4%,60,10,14.3%,40,48.8%,30,36.9%,80
,Temporary Disability After Illness (For Example Post-Viral) or Accident,-,-,-,-,-,-,10,-,-,-,-,-,-,-,10,38.5%,-,-,10,53.8%,10,-,-,-,-,10,58.3%,10,-,-,-,-,10,90.9%,10
,Profound Complex Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Aspergers Syndrome,10,62.5%,-,-,-,-,10,10,37.5%,10,56.3%,-,-,20,10,40.0%,10,44.0%,-,-,30,10,26.8%,20,41.5%,10,31.7%,40,10,21.2%,20,54.5%,10,24.2%,30
,Multiple Disabilities,10,6.3%,20,26.6%,50,67.1%,80,10,42.3%,10,42.3%,-,-,30,10,23.3%,10,25.6%,20,51.2%,40,20,27.0%,20,23.0%,40,50.0%,70,10,22.9%,20,33.3%,20,43.8%,50
,Other,50,27.8%,60,35.6%,70,36.7%,180,100,37.9%,110,44.5%,50,17.6%,260,80,24.4%,110,33.1%,150,42.4%,340,70,26.8%,100,38.1%,90,35.1%,270,50,16.1%,100,35.3%,140,48.6%,290
,No Disability,"5,780",36.5%,"5,380",34.0%,"4,680",29.6%,"15,830","7,360",38.8%,"8,020",42.3%,"3,570",18.8%,"18,950","9,990",25.4%,"12,310",31.3%,"16,990",43.2%,"39,290","9,720",22.4%,"12,490",28.7%,"21,250",48.9%,"43,460","8,600",20.9%,"12,650",30.7%,"19,890",48.4%,"41,130"
,Not Known/Information Not Provided,110,26.1%,120,30.5%,180,43.3%,410,180,40.3%,180,38.7%,100,21.0%,450,190,33.4%,190,34.5%,180,32.1%,550,540,24.4%,720,32.5%,950,43.0%,"2,210",590,24.5%,840,35.0%,980,40.5%,"2,410"
London Total,,"6,100",35.5%,"5,780",33.6%,"5,300",30.8%,"17,180","7,880",38.7%,"8,570",42.1%,"3,900",19.1%,"20,350","10,620",25.7%,"12,970",31.3%,"17,810",43.0%,"41,400","10,670",22.6%,"13,740",29.1%,"22,820",48.3%,"47,230","9,490",21.0%,"14,030",31.1%,"21,560",47.8%,"45,070"
South East,Visual Impairment,60,12.8%,130,30.1%,250,57.1%,450,50,24.9%,70,38.1%,70,37.0%,180,60,25.5%,80,37.5%,80,37.0%,220,50,19.3%,80,31.7%,120,49.0%,240,50,21.1%,90,37.4%,100,41.5%,250
,Hearing Impairment,30,39.0%,30,36.6%,20,24.4%,80,30,30.0%,40,48.9%,20,21.1%,90,30,15.3%,40,21.0%,110,63.6%,180,50,29.2%,50,24.3%,90,46.5%,190,40,19.1%,60,29.2%,110,51.7%,210
,Disability Affecting Mobility,-,-,10,32.0%,10,52.0%,30,10,17.1%,10,22.9%,20,60.0%,40,10,10.7%,20,21.4%,60,67.9%,80,10,10.0%,20,20.0%,60,70.0%,90,10,8.2%,30,29.9%,60,61.9%,100
,Other Physical Disability,20,43.5%,20,37.0%,10,19.6%,50,20,38.3%,10,29.8%,20,31.9%,50,20,23.2%,40,36.8%,40,40.0%,100,40,33.6%,30,25.5%,50,40.9%,110,30,22.6%,40,34.7%,50,42.7%,120
,"Other Medical Condition (For Example Epilepsy, Asthma, Diabetes)",250,42.5%,200,34.2%,140,23.3%,580,300,48.0%,230,37.0%,100,15.0%,630,370,34.5%,350,32.8%,350,32.8%,"1,060",470,37.0%,360,28.8%,430,34.2%,"1,260",360,28.6%,410,32.2%,500,39.2%,"1,260"
,Emotional/Behavioural Difficulties,40,70.4%,10,22.2%,-,-,50,20,47.8%,20,32.6%,10,19.6%,50,60,59.6%,20,24.5%,20,16.0%,90,80,55.9%,40,28.3%,20,15.9%,150,50,43.4%,40,34.4%,30,22.1%,120
,Mental Health Difficulty,10,14.0%,20,30.0%,30,56.0%,50,20,42.9%,10,18.4%,20,38.8%,50,30,32.1%,20,27.2%,30,40.7%,80,30,24.3%,40,33.3%,50,42.3%,110,30,14.4%,70,42.5%,80,43.1%,170
,Temporary Disability After Illness (For Example Post-Viral) or Accident,-,-,10,38.5%,-,-,10,-,-,-,-,-,-,-,10,18.5%,10,29.6%,10,51.9%,30,10,53.3%,-,-,-,-,20,-,-,-,-,-,-,-
,Profound Complex Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Aspergers Syndrome,10,60.0%,-,-,-,-,10,10,50.0%,10,45.5%,-,-,20,20,51.1%,20,37.8%,10,11.1%,50,20,30.9%,30,47.1%,20,22.1%,70,30,29.5%,50,49.5%,20,21.1%,100
,Multiple Disabilities,20,12.0%,50,27.4%,110,60.6%,180,20,30.8%,20,32.3%,20,36.9%,70,20,31.4%,20,21.4%,30,47.1%,70,40,30.2%,40,32.8%,40,37.1%,120,30,29.3%,30,29.3%,50,41.4%,120
,Other,120,46.8%,80,31.6%,60,21.7%,260,170,45.4%,160,43.4%,40,11.2%,370,230,38.7%,200,33.4%,170,27.9%,600,130,24.0%,200,37.0%,210,39.0%,540,160,27.0%,200,33.6%,240,39.4%,600
,No Disability,"11,990",36.6%,"13,360",40.8%,"7,430",22.7%,"32,770","13,610",36.8%,"17,330",46.9%,"6,020",16.3%,"36,960","14,590",26.5%,"19,530",35.5%,"20,900",38.0%,"55,020","14,060",23.5%,"20,390",34.1%,"25,410",42.4%,"59,850","13,250",21.6%,"21,650",35.2%,"26,530",43.2%,"61,430"
