,Apr 2009 to Mar 2010,Jul 2009 to Jun 2010,Oct 2009 to Sep 2010,Jan 2010 to Dec 2010,Apr 2010 to Mar 2011,Jul 2010 to Jun 2011,Oct 2010 to Sep 2011,Jan 2011 to Dec 2011
Average number of re-offences per offender,0.81,0.96,0.69,1.03,1.19,1.12,0.94,1.23
Number of re-offences,101,110,75,129,149,145,118,156
Number of offenders in cohort,125,115,109,125,125,130,126,127
Average number of previous offences per offender,59.8,62.5,61.4,60.2,59.5,61.3,59.3,61.1
Proportion of offenders who re-offend (%),26.5,28.1,20.0,*,*,*,*,*
Average number of re-offences per re-offender,2.22,2.44,2.33,*,*,*,*,*
Average number of re-offences per offender,0.59,0.69,0.47,*,*,*,*,*
Number of re-offences,20,22,14,16,17,12,15,14
Number of offenders in cohort,34,32,30,24,18,17,17,16
Average number of previous offences per offender,65.8,68.2,68.7,*,*,*,*,*
Proportion of offenders who re-offend (%),42.5,50.0,*,*,61.8,48.5,45.2,*
Average number of re-offences per re-offender,2.35,2.53,*,*,2.14,2.06,1.64,*
Average number of re-offences per offender,1.00,1.26,*,*,1.32,1.00,0.74,*
Number of re-offences,40,43,32,35,45,33,23,15
Number of offenders in cohort,40,34,25,24,34,33,31,27
Average number of previous offences per offender,71.9,72.6,*,*,71.4,67.5,65.2,*
Proportion of offenders who re-offend (%),36.4,35.6,42.6,37.8,38.6,41.9,47.8,43.9
Average number of re-offences per re-offender,2.31,2.25,2.70,2.65,2.88,2.28,2.50,2.44
Average number of re-offences per offender,0.84,0.80,1.15,1.00,1.11,0.95,1.20,1.07
Number of re-offences,37,36,54,45,49,41,55,44
Number of offenders in cohort,44,45,47,45,44,43,46,41
Average number of previous offences per offender,56.2,60.9,62.1,65.0,75.6,83.2,83.8,77.3
Proportion of offenders who re-offend (%),45.5,46.3,39.7,50.0,49.5,53.2,52.6,60.3
Average number of re-offences per re-offender,2.78,2.92,2.88,2.86,2.30,2.58,2.68,2.55
Average number of re-offences per offender,1.27,1.35,1.14,1.43,1.14,1.37,1.41,1.54
Number of re-offences,181,184,138,160,115,129,107,97
Number of offenders in cohort,143,136,121,112,101,94,76,63
Average number of previous offences per offender,54.0,53.3,53.7,49.6,50.1,57.1,59.0,60.7
Proportion of offenders who re-offend (%),46.7,45.5,43.6,46.3,52.8,52.8,57.5,47.5
Average number of re-offences per re-offender,2.57,2.75,3.29,1.95,1.58,1.84,2.13,2.53
Average number of re-offences per offender,1.20,1.25,1.44,0.90,0.83,0.97,1.23,1.20
Number of re-offences,54,55,56,37,30,35,49,48
Number of offenders in cohort,45,44,39,41,36,36,40,40
Average number of previous offences per offender,101.0,107.6,106.8,101.1,94.8,99.9,101.8,98.3
Proportion of offenders who re-offend (%),37.5,43.2,43.8,40.0,40.8,40.0,42.7,45.7
Average number of re-offences per re-offender,2.77,2.53,2.44,2.50,2.65,3.37,3.16,2.95
Average number of re-offences per offender,1.04,1.09,1.07,1.00,1.08,1.35,1.35,1.35
Number of re-offences,83,81,78,70,82,101,120,124
Number of offenders in cohort,80,74,73,70,76,75,89,92
Average number of previous offences per offender,49.2,49.6,54.0,54.6,56.5,57.4,53.2,50.6
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,13,15,17,22,17,30,21,22
Number of offenders in cohort,15,15,18,18,18,17,17,16
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),40.5,41.0,43.6,50.0,45.2,55.0,40.0,42.0
Average number of re-offences per re-offender,3.24,2.75,2.94,2.89,2.79,2.73,2.88,2.81
Average number of re-offences per offender,1.31,1.13,1.28,1.45,1.26,1.50,1.15,1.18
Number of re-offences,55,44,50,55,39,60,46,59
Number of offenders in cohort,42,39,39,38,31,40,40,50
Average number of previous offences per offender,69.9,66.2,67.9,69.8,69.8,69.4,69.1,77.8
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,26,31,25,36,39,29,46,49
Number of offenders in cohort,24,22,23,25,25,21,25,28
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),28.3,31.7,38.7,25.0,33.3,19.4,25.7,31.3
Average number of re-offences per re-offender,2.85,3.38,3.50,3.67,2.45,2.43,2.78,3.10
Average number of re-offences per offender,0.80,1.07,1.35,0.92,0.82,0.47,0.71,0.97
Number of re-offences,37,44,42,33,27,17,25,31
Number of offenders in cohort,46,41,31,36,33,36,35,32
Average number of previous offences per offender,57.9,63.1,67.0,66.4,70.3,74.3,74.7,80.0
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,15,5,6,22,13,11,1,0
Number of offenders in cohort,13,10,7,7,9,8,8,8
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),*,*,*,63.3,*,*,*,*
Average number of re-offences per re-offender,*,*,*,2.42,*,*,*,*
Average number of re-offences per offender,*,*,*,1.53,*,*,*,*
Number of re-offences,24,22,25,46,51,33,20,14
Number of offenders in cohort,25,25,27,30,28,25,25,19
Average number of previous offences per offender,*,*,*,86.4,*,*,*,*
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,33,36,26,27,31,33,28,18
Number of offenders in cohort,25,21,24,23,25,22,19,19
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),33.3,*,*,*,40.0,*,*,*
Average number of re-offences per re-offender,3.10,*,*,*,2.33,*,*,*
Average number of re-offences per offender,1.03,*,*,*,0.93,*,*,*
Number of re-offences,31,23,25,30,28,34,31,13
Number of offenders in cohort,30,25,29,29,30,29,28,27
Average number of previous offences per offender,65.3,*,*,*,70.3,*,*,*
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,11,19,10,9,10,11,13,12
Number of offenders in cohort,13,12,10,7,10,11,12,11
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),50.0,41.2,*,*,41.2,42.4,*,*
Average number of re-offences per re-offender,1.69,1.79,*,*,2.57,2.71,*,*
Average number of re-offences per offender,0.84,0.74,*,*,1.06,1.15,*,*
Number of re-offences,27,25,26,27,36,38,33,41
Number of offenders in cohort,32,34,28,29,34,33,29,28
Average number of previous offences per offender,38.7,42.8,*,*,48.4,44.2,*,*
Proportion of offenders who re-offend (%),25.0,20.6,25.0,30.8,32.4,26.5,32.4,28.6
Average number of re-offences per re-offender,1.89,2.29,2.38,3.83,3.67,3.00,1.50,2.80
Average number of re-offences per offender,0.47,0.47,0.59,1.18,1.19,0.79,0.49,0.80
Number of re-offences,17,16,19,46,44,27,18,28
Number of offenders in cohort,36,34,32,39,37,34,37,35
Average number of previous offences per offender,45.2,45.9,47.3,48.9,49.2,48.9,46.8,45.3
Proportion of offenders who re-offend (%),32.1,48.2,49.1,57.7,53.1,43.6,38.3,35.8
Average number of re-offences per re-offender,2.94,2.26,2.23,2.17,2.27,2.38,2.72,3.00
Average number of re-offences per offender,0.94,1.09,1.09,1.25,1.20,1.04,1.04,1.08
Number of re-offences,50,61,58,65,59,57,49,57
Number of offenders in cohort,53,56,53,52,49,55,47,53
Average number of previous offences per offender,54.3,55.5,56.5,60.1,62.4,60.3,52.5,51.4
Proportion of offenders who re-offend (%),40.0,42.9,38.0,31.8,45.2,42.9,36.6,34.1
Average number of re-offences per re-offender,2.73,2.48,1.95,2.50,2.16,2.50,2.73,2.20
Average number of re-offences per offender,1.09,1.06,0.74,0.80,0.98,1.07,1.00,0.75
Number of re-offences,60,52,37,35,41,45,41,33
Number of offenders in cohort,55,49,50,44,42,42,41,44
Average number of previous offences per offender,71.9,69.4,68.1,67.2,78.0,74.1,72.0,72.1
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,14,10,12,11,14,15,18,16
Number of offenders in cohort,22,26,22,21,19,22,24,22
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),25.8,*,*,*,*,*,*,*
Average number of re-offences per re-offender,1.75,*,*,*,*,*,*,*
Average number of re-offences per offender,0.45,*,*,*,*,*,*,*
Number of re-offences,14,9,12,12,12,8,9,5
Number of offenders in cohort,31,27,26,26,18,18,17,15
Average number of previous offences per offender,49.2,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,24,23,25,23,19,18,25,16
Number of offenders in cohort,23,21,21,16,12,12,13,14
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),51.5,43.8,36.5,43.9,38.7,31.0,25.4,23.4
Average number of re-offences per re-offender,2.88,3.29,2.96,2.86,2.67,2.17,2.56,3.13
Average number of re-offences per offender,1.48,1.44,1.08,1.26,1.03,0.67,0.65,0.73
Number of re-offences,98,92,68,83,64,39,41,47
Number of offenders in cohort,66,64,63,66,62,58,63,64
Average number of previous offences per offender,54.1,55.5,51.0,48.8,51.4,50.4,52.9,52.8
Proportion of offenders who re-offend (%),51.6,*,*,51.4,54.5,42.1,54.3,57.1
Average number of re-offences per re-offender,2.63,*,*,2.28,2.38,2.44,2.79,2.60
Average number of re-offences per offender,1.35,*,*,1.17,1.30,1.03,1.51,1.49
Number of re-offences,42,40,39,41,57,39,53,52
Number of offenders in cohort,31,27,22,35,44,38,35,35
Average number of previous offences per offender,66.6,*,*,59.9,67.7,75.3,75.5,77.4
Proportion of offenders who re-offend (%),48.0,41.8,45.2,55.3,55.8,49.4,48.5,40.0
Average number of re-offences per re-offender,2.42,2.49,2.79,2.65,2.88,2.64,2.24,2.30
Average number of re-offences per offender,1.16,1.04,1.26,1.47,1.60,1.30,1.09,0.92
Number of re-offences,116,102,117,138,138,103,74,46
Number of offenders in cohort,100,98,93,94,86,79,68,50
Average number of previous offences per offender,46.1,45.3,43.6,43.2,45.5,47.6,47.8,49.9
Proportion of offenders who re-offend (%),46.7,*,*,*,*,*,*,*
Average number of re-offences per re-offender,2.14,*,*,*,*,*,*,*
Average number of re-offences per offender,1.00,*,*,*,*,*,*,*
Number of re-offences,30,23,18,8,1,4,4,15
Number of offenders in cohort,30,23,19,15,12,13,13,16
Average number of previous offences per offender,36.8,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),34.0,34.9,37.7,33.3,40.0,41.3,36.4,44.9
Average number of re-offences per re-offender,2.00,2.67,1.60,1.79,2.00,2.32,2.63,2.50
Average number of re-offences per offender,0.68,0.93,0.60,0.60,0.80,0.96,0.95,1.12
Number of re-offences,32,40,32,34,40,44,42,55
Number of offenders in cohort,47,43,53,57,50,46,44,49
Average number of previous offences per offender,48.9,50.9,49.4,51.1,51.7,55.1,53.9,54.3
Proportion of offenders who re-offend (%),52.6,41.5,40.0,50.0,51.3,55.3,48.7,47.5
Average number of re-offences per re-offender,2.75,2.94,3.64,1.84,1.70,2.29,3.16,2.74
Average number of re-offences per offender,1.45,1.22,1.46,0.92,0.87,1.26,1.54,1.30
Number of re-offences,55,50,51,35,34,48,60,52
Number of offenders in cohort,38,41,35,38,39,38,39,40
Average number of previous offences per offender,70.9,66.5,65.7,63.3,60.7,57.8,61.4,62.0
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,12,9,6,16,33,28,25,7
Number of offenders in cohort,16,16,17,24,26,23,21,22
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),54.3,66.7,60.5,40.0,43.5,52.2,46.2,50.0
Average number of re-offences per re-offender,1.89,1.64,1.69,2.15,2.30,2.17,2.33,2.40
Average number of re-offences per offender,1.03,1.10,1.02,0.86,1.00,1.13,1.08,1.20
Number of re-offences,36,46,44,43,46,52,56,60
Number of offenders in cohort,35,42,43,50,46,46,52,50
Average number of previous offences per offender,66.2,66.9,69.4,64.7,66.3,70.3,69.7,67.4
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,8,2,8,13,9,15,16,20
Number of offenders in cohort,11,10,8,9,11,12,22,19
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),35.0,32.4,35.3,33.3,*,36.4,31.7,28.3
Average number of re-offences per re-offender,3.50,3.58,1.67,2.45,*,2.75,2.08,2.60
Average number of re-offences per offender,1.23,1.16,0.59,0.82,*,1.00,0.66,0.74
Number of re-offences,49,43,20,27,27,33,27,39
Number of offenders in cohort,40,37,34,33,29,33,41,53
Average number of previous offences per offender,60.4,62.7,62.4,64.7,*,66.8,62.4,58.7
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,14,10,12,18,23,22,29,34
Number of offenders in cohort,20,19,18,24,26,25,23,26
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,14,28,26,20,21,16,24,21
Number of offenders in cohort,14,15,15,15,15,12,13,17
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,15,11,11,12,9,7,7,9
Number of offenders in cohort,24,21,20,15,14,13,11,11
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,5,5,6,2,5,11,8,8
Number of offenders in cohort,9,6,7,7,6,8,7,7
Average number of previous offences per offender,*,*,*,*,*,*,*,*
