Metropolitan Statistical Area,Counties/principal cities,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft
,City of Elmira,29375.0,134.0,3.0,5.0,28.0,98.0,1266.0,269.0,956.0,41.0
,Total area actually reporting,0.88,224.0,3.0,14.0,37.0,170.0,2382.0,406.0,1906.0,70.0
,Estimated total,1.0,244.0,3.0,15.0,44.0,182.0,2583.0,437.0,2067.0,79.0
,"Rate per 100,000 inhabitants",,277.1,3.4,17.0,50.0,206.7,2933.3,496.3,2347.3,89.7
"El Paso, TX M.S.A.",,744171.0,,,,,,,,,
,Includes El Paso County,,,,,,,,,,
,City of El Paso,616029.0,2574.0,17.0,258.0,472.0,1827.0,19722.0,2149.0,14545.0,3028.0
,Total area actually reporting,1.0,2979.0,20.0,289.0,540.0,2130.0,22917.0,2806.0,16848.0,3263.0
,"Rate per 100,000 inhabitants",,400.3,2.7,38.8,72.6,286.2,3079.5,377.1,2264.0,438.5
"Erie, PA M.S.A.",,278948.0,,,,,,,,,
,Includes Erie County,,,,,,,,,,
,City of Erie,101812.0,543.0,3.0,75.0,264.0,201.0,3068.0,831.0,2062.0,175.0
,Total area actually reporting,1.0,801.0,5.0,117.0,313.0,366.0,5995.0,1514.0,4197.0,284.0
,"Rate per 100,000 inhabitants",,287.2,1.8,41.9,112.2,131.2,2149.1,542.8,1504.6,101.8
"Eugene-Springfield, OR M.S.A.",,340482.0,,,,,,,,,
,Includes Lane County,,,,,,,,,,
,City of Eugene,147458.0,426.0,1.0,55.0,181.0,189.0,7804.0,1640.0,5119.0,1045.0
,City of Springfield,56201.0,245.0,0.0,10.0,40.0,195.0,3137.0,504.0,2219.0,414.0
,Total area actually reporting,1.0,1048.0,1.0,94.0,257.0,696.0,13876.0,3096.0,8958.0,1822.0
,"Rate per 100,000 inhabitants",,307.8,0.3,27.6,75.5,204.4,4075.4,909.3,2631.0,535.1
"Evansville, IN-KY M.S.A.",,351489.0,,,,,,,,,
,"Includes Gibson, Posey, Vanderburgh, and Warrick Counties, IN and Henderson and Webster Counties, KY",,,,,,,,,,
,"City of Evansville, IN",114985.0,522.0,2.0,56.0,179.0,285.0,5308.0,1108.0,3905.0,295.0
,Total area actually reporting,0.829,774.0,5.0,82.0,197.0,490.0,8002.0,1491.0,6108.0,403.0
,Estimated total,1.0,923.0,6.0,97.0,247.0,573.0,9728.0,1843.0,7358.0,527.0
,"Rate per 100,000 inhabitants",,262.6,1.7,27.6,70.3,163.0,2767.7,524.3,2093.4,149.9
"Fairbanks, AK M.S.A.",,33156.0,,,,,,,,,
,Includes Fairbanks North Star Borough,,,,,,,,,,
,City of Fairbanks,31287.0,258.0,5.0,43.0,42.0,168.0,1358.0,236.0,957.0,165.0
,Total area actually reporting,1.0,275.0,5.0,44.0,43.0,183.0,1583.0,262.0,1146.0,175.0
,"Rate per 100,000 inhabitants",,829.4,15.1,132.7,129.7,551.9,4774.4,790.2,3456.4,527.8
"Fargo, ND-MN M.S.A.5",,189580.0,,,,,,,,,
,"Includes Clay County, MN5 and Cass County, ND",,,,,,,,,,
,"City of Fargo, ND",89998.0,241.0,3.0,62.0,26.0,150.0,2745.0,530.0,2018.0,197.0
,Total area actually reporting,1.0,,3.0,,37.0,229.0,4537.0,866.0,3338.0,333.0
,"Rate per 100,000 inhabitants",,,1.6,,19.5,120.8,2393.2,456.8,1760.7,175.7
"Farmington, NM M.S.A.",,128294.0,,,,,,,,,
,Includes San Juan County,,,,,,,,,,
,City of Farmington,44396.0,367.0,8.0,62.0,38.0,259.0,1705.0,582.0,983.0,140.0
,Total area actually reporting,1.0,744.0,16.0,106.0,50.0,572.0,3052.0,996.0,1777.0,279.0
,"Rate per 100,000 inhabitants",,579.9,12.5,82.6,39.0,445.9,2378.9,776.3,1385.1,217.5
"Fayetteville, NC M.S.A.",,345641.0,,,,,,,,,
,Includes Cumberland and Hoke Counties,,,,,,,,,,
,City of Fayetteville,167157.0,1320.0,21.0,56.0,500.0,743.0,12614.0,3569.0,8223.0,822.0
,Total area actually reporting,0.883,2054.0,28.0,85.0,653.0,1288.0,19384.0,5690.0,12474.0,1220.0
,Estimated total,1.0,2136.0,30.0,92.0,667.0,1347.0,20319.0,6021.0,13005.0,1293.0
,"Rate per 100,000 inhabitants",,618.0,8.7,26.6,193.0,389.7,5878.6,1742.0,3762.6,374.1
"Fayetteville-Springdale-Rogers, AR-MO M.S.A.",,432754.0,,,,,,,,,
,"Includes Benton, Madison, and Washington Counties, AR and McDonald County, MO",,,,,,,,,,
,"City of Fayetteville, AR",70334.0,362.0,3.0,42.0,55.0,262.0,3236.0,656.0,2435.0,145.0
,"City of Springdale, AR",65695.0,322.0,2.0,65.0,33.0,222.0,2825.0,621.0,1996.0,208.0
,"City of Rogers, AR",54223.0,93.0,0.0,44.0,14.0,35.0,2340.0,265.0,2008.0,67.0
,"City of Bentonville, AR",34232.0,79.0,0.0,20.0,4.0,55.0,879.0,128.0,714.0,37.0
,Total area actually reporting,0.994,1391.0,9.0,256.0,115.0,1011.0,12722.0,2818.0,9241.0,663.0
,Estimated total,1.0,1403.0,9.0,257.0,118.0,1019.0,12821.0,2847.0,9306.0,668.0
,"Rate per 100,000 inhabitants",,324.2,2.1,59.4,27.3,235.5,2962.7,657.9,2150.4,154.4
"Flagstaff, AZ M.S.A.",,126419.0,,,,,,,,,
,Includes Coconino County,,,,,,,,,,
,City of Flagstaff,58978.0,316.0,3.0,51.0,63.0,199.0,3678.0,471.0,3087.0,120.0
,Total area actually reporting,0.974,560.0,3.0,76.0,73.0,408.0,5072.0,721.0,4171.0,180.0
,Estimated total,1.0,571.0,3.0,77.0,76.0,415.0,5201.0,750.0,4254.0,197.0
,"Rate per 100,000 inhabitants",,451.7,2.4,60.9,60.1,328.3,4114.1,593.3,3365.0,155.8
"Flint, MI M.S.A.",,440751.0,,,,,,,,,
,Includes Genesee County,,,,,,,,,,
,City of Flint,116024.0,2741.0,30.0,109.0,665.0,1937.0,7246.0,3241.0,2965.0,1040.0
,Total area actually reporting,0.997,3708.0,37.0,223.0,899.0,2549.0,17223.0,5656.0,9687.0,1880.0
,Estimated total,1.0,3712.0,37.0,223.0,900.0,2552.0,17259.0,5663.0,9712.0,1884.0
,"Rate per 100,000 inhabitants",,842.2,8.4,50.6,204.2,579.0,3915.8,1284.9,2203.5,427.5
"Florence, SC M.S.A.",,201529.0,,,,,,,,,
,Includes Darlington and Florence Counties,,,,,,,,,,
,City of Florence,31377.0,552.0,5.0,31.0,117.0,399.0,2757.0,586.0,2000.0,171.0
,Total area actually reporting,1.0,2145.0,30.0,94.0,328.0,1693.0,10933.0,2705.0,7384.0,844.0
,"Rate per 100,000 inhabitants",,1064.4,14.9,46.6,162.8,840.1,5425.0,1342.2,3664.0,418.8
"Fond du Lac, WI M.S.A.",,99825.0,,,,,,,,,
,Includes Fond du Lac County,,,,,,,,,,
,City of Fond du Lac,42349.0,147.0,0.0,29.0,19.0,99.0,1204.0,113.0,1055.0,36.0
,Total area actually reporting,1.0,211.0,0.0,34.0,21.0,156.0,1872.0,216.0,1578.0,78.0
,"Rate per 100,000 inhabitants",,211.4,0.0,34.1,21.0,156.3,1875.3,216.4,1580.8,78.1
"Fort Collins-Loveland, CO M.S.A.",,282097.0,,,,,,,,,
,Includes Larimer County,,,,,,,,,,
,City of Fort Collins,130935.0,418.0,1.0,70.0,33.0,314.0,4476.0,695.0,3487.0,294.0
,City of Loveland,62586.0,114.0,1.0,17.0,17.0,79.0,1734.0,251.0,1408.0,75.0
,Total area actually reporting,1.0,643.0,4.0,107.0,59.0,473.0,7881.0,1212.0,6168.0,501.0
,"Rate per 100,000 inhabitants",,227.9,1.4,37.9,20.9,167.7,2793.7,429.6,2186.5,177.6
"Fort Smith, AR-OK M.S.A.1",,291717.0,,,,,,,,,
,"Includes Crawford, Franklin, and Sebastian Counties, AR and Le Flore and Sequoyah1 Counties, OK",,,,,,,,,,
,"City of Fort Smith, AR",83860.0,787.0,5.0,78.0,143.0,561.0,5474.0,1041.0,4110.0,323.0
,Total area actually reporting,0.878,,7.0,,167.0,,8669.0,2048.0,6071.0,550.0
,Estimated total,1.0,,8.0,,177.0,,9554.0,2366.0,6572.0,616.0
,"Rate per 100,000 inhabitants",,,2.7,,60.7,,3275.1,811.1,2252.9,211.2
"Fort Walton Beach-Crestview-Destin, FL M.S.A.",,180091.0,,,,,,,,,
,Includes Okaloosa County,,,,,,,,,,
,City of Fort Walton Beach,19245.0,106.0,0.0,11.0,25.0,70.0,826.0,161.0,601.0,64.0
,City of Crestview,18753.0,101.0,3.0,13.0,21.0,64.0,770.0,82.0,634.0,54.0
,Total area actually reporting,1.0,727.0,4.0,61.0,144.0,518.0,5670.0,1182.0,4125.0,363.0
,"Rate per 100,000 inhabitants",,403.7,2.2,33.9,80.0,287.6,3148.4,656.3,2290.5,201.6
"Fort Wayne, IN M.S.A.",,410350.0,,,,,,,,,
,"Includes Allen, Wells, and Whitley Counties",,,,,,,,,,
,City of Fort Wayne,248423.0,762.0,24.0,85.0,407.0,246.0,10083.0,2129.0,7312.0,642.0
,Total area actually reporting,0.911,825.0,25.0,98.0,427.0,275.0,11724.0,2448.0,8508.0,768.0
,Estimated total,1.0,882.0,26.0,103.0,443.0,310.0,12576.0,2609.0,9132.0,835.0
,"Rate per 100,000 inhabitants",,214.9,6.3,25.1,108.0,75.5,3064.7,635.8,2225.4,203.5
"Fresno, CA M.S.A.",,898391.0,,,,,,,,,
,Includes Fresno County,,,,,,,,,,
,City of Fresno,472170.0,3043.0,52.0,99.0,1104.0,1788.0,20969.0,3897.0,13049.0,4023.0
,Total area actually reporting,1.0,4450.0,73.0,183.0,1430.0,2764.0,35941.0,7159.0,22335.0,6447.0
,"Rate per 100,000 inhabitants",,495.3,8.1,20.4,159.2,307.7,4000.6,796.9,2486.1,717.6
"Gainesville, FL M.S.A.3",,243506.0,,,,,,,,,
,Includes Alachua and Gilchrist3 Counties,,,,,,,,,,
,City of Gainesville,108289.0,1122.0,5.0,93.0,237.0,787.0,5795.0,1522.0,3837.0,436.0
,Total area actually reporting,0.997,2291.0,7.0,150.0,410.0,1724.0,,3001.0,,788.0
,Estimated total,1.0,2296.0,7.0,150.0,412.0,1727.0,,3008.0,,791.0
,"Rate per 100,000 inhabitants",,942.9,2.9,61.6,169.2,709.2,,1235.3,,324.8
"Gainesville, GA M.S.A.",,178408.0,,,,,,,,,
,Includes Hall County,,,,,,,,,,
,City of Gainesville,34494.0,184.0,2.0,18.0,55.0,109.0,1920.0,293.0,1494.0,133.0
,Total area actually reporting,1.0,416.0,4.0,37.0,104.0,271.0,4894.0,1023.0,3313.0,558.0
,"Rate per 100,000 inhabitants",,233.2,2.2,20.7,58.3,151.9,2743.2,573.4,1857.0,312.8
"Glens Falls, NY M.S.A.",,129840.0,,,,,,,,,
,Includes Warren and Washington Counties,,,,,,,,,,
,City of Glens Falls,14043.0,18.0,1.0,2.0,5.0,10.0,471.0,51.0,413.0,7.0
,Total area actually reporting,1.0,235.0,5.0,41.0,12.0,177.0,2391.0,376.0,1947.0,68.0
,"Rate per 100,000 inhabitants",,181.0,3.9,31.6,9.2,136.3,1841.5,289.6,1499.5,52.4
"Goldsboro, NC M.S.A.",,115119.0,,,,,,,,,
,Includes Wayne County,,,,,,,,,,
,City of Goldsboro,38053.0,312.0,10.0,6.0,100.0,196.0,2843.0,755.0,1921.0,167.0
,Total area actually reporting,0.981,526.0,19.0,10.0,132.0,365.0,5394.0,1656.0,3391.0,347.0
,Estimated total,1.0,536.0,19.0,11.0,135.0,371.0,5505.0,1683.0,3469.0,353.0
,"Rate per 100,000 inhabitants",,465.6,16.5,9.6,117.3,322.3,4782.0,1462.0,3013.4,306.6
"Grand Forks, ND-MN M.S.A.5",,96813.0,,,,,,,,,
,"Includes Polk County, MN5 and Grand Forks County, ND",,,,,,,,,,
,"City of Grand Forks, ND",50477.0,120.0,1.0,30.0,11.0,78.0,1762.0,253.0,1379.0,130.0
,Total area actually reporting,0.987,,2.0,,11.0,120.0,2541.0,426.0,1938.0,177.0
,Estimated total,1.0,,2.0,,11.0,121.0,2576.0,431.0,1965.0,180.0
,"Rate per 100,000 inhabitants",,,2.1,,11.4,125.0,2660.8,445.2,2029.7,185.9
"Grand Junction, CO M.S.A.",,137907.0,,,,,,,,,
,Includes Mesa County,,,,,,,,,,
,City of Grand Junction,47235.0,290.0,0.0,36.0,31.0,223.0,2532.0,327.0,2033.0,172.0
,Total area actually reporting,0.997,473.0,2.0,52.0,51.0,368.0,4111.0,719.0,3067.0,325.0
,Estimated total,1.0,474.0,2.0,52.0,51.0,369.0,4124.0,721.0,3077.0,326.0
,"Rate per 100,000 inhabitants",,343.7,1.5,37.7,37.0,267.6,2990.4,522.8,2231.2,236.4
"Grand Rapids-Wyoming, MI M.S.A.",,774927.0,,,,,,,,,
,"Includes Barry, Ionia, Kent, and Newaygo Counties",,,,,,,,,,
,City of Grand Rapids,192376.0,1874.0,20.0,69.0,669.0,1116.0,10149.0,2629.0,6931.0,589.0
,City of Wyoming,70243.0,356.0,1.0,42.0,96.0,217.0,2177.0,581.0,1391.0,205.0
,Total area actually reporting,0.991,3277.0,27.0,355.0,878.0,2017.0,24624.0,5853.0,17471.0,1300.0
,Estimated total,1.0,3298.0,27.0,357.0,883.0,2031.0,24826.0,5891.0,17614.0,1321.0
,"Rate per 100,000 inhabitants",,425.6,3.5,46.1,113.9,262.1,3203.7,760.2,2273.0,170.5
"Great Falls, MT M.S.A.",,79880.0,,,,,,,,,
,Includes Cascade County,,,,,,,,,,
,City of Great Falls,56159.0,178.0,1.0,6.0,29.0,142.0,3061.0,235.0,2713.0,113.0
,Total area actually reporting,1.0,240.0,2.0,8.0,29.0,201.0,3340.0,278.0,2921.0,141.0
,"Rate per 100,000 inhabitants",,300.5,2.5,10.0,36.3,251.6,4181.3,348.0,3656.7,176.5
"Greeley, CO M.S.A.",,247806.0,,,,,,,,,
,Includes Weld County,,,,,,,,,,
,City of Greeley,90707.0,423.0,4.0,50.0,48.0,321.0,3566.0,703.0,2610.0,253.0
,Total area actually reporting,0.981,753.0,7.0,79.0,63.0,604.0,6507.0,1398.0,4571.0,538.0
,Estimated total,1.0,765.0,7.0,81.0,65.0,612.0,6664.0,1424.0,4686.0,554.0
,"Rate per 100,000 inhabitants",,308.7,2.8,32.7,26.2,247.0,2689.2,574.6,1891.0,223.6
"Green Bay, WI M.S.A.",,302277.0,,,,,,,,,
,"Includes Brown, Kewaunee, and Oconto Counties",,,,,,,,,,
,City of Green Bay,100010.0,616.0,2.0,67.0,89.0,458.0,2843.0,565.0,2094.0,184.0
,Total area actually reporting,1.0,711.0,4.0,96.0,91.0,520.0,6882.0,1283.0,5225.0,374.0
,"Rate per 100,000 inhabitants",,235.2,1.3,31.8,30.1,172.0,2276.7,424.4,1728.5,123.7
"Greensboro-High Point, NC M.S.A.",,697634.0,,,,,,,,,
,"Includes Guilford, Randolph, and Rockingham Counties",,,,,,,,,,
,City of Greensboro,238122.0,2312.0,40.0,94.0,942.0,1236.0,14778.0,4704.0,8943.0,1131.0
,City of High Point,97676.0,819.0,13.0,38.0,330.0,438.0,5654.0,1840.0,3401.0,413.0
,Total area actually reporting,0.998,3914.0,73.0,166.0,1493.0,2182.0,31703.0,9690.0,19797.0,2216.0
,Estimated total,1.0,3920.0,73.0,166.0,1495.0,2186.0,31768.0,9706.0,19843.0,2219.0
,"Rate per 100,000 inhabitants",,561.9,10.5,23.8,214.3,313.3,4553.7,1391.3,2844.3,318.1
"Greenville, NC M.S.A.",,169150.0,,,,,,,,,
,Includes Greene and Pitt Counties,,,,,,,,,,
,City of Greenville,73319.0,663.0,8.0,20.0,275.0,360.0,4928.0,1424.0,3237.0,267.0
,Total area actually reporting,1.0,1032.0,14.0,46.0,330.0,642.0,8422.0,2596.0,5343.0,483.0
,"Rate per 100,000 inhabitants",,610.1,8.3,27.2,195.1,379.5,4979.0,1534.7,3158.7,285.5
"Greenville-Mauldin-Easley, SC M.S.A.",,613703.0,,,,,,,,,
,"Includes Greenville, Laurens, and Pickens Counties",,,,,,,,,,
,City of Greenville,57595.0,659.0,8.0,26.0,172.0,453.0,3810.0,643.0,2805.0,362.0
,City of Mauldin,20494.0,92.0,1.0,5.0,15.0,71.0,545.0,70.0,427.0,48.0
,City of Easley,19372.0,103.0,1.0,6.0,20.0,76.0,939.0,126.0,749.0,64.0
,Total area actually reporting,1.0,4251.0,40.0,247.0,877.0,3087.0,23927.0,6026.0,15611.0,2290.0
,"Rate per 100,000 inhabitants",,692.7,6.5,40.2,142.9,503.0,3898.8,981.9,2543.7,373.1
"Hanford-Corcoran, CA M.S.A.",,147510.0,,,,,,,,,
,Includes Kings County,,,,,,,,,,
,City of Hanford,49694.0,151.0,0.0,8.0,40.0,103.0,1674.0,244.0,1233.0,197.0
,City of Corcoran,23715.0,45.0,0.0,4.0,5.0,36.0,216.0,65.0,119.0,32.0
,Total area actually reporting,1.0,441.0,7.0,29.0,92.0,313.0,3439.0,660.0,2214.0,565.0
,"Rate per 100,000 inhabitants",,299.0,4.7,19.7,62.4,212.2,2331.4,447.4,1500.9,383.0
"Harrisburg-Carlisle, PA M.S.A.",,526335.0,,,,,,,,,
,"Includes Cumberland, Dauphin, and Perry Counties",,,,,,,,,,
,City of Harrisburg,46924.0,734.0,12.0,52.0,443.0,227.0,2297.0,576.0,1556.0,165.0
,City of Carlisle,18317.0,55.0,0.0,12.0,26.0,17.0,663.0,72.0,572.0,19.0
,Total area actually reporting,0.99,1671.0,21.0,158.0,665.0,827.0,10534.0,1933.0,8124.0,477.0
,Estimated total,1.0,1683.0,21.0,159.0,668.0,835.0,10644.0,1950.0,8211.0,483.0
,"Rate per 100,000 inhabitants",,319.8,4.0,30.2,126.9,158.6,2022.3,370.5,1560.0,91.8
"Harrisonburg, VA M.S.A.",,113967.0,,,,,,,,,
,Includes Rockingham County and Harrisonburg City,,,,,,,,,,
,City of Harrisonburg,40869.0,150.0,0.0,11.0,37.0,102.0,1240.0,250.0,874.0,116.0
,Total area actually reporting,1.0,188.0,0.0,20.0,40.0,128.0,1930.0,412.0,1382.0,136.0
,"Rate per 100,000 inhabitants",,165.0,0.0,17.5,35.1,112.3,1693.5,361.5,1212.6,119.3
"Hartford-West Hartford-East Hartford, CT M.S.A.",,1006947.0,,,,,,,,,
,"Includes Hartford, Middlesex, and Tolland Counties",,,,,,,,,,
,City of Hartford,124558.0,1411.0,31.0,58.0,642.0,680.0,7206.0,1168.0,4437.0,1601.0
,City of West Hartford,60644.0,83.0,1.0,2.0,53.0,27.0,1468.0,241.0,1063.0,164.0
,City of East Hartford,48752.0,221.0,3.0,15.0,100.0,103.0,1614.0,349.0,1030.0,235.0
,City of Middletown,47743.0,48.0,0.0,0.0,25.0,23.0,1267.0,179.0,966.0,122.0
,Total area actually reporting,1.0,2936.0,46.0,182.0,1328.0,1380.0,29632.0,5217.0,20804.0,3611.0
,"Rate per 100,000 inhabitants",,291.6,4.6,18.1,131.9,137.0,2942.8,518.1,2066.0,358.6
"Hattiesburg, MS M.S.A.",,135875.0,,,,,,,,,
,"Includes Forrest, Lamar, and Perry Counties",,,,,,,,,,
,City of Hattiesburg,48384.0,234.0,2.0,21.0,135.0,76.0,2588.0,596.0,1821.0,171.0
,Total area actually reporting,0.758,309.0,2.0,48.0,151.0,108.0,3470.0,931.0,2310.0,229.0
,Estimated total,1.0,362.0,4.0,54.0,161.0,143.0,4189.0,1129.0,2755.0,305.0
,"Rate per 100,000 inhabitants",,266.4,2.9,39.7,118.5,105.2,3083.0,830.9,2027.6,224.5
"Hickory-Lenoir-Morganton, NC M.S.A.",,365896.0,,,,,,,,,
,"Includes Alexander, Burke, Caldwell, and Catawba Counties",,,,,,,,,,
,City of Hickory,41008.0,368.0,5.0,21.0,116.0,226.0,3398.0,783.0,2338.0,277.0
,City of Lenoir,17988.0,51.0,1.0,1.0,15.0,34.0,768.0,217.0,517.0,34.0
,City of Morganton,17183.0,77.0,2.0,8.0,17.0,50.0,713.0,179.0,497.0,37.0
,Total area actually reporting,0.993,1026.0,19.0,85.0,250.0,672.0,12794.0,3743.0,8087.0,964.0
,Estimated total,1.0,1037.0,19.0,86.0,253.0,679.0,12923.0,3774.0,8178.0,971.0
,"Rate per 100,000 inhabitants",,283.4,5.2,23.5,69.1,185.6,3531.9,1031.4,2235.1,265.4
"Hinesville-Fort Stewart, GA M.S.A.",,74369.0,,,,,,,,,
,Includes Liberty and Long Counties,,,,,,,,,,
,City of Hinesville,29466.0,225.0,4.0,16.0,44.0,161.0,2055.0,479.0,1511.0,65.0
,Total area actually reporting,1.0,317.0,5.0,26.0,57.0,229.0,2876.0,702.0,2072.0,102.0
,"Rate per 100,000 inhabitants",,426.3,6.7,35.0,76.6,307.9,3867.2,943.9,2786.1,137.2
"Honolulu, HI M.S.A.",,905903.0,,,,,,,,,
,Includes Honolulu County,,,,,,,,,,
,City of Honolulu,905903.0,2613.0,19.0,226.0,943.0,1425.0,37197.0,5777.0,26483.0,4937.0
,Total area actually reporting,1.0,2613.0,19.0,226.0,943.0,1425.0,37197.0,5777.0,26483.0,4937.0
,"Rate per 100,000 inhabitants",,288.4,2.1,24.9,104.1,157.3,4106.1,637.7,2923.4,545.0
"Hot Springs, AR M.S.A.",,96271.0,,,,,,,,,
,Includes Garland County,,,,,,,,,,
,City of Hot Springs,38828.0,442.0,7.0,10.0,116.0,309.0,3951.0,848.0,2894.0,209.0
,Total area actually reporting,1.0,538.0,10.0,24.0,123.0,381.0,6257.0,1784.0,4090.0,383.0
,"Rate per 100,000 inhabitants",,558.8,10.4,24.9,127.8,395.8,6499.4,1853.1,4248.4,397.8
"Houma-Bayou Cane-Thibodaux, LA M.S.A.",,203401.0,,,,,,,,,
,Includes Lafourche and Terrebonne Parishes,,,,,,,,,,
,City of Houma,32597.0,340.0,4.0,16.0,65.0,255.0,1489.0,235.0,1182.0,72.0
,City of Thibodaux,14501.0,120.0,1.0,10.0,21.0,88.0,679.0,126.0,539.0,14.0
,Total area actually reporting,1.0,997.0,12.0,66.0,134.0,785.0,7104.0,1037.0,5666.0,401.0
,"Rate per 100,000 inhabitants",,490.2,5.9,32.4,65.9,385.9,3492.6,509.8,2785.6,197.1
"Houston-Sugar Land-Baytown, TX M.S.A.",,5664249.0,,,,,,,,,
,"Includes Austin, Brazoria, Chambers, Fort Bend, Galveston, Harris, Liberty, Montgomery, San Jacinto, and Waller Counties",,,,,,,,,,
,City of Houston,2169544.0,24564.0,351.0,694.0,11479.0,12040.0,123326.0,29044.0,74817.0,19465.0
,City of Sugar Land,82402.0,100.0,0.0,17.0,39.0,44.0,1578.0,210.0,1268.0,100.0
,City of Baytown,69040.0,324.0,7.0,44.0,113.0,160.0,3098.0,731.0,2048.0,319.0
,City of Galveston,57590.0,585.0,7.0,82.0,209.0,287.0,3475.0,757.0,2394.0,324.0
,Total area actually reporting,0.999,38464.0,496.0,1749.0,15229.0,20990.0,232740.0,56715.0,144760.0,31265.0
,Estimated total,1.0,38465.0,496.0,1749.0,15229.0,20991.0,232759.0,56719.0,144774.0,31266.0
,"Rate per 100,000 inhabitants",,679.1,8.8,30.9,268.9,370.6,4109.3,1001.4,2555.9,552.0
"Huntsville, AL M.S.A.",,382202.0,,,,,,,,,
,Includes Limestone and Madison Counties,,,,,,,,,,
,City of Huntsville,169391.0,1379.0,21.0,96.0,586.0,676.0,10731.0,2283.0,7282.0,1166.0
,Total area actually reporting,0.839,1626.0,25.0,121.0,620.0,860.0,13300.0,2960.0,8847.0,1493.0
,Estimated total,1.0,1885.0,31.0,138.0,712.0,1004.0,15986.0,3529.0,10778.0,1679.0
,"Rate per 100,000 inhabitants",,493.2,8.1,36.1,186.3,262.7,4182.6,923.3,2820.0,439.3
"Idaho Falls, ID M.S.A.",,119795.0,,,,,,,,,
,Includes Bonneville and Jefferson Counties,,,,,,,,,,
,City of Idaho Falls,53049.0,222.0,0.0,32.0,16.0,174.0,1927.0,372.0,1432.0,123.0
,Total area actually reporting,1.0,342.0,1.0,53.0,17.0,271.0,3173.0,680.0,2277.0,216.0
,"Rate per 100,000 inhabitants",,285.5,0.8,44.2,14.2,226.2,2648.7,567.6,1900.7,180.3
"Indianapolis-Carmel, IN M.S.A.",,1687197.0,,,,,,,,,
,"Includes Boone, Brown, Hamilton, Hancock, Hendricks, Johnson, Marion, Morgan, Putnam, and Shelby Counties",,,,,,,,,,
,City of Indianapolis,797268.0,9841.0,114.0,505.0,4046.0,5176.0,50289.0,13385.0,29224.0,7680.0
,City of Carmel,62037.0,29.0,1.0,3.0,6.0,19.0,1009.0,123.0,840.0,46.0
,Total area actually reporting,0.896,10758.0,125.0,588.0,4311.0,5734.0,66567.0,15880.0,41891.0,8796.0
,Estimated total,1.0,11003.0,130.0,611.0,4375.0,5887.0,70304.0,16620.0,44594.0,9090.0
,"Rate per 100,000 inhabitants",,652.1,7.7,36.2,259.3,348.9,4166.9,985.1,2643.1,538.8
"Iowa City, IA M.S.A.",,140650.0,,,,,,,,,
,Includes Johnson and Washington Counties,,,,,,,,,,
,City of Iowa City,62700.0,207.0,0.0,18.0,33.0,156.0,1333.0,217.0,1054.0,62.0
,Total area actually reporting,0.948,362.0,0.0,31.0,45.0,286.0,2841.0,550.0,2167.0,124.0
,Estimated total,1.0,375.0,0.0,32.0,46.0,297.0,3011.0,578.0,2301.0,132.0
,"Rate per 100,000 inhabitants",,266.6,0.0,22.8,32.7,211.2,2140.8,410.9,1636.0,93.8
"Ithaca, NY M.S.A.",,100687.0,,,,,,,,,
,Includes Tompkins County,,,,,,,,,,
,City of Ithaca,29970.0,58.0,0.0,8.0,22.0,28.0,965.0,147.0,805.0,13.0
,Total area actually reporting,1.0,116.0,0.0,19.0,28.0,69.0,2321.0,343.0,1925.0,53.0
,"Rate per 100,000 inhabitants",,115.2,0.0,18.9,27.8,68.5,2305.2,340.7,1911.9,52.6
"Jackson, MI M.S.A.",,163839.0,,,,,,,,,
,Includes Jackson County,,,,,,,,,,
,City of Jackson,34325.0,225.0,1.0,39.0,50.0,135.0,1682.0,281.0,1291.0,110.0
,Total area actually reporting,0.986,570.0,2.0,98.0,76.0,394.0,4401.0,894.0,3239.0,268.0
,Estimated total,1.0,578.0,2.0,99.0,78.0,399.0,4469.0,907.0,3287.0,275.0
,"Rate per 100,000 inhabitants",,352.8,1.2,60.4,47.6,243.5,2727.7,553.6,2006.2,167.8
"Jackson, MS M.S.A.",,532981.0,,,,,,,,,
,"Includes Copiah, Hinds, Madison, Rankin, and Simpson Counties",,,,,,,,,,
,City of Jackson,175525.0,1512.0,46.0,141.0,862.0,463.0,12465.0,3897.0,6984.0,1584.0
,Total area actually reporting,0.798,1936.0,60.0,202.0,967.0,707.0,17490.0,5384.0,10217.0,1889.0
,Estimated total,1.0,2157.0,66.0,229.0,1021.0,841.0,20628.0,6201.0,12280.0,2147.0
,"Rate per 100,000 inhabitants",,404.7,12.4,43.0,191.6,157.8,3870.3,1163.5,2304.0,402.8
"Jackson, TN M.S.A.",,113807.0,,,,,,,,,
,Includes Chester and Madison Counties,,,,,,,,,,
,City of Jackson,63125.0,681.0,9.0,27.0,266.0,379.0,4606.0,1106.0,2930.0,570.0
,Total area actually reporting,1.0,953.0,12.0,48.0,283.0,610.0,5891.0,1490.0,3702.0,699.0
,"Rate per 100,000 inhabitants",,837.4,10.5,42.2,248.7,536.0,5176.3,1309.2,3252.9,614.2
"Jacksonville, FL M.S.A.1",,1290776.0,,,,,,,,,
,"Includes Baker, Clay, Duval, Nassau,1 and St. Johns Counties",,,,,,,,,,
