Table 10,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by State by Metropolitan and Nonmetropolitan Counties, 2017",,,,,,,,,,,
[The data shown in this table do not reflect county totals but are the number of offenses reported by the sheriff's office or county police department.],,,,,,,,,,,
State,County,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2
,Whiteside,24.0,0.0,7.0,0.0,17.0,106.0,44.0,50.0,12.0,1.0
INDIANA - Metropolitan Counties,Allen,167.0,1.0,25.0,25.0,116.0,731.0,169.0,503.0,59.0,1.0
,Bartholomew,62.0,1.0,9.0,23.0,29.0,579.0,152.0,335.0,92.0,0.0
,Clark,114.0,0.0,12.0,7.0,95.0,524.0,178.0,267.0,79.0,2.0
,Delaware,59.0,2.0,3.0,9.0,45.0,377.0,91.0,228.0,58.0,2.0
,Johnson,63.0,0.0,0.0,9.0,54.0,536.0,70.0,454.0,12.0,0.0
,Lake,61.0,2.0,4.0,29.0,26.0,654.0,75.0,505.0,74.0,1.0
,La Porte6,68.0,0.0,7.0,4.0,57.0,457.0,158.0,251.0,48.0,0.0
,Madison,32.0,0.0,19.0,6.0,7.0,428.0,115.0,281.0,32.0,1.0
,Monroe,42.0,0.0,11.0,7.0,24.0,682.0,84.0,529.0,69.0,6.0
,Shelby,50.0,0.0,9.0,1.0,40.0,213.0,71.0,110.0,32.0,0.0
,St. Joseph,119.0,1.0,24.0,28.0,66.0,1239.0,385.0,745.0,109.0,3.0
,Tippecanoe,45.0,1.0,7.0,7.0,30.0,515.0,146.0,335.0,34.0,10.0
,Vanderburgh,89.0,1.0,12.0,12.0,64.0,688.0,131.0,524.0,33.0,6.0
,Vigo6,61.0,1.0,8.0,6.0,46.0,879.0,279.0,486.0,114.0,3.0
INDIANA - Nonmetropolitan Counties,Clinton,13.0,0.0,9.0,1.0,3.0,194.0,71.0,100.0,23.0,1.0
,Crawford,28.0,0.0,1.0,0.0,27.0,90.0,76.0,0.0,14.0,0.0
,Daviess,1.0,1.0,0.0,0.0,0.0,92.0,24.0,57.0,11.0,
,De Kalb,10.0,0.0,7.0,2.0,1.0,175.0,42.0,113.0,20.0,
,Franklin,3.0,0.0,0.0,3.0,0.0,137.0,49.0,70.0,18.0,
,Grant,28.0,0.0,3.0,0.0,25.0,223.0,63.0,153.0,7.0,0.0
,Greene,2.0,1.0,1.0,0.0,0.0,213.0,37.0,154.0,22.0,0.0
,Huntington,5.0,0.0,1.0,0.0,4.0,94.0,11.0,70.0,13.0,
,Jackson,17.0,0.0,5.0,0.0,12.0,349.0,109.0,227.0,13.0,
,Jennings,22.0,1.0,6.0,0.0,15.0,229.0,127.0,93.0,9.0,0.0
,LaGrange,38.0,0.0,5.0,3.0,30.0,172.0,42.0,92.0,38.0,0.0
,Lawrence,69.0,0.0,3.0,1.0,65.0,251.0,114.0,97.0,40.0,2.0
,Miami,11.0,0.0,1.0,0.0,10.0,246.0,75.0,164.0,7.0,0.0
,Noble,12.0,0.0,4.0,0.0,8.0,243.0,113.0,105.0,25.0,0.0
,Starke,18.0,2.0,3.0,0.0,13.0,403.0,46.0,351.0,6.0,
,Wayne,14.0,1.0,3.0,2.0,8.0,198.0,60.0,123.0,15.0,
IOWA - Metropolitan Counties,Benton,24.0,0.0,1.0,1.0,22.0,98.0,35.0,55.0,8.0,0.0
,Black Hawk,26.0,0.0,3.0,1.0,22.0,146.0,66.0,60.0,20.0,1.0
,Dallas,34.0,1.0,5.0,3.0,25.0,103.0,37.0,56.0,10.0,2.0
,Dubuque,16.0,0.0,10.0,0.0,6.0,166.0,57.0,95.0,14.0,1.0
,Grundy,10.0,0.0,0.0,0.0,10.0,60.0,22.0,36.0,2.0,0.0
,Guthrie,6.0,0.0,0.0,2.0,4.0,54.0,27.0,18.0,9.0,0.0
,Harrison,17.0,0.0,4.0,0.0,13.0,68.0,14.0,43.0,11.0,1.0
,Johnson,70.0,0.0,17.0,2.0,51.0,234.0,42.0,177.0,15.0,0.0
,Linn,33.0,0.0,17.0,1.0,15.0,311.0,125.0,147.0,39.0,1.0
,Madison,1.0,0.0,0.0,0.0,1.0,41.0,17.0,19.0,5.0,2.0
,Mills,21.0,0.0,1.0,0.0,20.0,97.0,26.0,50.0,21.0,1.0
,Plymouth,14.0,0.0,3.0,0.0,11.0,32.0,11.0,15.0,6.0,0.0
,Polk,113.0,6.0,24.0,11.0,72.0,677.0,204.0,355.0,118.0,5.0
,Pottawattamie,64.0,0.0,8.0,3.0,53.0,311.0,95.0,173.0,43.0,5.0
,Scott,50.0,0.0,6.0,3.0,41.0,207.0,76.0,99.0,32.0,1.0
,Story,14.0,0.0,3.0,1.0,10.0,131.0,56.0,65.0,10.0,5.0
,Warren,52.0,1.0,8.0,0.0,43.0,191.0,56.0,106.0,29.0,5.0
,Washington,31.0,0.0,3.0,0.0,28.0,84.0,37.0,40.0,7.0,0.0
,Woodbury,27.0,0.0,2.0,0.0,25.0,166.0,62.0,78.0,26.0,1.0
IOWA - Nonmetropolitan Counties,Adair,4.0,0.0,0.0,0.0,4.0,39.0,15.0,18.0,6.0,0.0
,Appanoose,17.0,1.0,1.0,0.0,15.0,126.0,63.0,50.0,13.0,1.0
,Audubon,3.0,0.0,0.0,0.0,3.0,19.0,0.0,18.0,1.0,1.0
,Boone,20.0,0.0,1.0,0.0,19.0,57.0,21.0,25.0,11.0,2.0
,Buchanan,5.0,2.0,1.0,0.0,2.0,122.0,42.0,68.0,12.0,2.0
,Buena Vista,11.0,0.0,1.0,0.0,10.0,29.0,9.0,18.0,2.0,1.0
,Butler,2.0,0.0,1.0,0.0,1.0,9.0,5.0,3.0,1.0,1.0
,Calhoun,7.0,0.0,1.0,0.0,6.0,36.0,10.0,23.0,3.0,2.0
,Carroll,3.0,0.0,2.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0
,Cass,16.0,0.0,5.0,0.0,11.0,50.0,15.0,30.0,5.0,0.0
,Cedar,7.0,0.0,4.0,0.0,3.0,64.0,15.0,42.0,7.0,0.0
,Cerro Gordo,11.0,0.0,0.0,0.0,11.0,98.0,31.0,57.0,10.0,0.0
,Cherokee,4.0,0.0,1.0,0.0,3.0,21.0,8.0,10.0,3.0,0.0
,Chickasaw,11.0,1.0,1.0,0.0,9.0,32.0,5.0,22.0,5.0,0.0
,Clarke,4.0,0.0,1.0,0.0,3.0,36.0,15.0,13.0,8.0,0.0
,Clay,9.0,0.0,0.0,0.0,9.0,40.0,9.0,25.0,6.0,0.0
,Clayton,9.0,0.0,4.0,1.0,4.0,46.0,16.0,24.0,6.0,0.0
,Clinton,38.0,2.0,0.0,0.0,36.0,126.0,38.0,78.0,10.0,0.0
,Crawford,4.0,0.0,0.0,0.0,4.0,14.0,5.0,7.0,2.0,2.0
,Davis,2.0,0.0,0.0,0.0,2.0,8.0,4.0,4.0,0.0,0.0
,Decatur,7.0,0.0,0.0,0.0,7.0,17.0,6.0,9.0,2.0,0.0
,Delaware,14.0,0.0,7.0,0.0,7.0,86.0,43.0,39.0,4.0,2.0
,Des Moines,7.0,0.0,1.0,1.0,5.0,157.0,98.0,49.0,10.0,0.0
,Dickinson,10.0,1.0,2.0,0.0,7.0,27.0,8.0,11.0,8.0,0.0
,Emmet,10.0,0.0,0.0,0.0,10.0,37.0,7.0,25.0,5.0,0.0
,Fayette,11.0,0.0,1.0,1.0,9.0,39.0,12.0,21.0,6.0,0.0
,Floyd,2.0,0.0,0.0,0.0,2.0,23.0,12.0,8.0,3.0,0.0
,Franklin,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
,Fremont,21.0,0.0,7.0,0.0,14.0,59.0,23.0,26.0,10.0,0.0
,Hamilton,5.0,0.0,0.0,0.0,5.0,40.0,13.0,24.0,3.0,3.0
,Henry,16.0,0.0,1.0,0.0,15.0,89.0,34.0,50.0,5.0,3.0
,Howard,1.0,0.0,0.0,0.0,1.0,63.0,38.0,20.0,5.0,0.0
,Humboldt,3.0,0.0,0.0,0.0,3.0,41.0,9.0,29.0,3.0,0.0
,Ida,9.0,0.0,0.0,0.0,9.0,23.0,8.0,12.0,3.0,0.0
,Iowa,17.0,1.0,0.0,0.0,16.0,69.0,20.0,36.0,13.0,0.0
,Jackson,3.0,0.0,0.0,0.0,3.0,21.0,14.0,2.0,5.0,0.0
,Jasper,32.0,1.0,5.0,0.0,26.0,121.0,49.0,60.0,12.0,2.0
,Jefferson,0.0,0.0,0.0,0.0,0.0,45.0,22.0,18.0,5.0,0.0
,Keokuk,6.0,0.0,3.0,0.0,3.0,48.0,22.0,20.0,6.0,0.0
,Kossuth,14.0,0.0,1.0,0.0,13.0,15.0,5.0,9.0,1.0,0.0
,Lee,27.0,1.0,0.0,1.0,25.0,99.0,38.0,46.0,15.0,0.0
,Louisa,30.0,0.0,5.0,1.0,24.0,100.0,48.0,45.0,7.0,2.0
,Lucas,13.0,0.0,3.0,0.0,10.0,86.0,47.0,34.0,5.0,2.0
,Lyon,11.0,0.0,1.0,0.0,10.0,62.0,19.0,39.0,4.0,1.0
,Mahaska,15.0,0.0,1.0,0.0,14.0,130.0,79.0,39.0,12.0,1.0
,Marion,42.0,0.0,20.0,0.0,22.0,67.0,34.0,24.0,9.0,1.0
,Marshall,26.0,0.0,0.0,1.0,25.0,91.0,32.0,54.0,5.0,1.0
,Monona,11.0,0.0,1.0,0.0,10.0,34.0,5.0,24.0,5.0,0.0
,Monroe,7.0,0.0,2.0,0.0,5.0,23.0,6.0,13.0,4.0,0.0
,Muscatine,29.0,0.0,4.0,1.0,24.0,67.0,34.0,22.0,11.0,2.0
,O'Brien,25.0,0.0,3.0,0.0,22.0,73.0,20.0,52.0,1.0,0.0
,Osceola,5.0,0.0,1.0,0.0,4.0,81.0,22.0,59.0,0.0,0.0
,Page,7.0,0.0,1.0,0.0,6.0,42.0,16.0,17.0,9.0,0.0
,Palo Alto,18.0,0.0,2.0,0.0,16.0,67.0,31.0,30.0,6.0,0.0
,Sac,8.0,0.0,4.0,0.0,4.0,50.0,14.0,31.0,5.0,0.0
,Shelby,6.0,0.0,0.0,0.0,6.0,24.0,11.0,13.0,0.0,1.0
,Sioux,2.0,0.0,1.0,0.0,1.0,51.0,17.0,31.0,3.0,1.0
,Tama,36.0,0.0,5.0,0.0,31.0,83.0,42.0,35.0,6.0,1.0
,Taylor,3.0,0.0,0.0,0.0,3.0,17.0,4.0,11.0,2.0,0.0
,Union,6.0,0.0,0.0,0.0,6.0,44.0,16.0,21.0,7.0,1.0
,Van Buren,4.0,0.0,0.0,0.0,4.0,53.0,27.0,23.0,3.0,1.0
,Wapello,22.0,0.0,2.0,0.0,20.0,186.0,80.0,89.0,17.0,2.0
,Wayne,13.0,0.0,2.0,0.0,11.0,54.0,22.0,28.0,4.0,0.0
,Webster,46.0,1.0,2.0,1.0,42.0,127.0,54.0,56.0,17.0,5.0
,Winneshiek,8.0,0.0,1.0,0.0,7.0,32.0,5.0,23.0,4.0,0.0
,Worth,10.0,0.0,1.0,0.0,9.0,50.0,13.0,28.0,9.0,0.0
,Wright,2.0,0.0,2.0,0.0,0.0,19.0,11.0,8.0,0.0,0.0
KANSAS - Metropolitan Counties,Butler,49.0,1.0,7.0,1.0,40.0,442.0,134.0,271.0,37.0,4.0
,Doniphan,4.0,1.0,0.0,0.0,3.0,31.0,13.0,12.0,6.0,0.0
,Harvey,23.0,3.0,1.0,0.0,19.0,72.0,28.0,36.0,8.0,0.0
,Jackson,21.0,0.0,3.0,0.0,18.0,90.0,19.0,62.0,9.0,2.0
,Johnson,46.0,0.0,8.0,3.0,35.0,317.0,76.0,209.0,32.0,3.0
,Kingman,7.0,0.0,0.0,0.0,7.0,55.0,24.0,30.0,1.0,0.0
,Leavenworth,32.0,0.0,5.0,1.0,26.0,186.0,68.0,89.0,29.0,6.0
,Miami,31.0,1.0,4.0,1.0,25.0,196.0,77.0,95.0,24.0,7.0
,Osage,13.0,0.0,3.0,0.0,10.0,52.0,16.0,29.0,7.0,0.0
,Pottawatomie,45.0,0.0,2.0,1.0,42.0,214.0,45.0,158.0,11.0,6.0
,Riley County Police Department,221.0,2.0,55.0,23.0,141.0,1355.0,226.0,1051.0,78.0,13.0
,Sedgwick5,158.0,3.0,15.0,6.0,134.0,,,259.0,60.0,6.0
,Shawnee,79.0,0.0,4.0,9.0,66.0,899.0,186.0,626.0,87.0,2.0
,Sumner,33.0,0.0,2.0,3.0,28.0,170.0,60.0,92.0,18.0,1.0
,Wabaunsee,7.0,0.0,3.0,0.0,4.0,70.0,23.0,39.0,8.0,2.0
,Wyandotte,59.0,2.0,7.0,6.0,44.0,77.0,6.0,62.0,9.0,1.0
KANSAS - Nonmetropolitan Counties,Allen,12.0,0.0,1.0,1.0,10.0,71.0,25.0,39.0,7.0,2.0
,Anderson,6.0,0.0,2.0,0.0,4.0,52.0,17.0,29.0,6.0,0.0
,Atchison,6.0,0.0,0.0,1.0,5.0,26.0,3.0,21.0,2.0,0.0
,Barber,2.0,0.0,0.0,0.0,2.0,12.0,6.0,5.0,1.0,0.0
,Barton,12.0,0.0,2.0,0.0,10.0,51.0,2.0,41.0,8.0,2.0
,Bourbon,16.0,0.0,2.0,0.0,14.0,102.0,47.0,50.0,5.0,0.0
,Brown,10.0,0.0,1.0,0.0,9.0,15.0,8.0,5.0,2.0,0.0
,Chautauqua,1.0,0.0,0.0,0.0,1.0,18.0,6.0,8.0,4.0,0.0
,Cherokee,30.0,2.0,1.0,2.0,25.0,180.0,82.0,82.0,16.0,4.0
,Cheyenne,5.0,0.0,0.0,1.0,4.0,16.0,2.0,13.0,1.0,0.0
,Cloud,14.0,0.0,2.0,0.0,12.0,54.0,26.0,25.0,3.0,3.0
,Cowley,23.0,0.0,2.0,0.0,21.0,123.0,41.0,74.0,8.0,2.0
,Crawford,35.0,0.0,2.0,0.0,33.0,161.0,2.0,135.0,24.0,10.0
,Dickinson,16.0,0.0,2.0,0.0,14.0,139.0,39.0,84.0,16.0,1.0
,Edwards,2.0,1.0,0.0,0.0,1.0,19.0,3.0,15.0,1.0,0.0
,Ellis,21.0,0.0,2.0,1.0,18.0,62.0,28.0,28.0,6.0,2.0
,Ellsworth,8.0,0.0,2.0,0.0,6.0,46.0,16.0,24.0,6.0,2.0
,Finney,30.0,0.0,2.0,3.0,25.0,162.0,46.0,96.0,20.0,0.0
,Ford,23.0,0.0,0.0,1.0,22.0,99.0,44.0,45.0,10.0,3.0
,Franklin,48.0,0.0,4.0,0.0,44.0,161.0,56.0,87.0,18.0,0.0
,Geary,15.0,0.0,1.0,0.0,14.0,32.0,11.0,20.0,1.0,2.0
,Gove,2.0,1.0,0.0,0.0,1.0,13.0,2.0,10.0,1.0,2.0
,Grant,5.0,1.0,1.0,0.0,3.0,10.0,1.0,9.0,0.0,0.0
,Gray,15.0,0.0,1.0,0.0,14.0,79.0,26.0,41.0,12.0,1.0
,Greeley,2.0,0.0,0.0,1.0,1.0,13.0,3.0,9.0,1.0,0.0
,Greenwood,17.0,1.0,1.0,0.0,15.0,58.0,15.0,38.0,5.0,0.0
,Harper,1.0,0.0,0.0,0.0,1.0,14.0,6.0,8.0,0.0,0.0
,Haskell,0.0,0.0,0.0,0.0,0.0,32.0,8.0,22.0,2.0,0.0
,Hodgeman,1.0,0.0,0.0,0.0,1.0,10.0,2.0,6.0,2.0,0.0
,Kearny,7.0,0.0,2.0,0.0,5.0,52.0,8.0,42.0,2.0,0.0
,Kiowa,0.0,0.0,0.0,0.0,0.0,28.0,9.0,18.0,1.0,0.0
,Lane,4.0,0.0,1.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0
,Logan,0.0,0.0,0.0,0.0,0.0,19.0,4.0,13.0,2.0,1.0
,Lyon,16.0,0.0,3.0,1.0,12.0,78.0,25.0,50.0,3.0,4.0
,Marion,4.0,0.0,0.0,1.0,3.0,69.0,31.0,33.0,5.0,0.0
,McPherson,5.0,0.0,0.0,0.0,5.0,53.0,20.0,29.0,4.0,1.0
,Mitchell,0.0,0.0,0.0,0.0,0.0,10.0,4.0,4.0,2.0,0.0
,Montgomery,11.0,0.0,3.0,0.0,8.0,113.0,53.0,52.0,8.0,0.0
,Morris,5.0,0.0,0.0,0.0,5.0,42.0,11.0,27.0,4.0,3.0
,Morton,1.0,0.0,0.0,0.0,1.0,25.0,7.0,18.0,0.0,1.0
,Nemaha,2.0,0.0,0.0,0.0,2.0,52.0,20.0,25.0,7.0,1.0
,Neosho,9.0,0.0,0.0,0.0,9.0,74.0,30.0,37.0,7.0,7.0
,Ness,8.0,0.0,1.0,0.0,7.0,28.0,7.0,16.0,5.0,0.0
,Norton,5.0,0.0,0.0,0.0,5.0,20.0,5.0,11.0,4.0,0.0
,Ottawa,3.0,0.0,1.0,0.0,2.0,71.0,17.0,49.0,5.0,2.0
,Pawnee,0.0,0.0,0.0,0.0,0.0,19.0,9.0,8.0,2.0,0.0
,Phillips,3.0,0.0,0.0,0.0,3.0,29.0,10.0,18.0,1.0,1.0
,Pratt,5.0,0.0,0.0,0.0,5.0,24.0,9.0,13.0,2.0,0.0
,Reno,30.0,0.0,5.0,0.0,25.0,257.0,90.0,141.0,26.0,12.0
,Republic,3.0,0.0,0.0,0.0,3.0,27.0,6.0,17.0,4.0,1.0
,Rice,9.0,0.0,0.0,2.0,7.0,70.0,31.0,36.0,3.0,1.0
,Rooks,3.0,0.0,1.0,0.0,2.0,32.0,12.0,19.0,1.0,0.0
,Rush,6.0,0.0,1.0,0.0,5.0,73.0,28.0,38.0,7.0,2.0
,Russell,10.0,0.0,2.0,0.0,8.0,28.0,7.0,18.0,3.0,0.0
,Saline,20.0,1.0,5.0,0.0,14.0,104.0,31.0,59.0,14.0,1.0
,Seward,13.0,0.0,0.0,1.0,12.0,15.0,2.0,12.0,1.0,1.0
,Sherman,2.0,0.0,0.0,0.0,2.0,4.0,1.0,2.0,1.0,0.0
,Stafford,4.0,0.0,0.0,0.0,4.0,17.0,6.0,7.0,4.0,0.0
,Thomas,7.0,0.0,1.0,0.0,6.0,43.0,14.0,27.0,2.0,0.0
,Trego,0.0,0.0,0.0,0.0,0.0,12.0,4.0,5.0,3.0,0.0
,Washington,1.0,0.0,1.0,0.0,0.0,22.0,10.0,9.0,3.0,0.0
,Wichita,5.0,0.0,0.0,0.0,5.0,23.0,3.0,18.0,2.0,0.0
,Wilson,5.0,0.0,0.0,0.0,5.0,42.0,13.0,25.0,4.0,2.0
,Woodson,4.0,0.0,0.0,0.0,4.0,26.0,6.0,18.0,2.0,0.0
KENTUCKY - Metropolitan Counties,Allen,9.0,0.0,5.0,0.0,4.0,145.0,69.0,60.0,16.0,1.0
,Boone,65.0,2.0,29.0,13.0,21.0,911.0,164.0,669.0,78.0,2.0
,Bourbon,2.0,0.0,0.0,1.0,1.0,77.0,30.0,44.0,3.0,0.0
,Boyd,14.0,0.0,2.0,2.0,10.0,171.0,47.0,94.0,30.0,1.0
,Bracken,2.0,0.0,0.0,1.0,1.0,22.0,6.0,13.0,3.0,0.0
,Bullitt,33.0,0.0,11.0,5.0,17.0,500.0,122.0,288.0,90.0,0.0
,Butler,2.0,0.0,0.0,2.0,0.0,71.0,26.0,33.0,12.0,0.0
,Campbell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Campbell County Police Department,20.0,1.0,14.0,2.0,3.0,197.0,44.0,131.0,22.0,0.0
,Christian,22.0,0.0,5.0,1.0,16.0,322.0,123.0,169.0,30.0,5.0
,Clark,13.0,0.0,2.0,7.0,4.0,220.0,90.0,104.0,26.0,2.0
,Daviess,10.0,1.0,3.0,0.0,6.0,405.0,115.0,245.0,45.0,2.0
,Edmonson,3.0,0.0,0.0,1.0,2.0,28.0,14.0,12.0,2.0,0.0
,Fayette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Gallatin,0.0,0.0,0.0,0.0,0.0,34.0,11.0,18.0,5.0,0.0
,Grant,5.0,0.0,3.0,0.0,2.0,128.0,36.0,74.0,18.0,0.0
,Greenup,2.0,0.0,0.0,1.0,1.0,27.0,8.0,9.0,10.0,0.0
,Hardin,12.0,1.0,0.0,1.0,10.0,157.0,36.0,99.0,22.0,2.0
,Henderson,14.0,2.0,2.0,3.0,7.0,162.0,53.0,83.0,26.0,0.0
,Henry,2.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,2.0
,Jefferson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Jessamine,15.0,0.0,3.0,8.0,4.0,280.0,105.0,149.0,26.0,0.0
,Kenton,1.0,0.0,0.0,1.0,0.0,6.0,0.0,6.0,0.0,0.0
,Kenton County Police Department,18.0,1.0,11.0,0.0,6.0,125.0,44.0,67.0,14.0,1.0
,Larue,1.0,0.0,0.0,0.0,1.0,32.0,14.0,12.0,6.0,0.0
,McLean,6.0,0.0,3.0,1.0,2.0,52.0,24.0,21.0,7.0,1.0
,Meade,11.0,1.0,0.0,0.0,10.0,154.0,61.0,56.0,37.0,2.0
,Oldham,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0
,Oldham County Police Department,27.0,0.0,9.0,5.0,13.0,450.0,139.0,285.0,26.0,2.0
,Pendleton,4.0,0.0,1.0,0.0,3.0,71.0,26.0,35.0,10.0,0.0
,Scott,9.0,0.0,2.0,2.0,5.0,220.0,62.0,142.0,16.0,0.0
,Shelby,21.0,0.0,3.0,4.0,14.0,312.0,66.0,215.0,31.0,0.0
,Spencer,1.0,0.0,0.0,0.0,1.0,56.0,17.0,36.0,3.0,0.0
,Trigg,12.0,0.0,1.0,1.0,10.0,47.0,20.0,21.0,6.0,0.0
,Trimble,1.0,0.0,0.0,0.0,1.0,14.0,7.0,5.0,2.0,0.0
,Warren,37.0,1.0,13.0,6.0,17.0,516.0,182.0,289.0,45.0,2.0
KENTUCKY - Nonmetropolitan Counties,Adair,0.0,0.0,0.0,0.0,0.0,17.0,4.0,8.0,5.0,1.0
,Anderson,3.0,0.0,0.0,0.0,3.0,44.0,15.0,23.0,6.0,0.0
,Ballard,5.0,0.0,2.0,0.0,3.0,65.0,23.0,35.0,7.0,0.0
,Barren,13.0,0.0,1.0,2.0,10.0,124.0,70.0,42.0,12.0,0.0
,Bath,0.0,0.0,0.0,0.0,0.0,21.0,3.0,17.0,1.0,0.0
,Bell,15.0,0.0,3.0,3.0,9.0,113.0,32.0,62.0,19.0,4.0
,Boyle,4.0,0.0,2.0,0.0,2.0,44.0,19.0,24.0,1.0,0.0
,Breckinridge,5.0,1.0,0.0,0.0,4.0,51.0,25.0,16.0,10.0,0.0
,Caldwell,1.0,0.0,0.0,0.0,1.0,48.0,23.0,19.0,6.0,2.0
,Calloway,19.0,0.0,8.0,2.0,9.0,328.0,158.0,143.0,27.0,3.0
,Carlisle,0.0,0.0,0.0,0.0,0.0,9.0,3.0,5.0,1.0,0.0
,Carroll,1.0,0.0,0.0,0.0,1.0,5.0,0.0,4.0,1.0,0.0
,Carter,7.0,0.0,1.0,2.0,4.0,66.0,31.0,28.0,7.0,0.0
,Casey,1.0,0.0,0.0,0.0,1.0,29.0,13.0,8.0,8.0,0.0
,Clay,1.0,0.0,0.0,0.0,1.0,108.0,25.0,42.0,41.0,0.0
,Clinton,2.0,0.0,0.0,0.0,2.0,27.0,12.0,6.0,9.0,0.0
,Crittenden,1.0,0.0,0.0,0.0,1.0,17.0,7.0,8.0,2.0,1.0
,Cumberland,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,1.0,0.0
,Fleming,4.0,0.0,0.0,0.0,4.0,11.0,9.0,1.0,1.0,0.0
,Floyd,3.0,0.0,0.0,0.0,3.0,59.0,18.0,29.0,12.0,0.0
,Franklin,28.0,0.0,7.0,2.0,19.0,265.0,62.0,168.0,35.0,0.0
,Fulton,1.0,0.0,0.0,0.0,1.0,6.0,1.0,5.0,0.0,0.0
,Graves,31.0,1.0,10.0,5.0,15.0,284.0,90.0,162.0,32.0,1.0
,Grayson,7.0,0.0,2.0,0.0,5.0,53.0,23.0,16.0,14.0,0.0
,Harlan,3.0,0.0,0.0,1.0,2.0,23.0,6.0,13.0,4.0,1.0
,Harrison,1.0,0.0,0.0,0.0,1.0,107.0,50.0,50.0,7.0,0.0
,Hart,7.0,0.0,0.0,1.0,6.0,57.0,24.0,29.0,4.0,0.0
,Hickman,2.0,0.0,1.0,0.0,1.0,16.0,7.0,5.0,4.0,0.0
,Hopkins,8.0,0.0,1.0,1.0,6.0,236.0,74.0,127.0,35.0,1.0
,Jackson,5.0,0.0,0.0,1.0,4.0,70.0,33.0,26.0,11.0,0.0
,Johnson,3.0,0.0,1.0,0.0,2.0,45.0,13.0,17.0,15.0,1.0
,Knott,0.0,0.0,0.0,0.0,0.0,20.0,3.0,10.0,7.0,0.0
,Knox,14.0,0.0,0.0,3.0,11.0,150.0,57.0,49.0,44.0,1.0
,Laurel,49.0,3.0,1.0,10.0,35.0,599.0,190.0,295.0,114.0,0.0
,Lawrence,0.0,0.0,0.0,0.0,0.0,44.0,17.0,16.0,11.0,0.0
,Lee,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0
,Leslie,3.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0
,Letcher,0.0,0.0,0.0,0.0,0.0,19.0,8.0,8.0,3.0,0.0
,Lewis,2.0,0.0,0.0,0.0,2.0,16.0,4.0,7.0,5.0,0.0
,Lincoln,4.0,0.0,1.0,3.0,0.0,77.0,24.0,30.0,23.0,0.0
,Livingston,5.0,0.0,0.0,1.0,4.0,66.0,24.0,34.0,8.0,2.0
,Logan,15.0,0.0,5.0,1.0,9.0,151.0,71.0,68.0,12.0,0.0
,Lyon,0.0,0.0,0.0,0.0,0.0,32.0,14.0,15.0,3.0,0.0
,Madison,10.0,0.0,3.0,1.0,6.0,341.0,123.0,193.0,25.0,2.0
,Magoffin,1.0,0.0,0.0,0.0,1.0,6.0,3.0,1.0,2.0,1.0
,Marion,2.0,0.0,0.0,0.0,2.0,68.0,22.0,35.0,11.0,0.0
,Marshall,28.0,1.0,8.0,5.0,14.0,181.0,72.0,90.0,19.0,4.0
,Martin,3.0,0.0,0.0,0.0,3.0,15.0,5.0,8.0,2.0,0.0
,Mason,11.0,0.0,3.0,4.0,4.0,85.0,31.0,48.0,6.0,0.0
,McCracken,43.0,1.0,19.0,4.0,19.0,499.0,155.0,286.0,58.0,0.0
,McCreary,4.0,0.0,0.0,1.0,3.0,37.0,7.0,22.0,8.0,0.0
,Menifee,4.0,1.0,2.0,0.0,1.0,28.0,15.0,9.0,4.0,0.0
,Mercer,3.0,0.0,1.0,0.0,2.0,26.0,8.0,12.0,6.0,0.0
,Metcalfe,4.0,0.0,0.0,1.0,3.0,58.0,30.0,19.0,9.0,1.0
,Monroe,0.0,0.0,0.0,0.0,0.0,9.0,5.0,3.0,1.0,0.0
,Montgomery,14.0,0.0,2.0,2.0,10.0,273.0,98.0,155.0,20.0,0.0
,Morgan,0.0,0.0,0.0,0.0,0.0,19.0,5.0,8.0,6.0,0.0
,Muhlenberg,11.0,0.0,3.0,0.0,8.0,95.0,56.0,23.0,16.0,1.0
,Nelson,18.0,1.0,4.0,1.0,12.0,217.0,66.0,130.0,21.0,0.0
,Nicholas,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,0.0
,Ohio,10.0,0.0,1.0,3.0,6.0,94.0,35.0,46.0,13.0,0.0
,Owen,3.0,0.0,1.0,0.0,2.0,50.0,26.0,21.0,3.0,0.0
,Owsley,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
