Record - metadata - oai_dc:dc - xsi:schemaLocation	dc:subject	Record - metadata - oai_dc:dc - dc:subject - xsi:type	Record - metadata - oai_dc:dc - dc:subject - ddb:GND-Nr	dc:creator	dc:type	Record - metadata - oai_dc:dc - dc:audience	dc:identifier	dc:rights	dc:title	dc:format	dc:date	dc:language	dc:description	Record - metadata - oai_dc:dc - dc:relation	dc:contributor	dc:publisher	dc:source	Record - header - setSpec	Record - header - datestamp
	333.7 Natürliche Ressourcen, Energie und Umwelt																	open_access	
	Elektromobilität																		
	Carsharing																		
	Hamburg																		
	Nachhaltigkeit																		
	ddc:																		
	Elektromobilität	xMetaDiss:GND																	
	Carsharing	xMetaDiss:GND																	
	Hamburg	xMetaDiss:GND																	
	Nachhaltigkeit	xMetaDiss:GND	4326464-5																
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	e-Quartier Hamburg			Kulus, Daniel	Working Paper	Researchers	978-3-941722-69-9	info:eu-repo/semantics/openAccess	Elektromobilitätsentwicklung auf städtischer Mesoebene: Eignungsfestellung konkreter E‐Carsharing‐Standorte mittels Präqualifizierungsverfahren - Teilbericht B der Wissenschaftlichen Begleitforschung im Bundesförderprojekt „e‐Quartier Hamburg“	application/pdf	2018-01-01	ger	"Das Verbundvorhaben e-Quartier Hamburg, vom Bundesministerium für Verkehr und digitale Infrastruktur im Rahmen des Programms „Modellregionen für Elektromobilität“ gefördert, verfolgt den Ansatz, elektromobile Carsharing-Angebote sowohl im Bestand als auch im Neubau zu integrieren. In zehn Quartieren im Hamburger Stadtgebiet werden durch zwei Carsharing-Anbieter Elektrofahrzeuge im stationsbasierten Carsharing angeboten. Zudem werden an vier Standorten in der Metropolregion Hamburg E-Fahrzeuge als Poolfahrzeuge eingesetzt.

Die wissenschaftliche Begleitforschung im Projekt e-Quartier umfasst die Planungsphase mit der Standortauswahl sowie die Evaluierung von Standorten im Betrieb. An erster Stelle stand eine Stadtstrukturtypenanalyse (Teilbericht A) mit dem Ziel der Entwicklung einer standardisierten Methode für praxisbezogene Anwender zur Identifizierung von Standorten, die für die Planung und Umsetzung von Elektromobilitätskonzepten besonders geeignet sind. Im Rahmen der wissenschaftlichen Begleitforschung wurde außerdem eine Bewertung (Präqualifizierung, Teilbericht B) von 40 Hamburger Quartieren vorgenommen. Sie zeigt die Eignung von Standorten für E-Carsharing, um Mobilitätsdienstleistern, Entscheidern aus der Wohnungswirtschaft und kommunalen Akteuren bei der Standortwahl eine fundierte Entscheidungsgrundlage zur Verfügung zu stellen. Ergänzt wird die Arbeit durch das Planungsbüro ARGUS, das mit seinem Beitrag (Teilbericht C) detailliertere Aussagen zur Dimensionierung und Flächenallokation von e-Carsharing Flotten ermöglicht und durch eine Ausarbeitung zu rechtlichen Aspekten der Integration von Elektromobilität von Dr. Cathrin Zengerling (Teilbericht D). Im Teilbericht E geht es um die Evaluation der Erprobungsphase von E-Carsharing-Stationen mit dem Ziel der Identifikation erfolgskritischer Rahmenbedingungen für die Umsetzung elektromobiler Carsharing-Konzepte. Darüber hinaus werden im Teilbericht F Ergebnisse aus dem projektbezogenen Mobilitätsmanagement dokumentiert, der Teilbericht G fasst die Prozessanalyse zusammen und der Teilbericht H stellt Thesen für die künftige Entwicklung von Elektromobilitätsangeboten vor."			HafenCity Universität Hamburg		com_hcu_13	2023-01-26T14:54:00Z
	E-Carsharing			Ehrenberg, Laura	doc-type:workingPaper	Students	https://repos.hcu-hamburg.de/handle/hcu/481											col_hcu_15	
	Modellregionen Elektromobilität			Dickhaut, Wolfgang														ddc:333.7	
	333.7 Natürliche Ressourcen, Energie und Umwelt																	open_access	
	Elektromobilität																		
	Carsharing																		
	Nachhaltigkeit																		
	Hamburg																		
	ddc:																		
	Elektromobilität	xMetaDiss:GND																	
	Carsharing	xMetaDiss:GND																	
	Nachhaltigkeit	xMetaDiss:GND	4326464-5																
	Hamburg	xMetaDiss:GND																	
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	e-Quartier Hamburg			Rothfuchs, Konrad	Working Paper	Researchers	978-3-941722-70-5	info:eu-repo/semantics/openAccess	Elektromobilitätsentwicklung auf städtischer Mikroebene: Ein Standort‐Tool zur Dimensionierung und Allokation von e‐Carsharing Flotten - Teilbericht C der Wissenschaftlichen Begleitforschung im Bundförderprojekt „e‐Quartier Hamburg“	application/pdf	2018-01-01	ger	"Das Verbundvorhaben e-Quartier Hamburg, vom Bundesministerium für Verkehr und digitale Infrastruktur im Rahmen des Programms „Modellregionen für Elektromobilität“ gefördert, verfolgt den Ansatz, elektromobile Carsharing-Angebote sowohl im Bestand als auch im Neubau zu integrieren. In zehn Quartieren im Hamburger Stadtgebiet werden durch zwei Carsharing-Anbieter Elektrofahrzeuge im stationsbasierten Carsharing angeboten. Zudem werden an vier Standorten in der Metropolregion Hamburg E-Fahrzeuge als Poolfahrzeuge eingesetzt.

Die wissenschaftliche Begleitforschung im Projekt e-Quartier umfasst die Planungsphase mit der Standortauswahl sowie die Evaluierung von Standorten im Betrieb. An erster Stelle stand eine Stadtstrukturtypenanalyse (Teilbericht A) mit dem Ziel der Entwicklung einer standardisierten Methode für praxisbezogene Anwender zur Identifizierung von Standorten, die für die Planung und Umsetzung von Elektromobilitätskonzepten besonders geeignet sind. Im Rahmen der wissenschaftlichen Begleitforschung wurde außerdem eine Bewertung (Präqualifizierung, Teilbericht B) von 40 Hamburger Quartieren vorgenommen. Sie zeigt die Eignung von Standorten für E-Carsharing, um Mobilitätsdienstleistern, Entscheidern aus der Wohnungswirtschaft und kommunalen Akteuren bei der Standortwahl eine fundierte Entscheidungsgrundlage zur Verfügung zu stellen. Ergänzt wird die Arbeit durch das Planungsbüro ARGUS, das mit seinem Beitrag (Teilbericht C) detailliertere Aussagen zur Dimensionierung und Flächenallokation von e-Carsharing Flotten ermöglicht und durch eine Ausarbeitung zu rechtlichen Aspekten der Integration von Elektromobilität von Dr. Cathrin Zengerling (Teilbericht D). Im Teilbericht E geht es um die Evaluation der Erprobungsphase von E-Carsharing-Stationen mit dem Ziel der Identifikation erfolgskritischer Rahmenbedingungen für die Umsetzung elektromobiler Carsharing-Konzepte. Darüber hinaus werden im Teilbericht F Ergebnisse aus dem projektbezogenen Mobilitätsmanagement dokumentiert, der Teilbericht G fasst die Prozessanalyse zusammen und der Teilbericht H stellt Thesen für die künftige Entwicklung von Elektromobilitätsangeboten vor."			HafenCity Universität Hamburg		com_hcu_13	2023-01-26T14:54:01Z
	E-Carsharing			Scheler, Christian	doc-type:workingPaper	Students	https://repos.hcu-hamburg.de/handle/hcu/482											col_hcu_15	
	Modellregionen Elektromobilität			Ludwig, Christoph														ddc:333.7	
	333.7 Natürliche Ressourcen, Energie und Umwelt			Dickhaut, Wolfgang														open_access	
	Elektromobilität																		
	Carsharing																		
	Nachhaltigkeit																		
	Hamburg																		
	ddc:																		
	Elektromobilität	xMetaDiss:GND																	
	Carsharing	xMetaDiss:GND																	
	Nachhaltigkeit	xMetaDiss:GND	4326464-5																
	Hamburg	xMetaDiss:GND																	
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	e-Quartier Hamburg			Zengerling, Cathrin	Working Paper	Researchers	978-3-941722-71-2	info:eu-repo/semantics/openAccess	Integration von Elektromobilität in Neubau und Bestand – Kommunale Steuerungsinstrumente zur Aktivierung privater Flächen - Teilbericht D der Wissenschaftlichen Begleitforschung im Bundesförderprojekt „e‐Quartier Hamburg“	application/pdf	2018-01-01	eng	"Das Verbundvorhaben e-Quartier Hamburg, vom Bundesministerium für Verkehr und digitale Infrastruktur im Rahmen des Programms „Modellregionen für Elektromobilität“ gefördert, verfolgt den Ansatz, elektromobile Carsharing-Angebote sowohl im Bestand als auch im Neubau zu integrieren. In zehn Quartieren im Hamburger Stadtgebiet werden durch zwei Carsharing-Anbieter Elektrofahrzeuge im stationsbasierten Carsharing angeboten. Zudem werden an vier Standorten in der Metropolregion Hamburg E-Fahrzeuge als Poolfahrzeuge eingesetzt.

Die wissenschaftliche Begleitforschung im Projekt e-Quartier umfasst die Planungsphase mit der Standortauswahl sowie die Evaluierung von Standorten im Betrieb. An erster Stelle stand eine Stadtstrukturtypenanalyse (Teilbericht A) mit dem Ziel der Entwicklung einer standardisierten Methode für praxisbezogene Anwender zur Identifizierung von Standorten, die für die Planung und Umsetzung von Elektromobilitätskonzepten besonders geeignet sind. Im Rahmen der wissenschaftlichen Begleitforschung wurde außerdem eine Bewertung (Präqualifizierung, Teilbericht B) von 40 Hamburger Quartieren vorgenommen. Sie zeigt die Eignung von Standorten für E-Carsharing, um Mobilitätsdienstleistern, Entscheidern aus der Wohnungswirtschaft und kommunalen Akteuren bei der Standortwahl eine fundierte Entscheidungsgrundlage zur Verfügung zu stellen. Ergänzt wird die Arbeit durch das Planungsbüro ARGUS, das mit seinem Beitrag (Teilbericht C) detailliertere Aussagen zur Dimensionierung und Flächenallokation von e-Carsharing Flotten ermöglicht und durch eine Ausarbeitung zu rechtlichen Aspekten der Integration von Elektromobilität von Dr. Cathrin Zengerling (Teilbericht D). Im Teilbericht E geht es um die Evaluation der Erprobungsphase von E-Carsharing-Stationen mit dem Ziel der Identifikation erfolgskritischer Rahmenbedingungen für die Umsetzung elektromobiler Carsharing-Konzepte. Darüber hinaus werden im Teilbericht F Ergebnisse aus dem projektbezogenen Mobilitätsmanagement dokumentiert, der Teilbericht G fasst die Prozessanalyse zusammen und der Teilbericht H stellt Thesen für die künftige Entwicklung von Elektromobilitätsangeboten vor."			HafenCity Universität Hamburg		com_hcu_13	2023-01-26T14:54:00Z
	E-Carsharing			Dickhaut, Wolfgang	doc-type:workingPaper	Students	https://repos.hcu-hamburg.de/handle/hcu/483											col_hcu_15	
	Modellregionen Elektromobilität																	ddc:333.7	
	333.7 Natürliche Ressourcen, Energie und Umwelt																	open_access	
	Elektromobilität																		
	Carsharing																		
	Baurecht																		
	Planungsrecht																		
	Nachhaltigkeit																		
	Hamburg																		
	ddc:																		
	Elektromobilität	xMetaDiss:GND																	
	Carsharing	xMetaDiss:GND																	
	Baurecht	xMetaDiss:GND																	
	Planungsrecht	xMetaDiss:GND																	
	Nachhaltigkeit	xMetaDiss:GND	4326464-5																
	Hamburg	xMetaDiss:GND																	
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	e-Quartier Hamburg			Fink, Johanna	Working Paper	Researchers	978-3-941722-72-9	info:eu-repo/semantics/openAccess	Wirksamkeitsuntersuchung des Projektes „e‐Quartier Hamburg“: Mobilitätsverhalten, Akzeptanz und Verhaltensänderung - Teilbericht E der Wissenschaftlichen Begleitforschung im Bundesförderprojekt „e‐Quartier Hamburg“	application/pdf	2018-01-01	eng	"Das Verbundvorhaben e-Quartier Hamburg, vom Bundesministerium für Verkehr und digitale Infrastruktur im Rahmen des Programms „Modellregionen für Elektromobilität“ gefördert, verfolgt den Ansatz, elektromobile Carsharing-Angebote sowohl im Bestand als auch im Neubau zu integrieren. In zehn Quartieren im Hamburger Stadtgebiet werden durch zwei Carsharing-Anbieter Elektrofahrzeuge im stationsbasierten Carsharing angeboten. Zudem werden an vier Standorten in der Metropolregion Hamburg E-Fahrzeuge als Poolfahrzeuge eingesetzt.

Die wissenschaftliche Begleitforschung im Projekt e-Quartier umfasst die Planungsphase mit der Standortauswahl sowie die Evaluierung von Standorten im Betrieb. An erster Stelle stand eine Stadtstrukturtypenanalyse (Teilbericht A) mit dem Ziel der Entwicklung einer standardisierten Methode für praxisbezogene Anwender zur Identifizierung von Standorten, die für die Planung und Umsetzung von Elektromobilitätskonzepten besonders geeignet sind. Im Rahmen der wissenschaftlichen Begleitforschung wurde außerdem eine Bewertung (Präqualifizierung, Teilbericht B) von 40 Hamburger Quartieren vorgenommen. Sie zeigt die Eignung von Standorten für E-Carsharing, um Mobilitätsdienstleistern, Entscheidern aus der Wohnungswirtschaft und kommunalen Akteuren bei der Standortwahl eine fundierte Entscheidungsgrundlage zur Verfügung zu stellen. Ergänzt wird die Arbeit durch das Planungsbüro ARGUS, das mit seinem Beitrag (Teilbericht C) detailliertere Aussagen zur Dimensionierung und Flächenallokation von e-Carsharing Flotten ermöglicht und durch eine Ausarbeitung zu rechtlichen Aspekten der Integration von Elektromobilität von Dr. Cathrin Zengerling (Teilbericht D). Im Teilbericht E geht es um die Evaluation der Erprobungsphase von E-Carsharing-Stationen mit dem Ziel der Identifikation erfolgskritischer Rahmenbedingungen für die Umsetzung elektromobiler Carsharing-Konzepte. Darüber hinaus werden im Teilbericht F Ergebnisse aus dem projektbezogenen Mobilitätsmanagement dokumentiert, der Teilbericht G fasst die Prozessanalyse zusammen und der Teilbericht H stellt Thesen für die künftige Entwicklung von Elektromobilitätsangeboten vor."			HafenCity Universität Hamburg		com_hcu_13	2023-01-26T14:43:59Z
	E-Carsharing			Prill, Thomas	doc-type:workingPaper	Students	https://repos.hcu-hamburg.de/handle/hcu/484											col_hcu_15	
	Modellregionen Elektromobilität			Lauer, Johannes														ddc:333.7	
	333.7 Natürliche Ressourcen, Energie und Umwelt			Dickhaut, Wolfgang														open_access	
	Elektromobilität																		
	Carsharing																		
	Nachhaltigkeit																		
	Hamburg																		
	ddc:																		
	Elektromobilität	xMetaDiss:GND																	
	Carsharing	xMetaDiss:GND																	
	Nachhaltigkeit	xMetaDiss:GND	4326464-5																
	Hamburg	xMetaDiss:GND																	
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	e-Quartier Hamburg			Prill, Thomas	Working Paper	Researchers	978-3-941722-73-6	info:eu-repo/semantics/openAccess	Mobilitätsmanagement im Projekt „e‐Quartier Hamburg“: Erfahrungen und Empfehlungen Teilbericht F der Wissenschaftlichen Begleitforschung im Bundesförderprojekt „e‐Quartier Hamburg“	application/pdf	2018-01-01	ger	"Das Verbundvorhaben e-Quartier Hamburg, vom Bundesministerium für Verkehr und digitale Infrastruktur im Rahmen des Programms „Modellregionen für Elektromobilität“ gefördert, verfolgt den Ansatz, elektromobile Carsharing-Angebote sowohl im Bestand als auch im Neubau zu integrieren. In zehn Quartieren im Hamburger Stadtgebiet werden durch zwei Carsharing-Anbieter Elektrofahrzeuge im stationsbasierten Carsharing angeboten. Zudem werden an vier Standorten in der Metropolregion Hamburg E-Fahrzeuge als Poolfahrzeuge eingesetzt.

Die wissenschaftliche Begleitforschung im Projekt e-Quartier umfasst die Planungsphase mit der Standortauswahl sowie die Evaluierung von Standorten im Betrieb. An erster Stelle stand eine Stadtstrukturtypenanalyse (Teilbericht A) mit dem Ziel der Entwicklung einer standardisierten Methode für praxisbezogene Anwender zur Identifizierung von Standorten, die für die Planung und Umsetzung von Elektromobilitätskonzepten besonders geeignet sind. Im Rahmen der wissenschaftlichen Begleitforschung wurde außerdem eine Bewertung (Präqualifizierung, Teilbericht B) von 40 Hamburger Quartieren vorgenommen. Sie zeigt die Eignung von Standorten für E-Carsharing, um Mobilitätsdienstleistern, Entscheidern aus der Wohnungswirtschaft und kommunalen Akteuren bei der Standortwahl eine fundierte Entscheidungsgrundlage zur Verfügung zu stellen. Ergänzt wird die Arbeit durch das Planungsbüro ARGUS, das mit seinem Beitrag (Teilbericht C) detailliertere Aussagen zur Dimensionierung und Flächenallokation von e-Carsharing Flotten ermöglicht und durch eine Ausarbeitung zu rechtlichen Aspekten der Integration von Elektromobilität von Dr. Cathrin Zengerling (Teilbericht D). Im Teilbericht E geht es um die Evaluation der Erprobungsphase von E-Carsharing-Stationen mit dem Ziel der Identifikation erfolgskritischer Rahmenbedingungen für die Umsetzung elektromobiler Carsharing-Konzepte. Darüber hinaus werden im Teilbericht F Ergebnisse aus dem projektbezogenen Mobilitätsmanagement dokumentiert, der Teilbericht G fasst die Prozessanalyse zusammen und der Teilbericht H stellt Thesen für die künftige Entwicklung von Elektromobilitätsangeboten vor."			HafenCity Universität Hamburg		com_hcu_13	2023-01-26T14:46:49Z
	E-Carsharing			Dickhaut, Wolfgang	doc-type:workingPaper	Students	https://repos.hcu-hamburg.de/handle/hcu/485											col_hcu_15	
	Modellregionen Elektromobilität																	ddc:333.7	
	333.7 Natürliche Ressourcen, Energie und Umwelt																	open_access	
	Elektromobilität																		
	Nachhaltigkeit																		
	Carsharing																		
	Hamburg																		
	Mobilität																		
	ddc:																		
	Elektromobilität	xMetaDiss:GND																	
	Nachhaltigkeit	xMetaDiss:GND	4326464-5																
	Carsharing	xMetaDiss:GND																	
	Hamburg	xMetaDiss:GND																	
	Mobilität	xMetaDiss:GND																	
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	e-Quartier Hamburg			Prill, Thomas	Working Paper	Researchers	978-3-941722-74-3	info:eu-repo/semantics/openAccess	Prozessanalyse interner Abläufe im Projekt „e‐Quartier Hamburg“: Projektverlauf, Hindernisse und Lösungsansätze - Teilbericht G der Wissenschaftlichen Begleitforschung im Bundesförderprojekt „e‐Quartier Hamburg“	application/pdf	2018-01-01	ger	"Das Verbundvorhaben e-Quartier Hamburg, vom Bundesministerium für Verkehr und digitale Infrastruktur im Rahmen des Programms „Modellregionen für Elektromobilität“ gefördert, verfolgt den Ansatz, elektromobile Carsharing-Angebote sowohl im Bestand als auch im Neubau zu integrieren. In zehn Quartieren im Hamburger Stadtgebiet werden durch zwei Carsharing-Anbieter Elektrofahrzeuge im stationsbasierten Carsharing angeboten. Zudem werden an vier Standorten in der Metropolregion Hamburg E-Fahrzeuge als Poolfahrzeuge eingesetzt.

Die wissenschaftliche Begleitforschung im Projekt e-Quartier umfasst die Planungsphase mit der Standortauswahl sowie die Evaluierung von Standorten im Betrieb. An erster Stelle stand eine Stadtstrukturtypenanalyse (Teilbericht A) mit dem Ziel der Entwicklung einer standardisierten Methode für praxisbezogene Anwender zur Identifizierung von Standorten, die für die Planung und Umsetzung von Elektromobilitätskonzepten besonders geeignet sind. Im Rahmen der wissenschaftlichen Begleitforschung wurde außerdem eine Bewertung (Präqualifizierung, Teilbericht B) von 40 Hamburger Quartieren vorgenommen. Sie zeigt die Eignung von Standorten für E-Carsharing, um Mobilitätsdienstleistern, Entscheidern aus der Wohnungswirtschaft und kommunalen Akteuren bei der Standortwahl eine fundierte Entscheidungsgrundlage zur Verfügung zu stellen. Ergänzt wird die Arbeit durch das Planungsbüro ARGUS, das mit seinem Beitrag (Teilbericht C) detailliertere Aussagen zur Dimensionierung und Flächenallokation von e-Carsharing Flotten ermöglicht und durch eine Ausarbeitung zu rechtlichen Aspekten der Integration von Elektromobilität von Dr. Cathrin Zengerling (Teilbericht D). Im Teilbericht E geht es um die Evaluation der Erprobungsphase von E-Carsharing-Stationen mit dem Ziel der Identifikation erfolgskritischer Rahmenbedingungen für die Umsetzung elektromobiler Carsharing-Konzepte. Darüber hinaus werden im Teilbericht F Ergebnisse aus dem projektbezogenen Mobilitätsmanagement dokumentiert, der Teilbericht G fasst die Prozessanalyse zusammen und der Teilbericht H stellt Thesen für die künftige Entwicklung von Elektromobilitätsangeboten vor."			HafenCity Universität Hamburg		com_hcu_13	2023-01-26T14:54:00Z
	E-Carsharing			Kulus, Daniel	doc-type:workingPaper	Students	https://repos.hcu-hamburg.de/handle/hcu/486											col_hcu_15	
	Modellregionen Elektromobilität			Dickhaut, Wolfgang														ddc:333.7	
	333.7 Natürliche Ressourcen, Energie und Umwelt																	open_access	
	Elektromobilität																		
	Carsharing																		
	Nachhaltigkeit																		
	Hamburg																		
	ddc:																		
	Elektromobilität	xMetaDiss:GND																	
	Carsharing	xMetaDiss:GND																	
	Nachhaltigkeit	xMetaDiss:GND	4326464-5																
	Hamburg	xMetaDiss:GND																	
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	e-Quartier Hamburg			Dickhaut, Wolfgang	Working Paper	Researchers	978-3-941722-75-0	info:eu-repo/semantics/openAccess	Erkenntnisse aus e‐Quartier Hamburg – 7 Thesen zur künftigen Umsetzung quartiersbezogener E‐Carsharing‐ Konzepte - Teilbericht H der Wissenschaftlichen Begleitforschung im Bundesförderprojekt „e‐Quartier Hamburg“	application/pdf	2018-01-01	ger	"Das Verbundvorhaben e-Quartier Hamburg, vom Bundesministerium für Verkehr und digitale Infrastruktur im Rahmen des Programms „Modellregionen für Elektromobilität“ gefördert, verfolgt den Ansatz, elektromobile Carsharing-Angebote sowohl im Bestand als auch im Neubau zu integrieren. In zehn Quartieren im Hamburger Stadtgebiet werden durch zwei Carsharing-Anbieter Elektrofahrzeuge im stationsbasierten Carsharing angeboten. Zudem werden an vier Standorten in der Metropolregion Hamburg E-Fahrzeuge als Poolfahrzeuge eingesetzt.

Die wissenschaftliche Begleitforschung im Projekt e-Quartier umfasst die Planungsphase mit der Standortauswahl sowie die Evaluierung von Standorten im Betrieb. An erster Stelle stand eine Stadtstrukturtypenanalyse (Teilbericht A) mit dem Ziel der Entwicklung einer standardisierten Methode für praxisbezogene Anwender zur Identifizierung von Standorten, die für die Planung und Umsetzung von Elektromobilitätskonzepten besonders geeignet sind. Im Rahmen der wissenschaftlichen Begleitforschung wurde außerdem eine Bewertung (Präqualifizierung, Teilbericht B) von 40 Hamburger Quartieren vorgenommen. Sie zeigt die Eignung von Standorten für E-Carsharing, um Mobilitätsdienstleistern, Entscheidern aus der Wohnungswirtschaft und kommunalen Akteuren bei der Standortwahl eine fundierte Entscheidungsgrundlage zur Verfügung zu stellen. Ergänzt wird die Arbeit durch das Planungsbüro ARGUS, das mit seinem Beitrag (Teilbericht C) detailliertere Aussagen zur Dimensionierung und Flächenallokation von e-Carsharing Flotten ermöglicht und durch eine Ausarbeitung zu rechtlichen Aspekten der Integration von Elektromobilität von Dr. Cathrin Zengerling (Teilbericht D). Im Teilbericht E geht es um die Evaluation der Erprobungsphase von E-Carsharing-Stationen mit dem Ziel der Identifikation erfolgskritischer Rahmenbedingungen für die Umsetzung elektromobiler Carsharing-Konzepte. Darüber hinaus werden im Teilbericht F Ergebnisse aus dem projektbezogenen Mobilitätsmanagement dokumentiert, der Teilbericht G fasst die Prozessanalyse zusammen und der Teilbericht H stellt Thesen für die künftige Entwicklung von Elektromobilitätsangeboten vor."			HafenCity Universität Hamburg		com_hcu_13	2023-01-26T14:54:01Z
	E-Carsharing			Prill, Thomas	doc-type:workingPaper	Students	https://repos.hcu-hamburg.de/handle/hcu/487											col_hcu_15	
	Modellregionen Elektromobilität			Fink, Johanna														ddc:333.7	
	333.7 Natürliche Ressourcen, Energie und Umwelt			Kulus, Daniel														open_access	
	Elektromobilität			Lindlahr, Peter															
	Carsharing			Gisdon, Kathrin															
	Nachhaltigkeit			Carstens, Leif															
	Hamburg			Drost, Uwe															
	ddc:			Engstfeld, Joachim															
	Elektromobilität	xMetaDiss:GND		Redlich, Carsten															
	Carsharing	xMetaDiss:GND		Puttlitz, Olaf															
	Nachhaltigkeit	xMetaDiss:GND	4326464-5	Töllner, Stefan															
	Hamburg	xMetaDiss:GND																	
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	710: Landschaftsgestaltung, Raumplanung				Working Paper	Researchers	https://repos.hcu-hamburg.de/handle/hcu/488	info:eu-repo/semantics/openAccess	Sought, found. The results of the area search	application/pdf	2017-01-01	eng	"FindingPlaces is a collaborative project of the HafenCity University Hamburg in conjunction with the city of Hamburg. In workshops during the period from 26 May to 15 July 2016, citizens of Hamburg searched on an interactive city model (a so called CityScope) for public areas suitable for the erection of refugee accommodations. The mission: to find areas enabling the accommodation of 20,000 refugees in total. The workshops were moderated by steg Hamburg (Stadterneuerungs- und Stadtentwicklungsgesellschaft Hamburg [Urban Renewal and Urban Development Corporation Hamburg]) and carried out academically by the HafenCity University Hamburg. Additionally, representatives of the city districts as well as of the Zentraler Koordinierungsstab Flüchtlinge (ZKF) [Central Coordination Unit for Refugees] supported the discussions with their expert knowledge.
The participants proposed specific areas and discussed the advantages and disadvantages in depth. Furnished with their comments and a recommendation for a certain number of accommodation places, the suggestions were sent to the city for assessment. The city examined the areas within 14 days. The inspection results were published online at www.findingplaces.hamburg. The inspection result and the comments on an area were also stored in the interactive model so that subsequent workshop participants could retrace which parcels of land had already been discussed with what result. After examination by the city, 44 areas remained that appeared suitable according to the initial assessment for a temporary development with refugee accommodations. The recommendations of the workshop participants for these areas cover about 6,500 accommodation places. This corresponds to approximately the number of refugees who are currently still living in precarious accommodation situations, such as building supply stores or initial reception sites and who already have a claim to a follow-up accommodation. What was assessed and how the assessment took place, please read on the following pages."			HafenCity Universität Hamburg		com_hcu_13	2023-01-26T14:56:36Z
	Hamburg				doc-type:workingPaper	Students							"FindingPlaces ist ein Kooperationsprojekt der HafenCity Universität Hamburg mit der Stadt Hamburg. Im Zeitraum vom 26. Mai bis zum 15. Juli 2016 haben Hamburgerinnen und Hamburger in Workshops an einem interaktiven Stadtmodell (ein sogenanntes CityScope) nach öffentlichen Flächen gesucht, die sich zur Errichtung von Flüchtlingsunterkünften eignen. Die Aufgabe: Flächen finden, die die Unterbringung von insgesamt 20 000 Flüchtlingen ermöglichen. 
Die Workshops wurden von der steg Hamburg (Stadterneuerungs- und Stadtentwicklungsgesellschaft Hamburg) moderiert und von der HafenCity 
Universität Hamburg wissenschaftlich durchgeführt. Zusätzlich unterstützten Vertreterinnen und Vertreter der Bezirke sowie des Zentralen Koordinierungsstabs Flüchtlinge (ZKF) mit ihrem Fachwissen die Diskussionen. Die Teilnehmerinnen und Teilnehmer haben konkrete Flächen vorgeschlagen und ausführlich die Vor- und Nachteile diskutiert. Mit ihren Kommentaren und einer Empfehlung für eine bestimmte Anzahl von Unterbringungsplätzen versehen, wurden die Vorschläge zur Prüfung an die Stadt geschickt. Die Stadt hat die Flächen innerhalb von 14 Tagen geprüft. Die Prüfergebnisse wurden online unter 
www.findingplaces.hamburg veröffentlicht. Das Prüfergebnis und die Kommentare zu einer Fläche wurden auch im interaktiven Modell gespeichert, so dass nachfolgende Workshopteilnehmerinnen und -teilnehmer nachvollziehen konnten, welche Grundstücke bereits mit welchem Ergebnis besprochen wurden. Nach der Prüfung durch die Stadt sind 44 Flächen verblieben, die sich nach der Ersteinschätzung als geeignet für eine temporäre Bebauung mit Flüchtlingsunterkünften zeigen. Die Empfehlungen der Workshopteilnehmerinnen und -teilnehmer für diese Flächen liegen bei rund 6 500 Unterbringungsplätzen. Das entspricht in etwa der Anzahl von Flüchtlingen, die zurzeit noch in prekären Unterbringungssituationen wie Baumärkten oder Erstaufnahmen leben müssen und bereits einen Anspruch auf eine Folgeunterkunft haben. Was geprüft wurde 
und wie die Prüfung ablief, lesen Sie auf den folgenden Seiten."					col_hcu_15	
	Flüchtling																	open_access	
	Unterbringung																	ddc:710	
	Flächenbedarf																		
	Freifläche																		
	Wohnungsbau																		
	Bürgerbeteiligung																		
	Projekt																		
	ddc:710																		
	Hamburg	xMetaDiss:GND																	
	Flüchtling	xMetaDiss:GND																	
	Unterbringung	xMetaDiss:GND																	
	Flächenbedarf	xMetaDiss:GND	4017391-4																
	Freifläche	xMetaDiss:GND																	
	Wohnungsbau	xMetaDiss:GND																	
	Bürgerbeteiligung	xMetaDiss:GND	4008767-0																
	Projekt	xMetaDiss:GND																	
