Ref. No.,Supplier Name,Payment Date,Invoice NET £,Directorate,Cost Type
Aug10045,TYLER TAXIS,13-Aug-10,"3,906.00","Children, Families & Education",Home to School Transport - Hired
Aug10109,WALKING BUS TRADING LTD,13-Aug-10,"4,200.00","Children, Families & Education","Equipment, Furniture and Materials and Livestock"
Aug10177,BY THE BRIDGE,13-Aug-10,"4,481.43","Children, Families & Education",Private Contractors
Aug10228,LOWRIE BROTHERS LTD#NEW,13-Aug-10,"4,680.00","Children, Families & Education",Building Works - Other
Aug10243,PHOENIX TAXIS,13-Aug-10,"4,761.00","Children, Families & Education",Home to School Transport - Hired
Aug10297,PLAYDALE PLAYGROUNDS LTD#NEW,13-Aug-10,"5,034.00","Children, Families & Education",Building Works - Other
Aug10322,INTEGRATED SERVICES PROGRAMME,13-Aug-10,"5,179.17","Children, Families & Education",Private Contractors
Aug10323,INTEGRATED SERVICES PROGRAMME,13-Aug-10,"5,179.17","Children, Families & Education",Private Contractors
Aug10330,ACTION FOR CHILDREN SERVICES LIMITED,13-Aug-10,"5,211.00","Children, Families & Education",Specialists Fees
Aug10332,KINGS REACH LTD,13-Aug-10,"5,222.69","Children, Families & Education",Specialists Fees
Aug10380,PUTTING LEARNING FIRST LIMITED,13-Aug-10,"5,600.00","Children, Families & Education",Specialists Fees
Aug10391,INVICTA IT SOLUTIONS LTD,13-Aug-10,"5,688.30","Children, Families & Education",Computer and Other IT Expenditure (IT Technical/Installation Services)
Aug10415,THE HOWARD SCHOOL,13-Aug-10,"5,864.11","Children, Families & Education",Specialists Fees
Aug10425,HEATH FARM FAMILY SERVICES LTD,13-Aug-10,"5,913.25","Children, Families & Education",Private Contractors
Aug10538,AIREY MILLER PARTNERSHIP LLP,13-Aug-10,"6,840.00","Children, Families & Education",Specialists Fees
Aug10569,TRIBAL RESOURCING LIMITED,13-Aug-10,"7,109.63","Children, Families & Education",Recruitment Advertising
Aug10593,URS CORPORATION LIMITED,13-Aug-10,"7,442.21","Children, Families & Education",Design Fees - External
Aug10598,WEBBASED LTD,13-Aug-10,"7,500.00","Children, Families & Education",Computer and Other IT Expenditure (Hardware)
Aug10607,ANNA NEWTON,13-Aug-10,"7,600.00","Children, Families & Education",Specialists Fees
Aug10621,MAYFIELD EDUCATION CONSULTANCY LTD,13-Aug-10,"7,800.00","Children, Families & Education",Specialists Fees
Aug10635,TOTAL CATERING SOLUTIONS LTD,13-Aug-10,"7,957.46","Children, Families & Education",Catering Provisions and Catering Equipment
Aug10668,SCHOOL IMPROVEMENT PARTNER PLUS LIMITED#TN4 8XS,13-Aug-10,"8,400.00","Children, Families & Education",Specialists Fees
Aug10672,KALEIDOSCOPE#ME9 8AA,13-Aug-10,"8,414.33","Children, Families & Education",Private Contractors
Aug10681,MARY HARE GRAMMAR SCHOOL,13-Aug-10,"8,517.00","Children, Families & Education",Agency and Contracted Services
Aug10820,MARTIN LEADERSHIP & CONSULTANCY LTD#EN5 5BE,13-Aug-10,"10,562.23","Children, Families & Education",Consultants
Aug10861,THE REGARD PARTNERSHIP,13-Aug-10,"11,428.28","Children, Families & Education",Private Contractors
Aug10862,THE REGARD PARTNERSHIP,13-Aug-10,"11,428.28","Children, Families & Education",Private Contractors
Aug10905,NAS SERVICES LTD,13-Aug-10,"12,214.81","Children, Families & Education",Agency and Contracted Services
Aug10906,NAS SERVICES LTD,13-Aug-10,"12,214.99","Children, Families & Education",Agency and Contracted Services
Aug10998,ROGER GRENNAN LTD,13-Aug-10,"15,000.00","Children, Families & Education",Specialists Fees
Aug11014,THE REGARD PARTNERSHIP,13-Aug-10,"15,270.92","Children, Families & Education",Private Contractors
Aug11078,W W MARTIN (THANET) LTD#NEW,13-Aug-10,"19,592.67","Children, Families & Education",Building Works - Main Contract
Aug11083,SWAAY,13-Aug-10,"19,980.43","Children, Families & Education",Private Contractors
Aug11097,THE JOHN TOWNSEND TRUST,13-Aug-10,"21,077.00","Children, Families & Education",Agency and Contracted Services
Aug11099,NAS SERVICES LTD,13-Aug-10,"21,151.20","Children, Families & Education",Agency and Contracted Services
Aug11171,THE GRANGE MONTESSORI NURSERY SCHOOL#543821,13-Aug-10,"30,022.00","Children, Families & Education",Capital Grants and Advances
Aug11185,PLAY 4 AGES LIMITED,13-Aug-10,"31,255.00","Children, Families & Education",Grants
Aug11331,CANTERBURY CHRIST CHURCH UNIVERSITY COLLEGE,13-Aug-10,"48,800.00","Children, Families & Education",Service Agency Agreements
Aug11717,KENT LEP 1 LTD#NEW,13-Aug-10,"214,362.18","Children, Families & Education",Building Works - Main Contract
Aug11723,KENT LEP 1 LTD#NEW,13-Aug-10,"240,969.64","Children, Families & Education",Building Works - Main Contract
Aug11800,KENT LEP 1 LTD#NEW,13-Aug-10,"459,580.07","Children, Families & Education",Building Works - Main Contract
Aug11819,KENT LEP 1 LTD#NEW,13-Aug-10,"529,618.06","Children, Families & Education",Building Works - Main Contract
Aug11827,KENT LEP 1 LTD#NEW,13-Aug-10,"581,434.79","Children, Families & Education",Building Works - Main Contract
Aug11831,KENT LEP 1 LTD#NEW,13-Aug-10,"676,701.28","Children, Families & Education",Building Works - Main Contract
Aug11836,KENT LEP 1 LTD#NEW,13-Aug-10,"1,213,936.94","Children, Families & Education",Building Works - Main Contract
Aug11837,CARILLION CONSTRUCTION LTD#NEW,13-Aug-10,"1,284,062.34","Children, Families & Education",Building Works - Main Contract
Aug11869,SOUTHERN WATER,13-Aug-10,521.10,Communities,Water Charges and Sewerage and Environmental Services
Aug11874,BRUCE BANKS SAILS LIMITED#SO31 7ZA,13-Aug-10,525.00,Communities,"Equipment, Furniture and Materials and Livestock"
Aug11997,ICOM TELECOMMUNICATION LTD,13-Aug-10,650.00,Communities,Computer and Other IT Expenditure (Maintenance)
Aug12043,DELRON SERVICES LTD#NEW,13-Aug-10,717.13,Communities,Building Works - Main Contract
Aug12054,OCN,13-Aug-10,750.00,Communities,Examination Fees
Aug12065,CF ASSET FINANCE LIMITED,13-Aug-10,766.00,Communities,Printing and photocopying
Aug12067,PETERS LTD,13-Aug-10,771.35,Communities,"Books, Publications and Newspapers etc"
Aug12074,TIM STUBBINGS#CT5 1RT,13-Aug-10,790.00,Communities,Specialists Fees
Aug12117,PETERS LTD,13-Aug-10,869.12,Communities,"Books, Publications and Newspapers etc"
Aug12171,BACKSTOP SUPPORT LTD,13-Aug-10,"1,012.50",Communities,Agency Staff
Aug12176,ROYAL MAIL GROUP LTD,13-Aug-10,"1,019.91",Communities,Postages
Aug12192,R-BIOPHARM RHONE LTD,13-Aug-10,"1,062.50",Communities,"Equipment, Furniture and Materials and Livestock"
Aug12198,PETERS LTD,13-Aug-10,"1,132.70",Communities,"Books, Publications and Newspapers etc"
Aug12219,MEDICARE FIRST,13-Aug-10,"1,237.50",Communities,Agency Staff
Aug12226,OXFORD BROOKES UNIVERSITY,13-Aug-10,"1,250.00",Communities,External Training
Aug12227,OXFORD BROOKES UNIVERSITY,13-Aug-10,"1,250.00",Communities,External Training
Aug12228,OXFORD BROOKES UNIVERSITY,13-Aug-10,"1,250.00",Communities,External Training
Aug12247,KENWARD TRUST,13-Aug-10,"1,250.24",Communities,Private Contractors
Aug12254,MEDICARE FIRST,13-Aug-10,"1,312.50",Communities,Agency Staff
Aug12265,DAISY TELECOMS LTD,13-Aug-10,"1,362.33",Communities,Telephone/ Fax Calls
Aug12297,NEOPOST LIMITED,13-Aug-10,"1,671.30",Communities,Service and Repair of Equipment
Aug12310,RAVENSCOURT TRUST,13-Aug-10,"1,795.88",Communities,Private Contractors
Aug12326,KENT TOP TEMPS LTD,13-Aug-10,"1,890.51",Communities,Agency Staff
Aug12349,KENWARD TRUST,13-Aug-10,"2,062.40",Communities,Private Contractors
Aug12593,DAVID CHIPPERFIELD ARCHITECTS LTD,13-Aug-10,"19,170.00",Communities,Design Fees - External
Aug12655,HEADCORN PRIMARY SCHOOL#TN27 9QT,13-Aug-10,"1,778.15",IF Insurance,Property Claims
Aug12659,SWADELANDS SCHOOL#ME17 2QJ,13-Aug-10,"3,285.74",IF Insurance,Property Claims
Aug12668,RPS GROUP PLC#PLEASE CHECK BANK ACCOUNT NUMBER,13-Aug-10,750.00,Pensions,Purchases
Aug12676,RPS GROUP PLC#PLEASE CHECK BANK ACCOUNT NUMBER,13-Aug-10,"1,500.00",Pensions,Purchases
Aug12703,DTZ,13-Aug-10,"15,912.34",Pensions,Fund Manager Fees
Aug364,KENT TOP TEMPS LTD,16-Aug-10,654.90,"Environment, Highways & Waste",Sundry Debtors - General
Aug365,KENT TOP TEMPS LTD,16-Aug-10,913.96,"Environment, Highways & Waste",Sundry Debtors - General
Aug366,KENT TOP TEMPS LTD,16-Aug-10,507.54,"Environment, Highways & Waste",Sundry Debtors - General
Aug367,FCS,16-Aug-10,530.89,"Environment, Highways & Waste",Maintenance of Grounds
Aug368,LANDSCAPE SUPPLY COMPANY,16-Aug-10,616.55,"Environment, Highways & Waste","Equipment, Furniture and Materials and Livestock"
Aug369,MAIDSTONE TOWN CENTRE MANAGEMENT INITIATIVE LTD,16-Aug-10,"2,500.00","Environment, Highways & Waste",Sundry Debtors - General
Aug370,SANDBERG LLP,16-Aug-10,"1,400.00","Environment, Highways & Waste",Sundry Debtors - General
Aug371,SDA ARCHITECTS LTD,16-Aug-10,"7,136.00","Environment, Highways & Waste",Community Asset
Aug372,SHEILS FLYNN#PE31 8NH#,16-Aug-10,"1,432.00","Environment, Highways & Waste",Sundry Debtors - General
Aug373,SITECH SURVEYING SERVICES,16-Aug-10,675.00,"Environment, Highways & Waste",Sundry Debtors - General
Aug374,TANYA AXFORD,16-Aug-10,"4,207.10","Environment, Highways & Waste",Sundry Debtors - General
Aug375,UNIPART RAIL LIMITED-DORMAN#PR9 9LA,16-Aug-10,"4,940.00","Environment, Highways & Waste",Sundry Debtors - General
Aug376,ZEST ST PLC,16-Aug-10,"23,350.00","Environment, Highways & Waste",Sundry Debtors - General
Aug377,ZEST ST PLC,16-Aug-10,"21,844.00","Environment, Highways & Waste",Sundry Debtors - General
Aug378,BAM NUTTALL LTD#NEW,16-Aug-10,"468,721.49","Environment, Highways & Waste",Sundry Debtors - General
Aug379,HOOPER AND SONS LTD#NEW,16-Aug-10,"1,090.00","Environment, Highways & Waste",Miscellaneous
Aug380,JACKSON CIVILS LTD#NEW,16-Aug-10,"35,820.36","Environment, Highways & Waste",Sundry Debtors - General
Aug381,JACKSON CIVILS LTD#NEW,16-Aug-10,"821,800.77","Environment, Highways & Waste",Sundry Debtors - General
Aug382,DARTFORD JUDO CLUB,16-Aug-10,"1,890.00","Environment, Highways & Waste",Sundry Debtors - General
Aug383,MESSRS ANDERSONS SOLICITORS,16-Aug-10,869.71,"Environment, Highways & Waste",Sundry Debtors - General
Aug384,VOLKER FITZPATRICK/HOCHTIEF UK CONSTRUCTION JV#NEW,16-Aug-10,"2,489,699.51","Environment, Highways & Waste",Sundry Debtors - General
Aug385,HM LAND REGISTRY FINANCIAL ACCOUNTING,16-Aug-10,553.00,"Environment, Highways & Waste",Sundry Debtors - General
Aug923,HAMLETS HOTEL & RESTAURANT#ME20 6HJ,16-Aug-10,511.07,Adult Services,External Training
Aug932,SHEPPEY GUEST HOUSE#ME12 3DF,16-Aug-10,515.00,Adult Services,Private Contractors
Aug942,BRITISH NURSING ASSOCIATION#PINNACLE BNA,16-Aug-10,520.40,Adult Services,Voluntary Associations
Aug953,CATE JACKSON#CT5 3ER,16-Aug-10,524.80,Adult Services,External Training
Aug959,J S K PROPERTIES#DY4 7LY,16-Aug-10,527.17,Adult Services,"External - Rent, Room Hire & Service Charges"
Aug961,HANDS FREE COMPUTING LTD,16-Aug-10,527.90,Adult Services,Computer and Other IT Expenditure (Hardware)
Aug966,KENT SOCIAL CARE PROFFESSIONALS LTD,16-Aug-10,530.02,Adult Services,Private Contractors
Aug975,FOLKESTONE TAXI CO LTD,16-Aug-10,534.00,Adult Services,Public Transport (Clients)
Aug1006,KCS,16-Aug-10,551.96,Adult Services,"Repairs, Alterations and Maintenance of Buildings"
Aug1034,MR RONALD THOMAS#CT5 3NH,16-Aug-10,563.20,Adult Services,Volunteer Drivers
Aug1068,GRAVESHAM BOROUGH COUNCIL,16-Aug-10,586.30,Adult Services,Water Charges and Sewerage and Environmental Services
Aug1115,KENT TOP TEMPS LTD,16-Aug-10,602.47,Adult Services,Agency Staff
Aug1138,CF ASSET FINANCE LIMITED,16-Aug-10,612.82,Adult Services,Refreshments
Aug1142,YOAKLEY HSE M.YOAKLEY CHARITY,16-Aug-10,615.00,Adult Services,External Training
Aug1163,KENT COUNTY COUNCIL,16-Aug-10,623.70,Adult Services,Personal Expenses/Adaptations
Aug1168,KENT TOP TEMPS LTD,16-Aug-10,625.28,Adult Services,Agency Staff
Aug1184,VALLEY TRAVEL,16-Aug-10,640.00,Adult Services,Public Transport (Clients)
Aug1212,KENT COUNTY COUNCIL,16-Aug-10,656.00,Adult Services,Personal Expenses/Adaptations
Aug1232,KENT COUNTY COUNCIL,16-Aug-10,665.95,Adult Services,Personal Expenses/Adaptations
Aug1358,KENT TOP TEMPS LTD,16-Aug-10,742.39,Adult Services,Agency Staff
Aug1370,KENT ASSOCIATION FOR THE BLIND,16-Aug-10,751.04,Adult Services,Private Contractors
Aug1376,IDEN MANOR NURSING HOME,16-Aug-10,753.81,Adult Services,Private Contractors
Aug1406,KENT TOP TEMPS LTD,16-Aug-10,777.94,Adult Services,Agency Staff
Aug1410,KENT TOP TEMPS LTD,16-Aug-10,781.14,Adult Services,Agency Staff
Aug1430,KENT ASSOCIATION FOR THE BLIND,16-Aug-10,796.20,Adult Services,Private Contractors
Aug1446,CORNFORD HOUSE LIMITED,16-Aug-10,808.26,Adult Services,Private Contractors
Aug1457,VALLEY TRAVEL,16-Aug-10,814.00,Adult Services,Public Transport (Clients)
Aug1482,CHAUCER HOMECARE LTD,16-Aug-10,831.96,Adult Services,Private Contractors
Aug1507,FOLKESTONE TAXI CO LTD,16-Aug-10,858.00,Adult Services,Public Transport (Clients)
Aug1508,CHAUCER HOMECARE LTD,16-Aug-10,858.02,Adult Services,Private Contractors
Aug1531,FOLKESTONE TAXI CO LTD,16-Aug-10,880.00,Adult Services,Public Transport (Clients)
Aug1558,FOLKESTONE TAXI CO LTD,16-Aug-10,900.00,Adult Services,Public Transport (Clients)
Aug1563,HANDS FREE COMPUTING LTD,16-Aug-10,904.16,Adult Services,Computer and Other IT Expenditure (Hardware)
Aug1628,FOLKESTONE TAXI CO LTD,16-Aug-10,962.00,Adult Services,Public Transport (Clients)
Aug1634,KENT ASSOCIATION FOR THE BLIND,16-Aug-10,967.04,Adult Services,Voluntary Associations
Aug1692,GARLINGE LODGE#TN4 0NR,16-Aug-10,"1,028.55",Adult Services,Private Contractors
Aug1693,FOLKESTONE TAXI CO LTD,16-Aug-10,"1,030.00",Adult Services,Public Transport (Clients)
Aug1706,BROTHERS OF CHARITY SERVICES,16-Aug-10,"1,039.72",Adult Services,Private Contractors
Aug1714,ELDERBERRY CARE#TN13 3NP,16-Aug-10,"1,050.00",Adult Services,Private Contractors
Aug1731,KENT TOP TEMPS LTD,16-Aug-10,"1,070.83",Adult Services,Agency Staff
Aug1783,LAKE COMMUNICATIONS LTD,16-Aug-10,"1,125.00",Adult Services,Specialists Fees
Aug1881,AZAD AYUB LTD,16-Aug-10,"1,200.00",Adult Services,"External - Rent, Room Hire & Service Charges"
Aug1882,AZAD AYUB LTD,16-Aug-10,"1,200.00",Adult Services,"External - Rent, Room Hire & Service Charges"
Aug1906,SWANTAX LIMITED,16-Aug-10,"1,220.80",Adult Services,Public Transport (Clients)
Aug2269,THE HAMILTONS RESIDENTIAL HOMES,16-Aug-10,"1,447.28",Adult Services,Private Contractors
Aug2272,LIFELINE HEALTH LIMITED T/A COMMUNITY LIFELINE,16-Aug-10,"1,447.32",Adult Services,Private Contractors
Aug2326,FOLKESTONE TAXI CO LTD,16-Aug-10,"1,460.00",Adult Services,Public Transport (Clients)
Aug2335,KENT ASSOCIATION FOR THE BLIND,16-Aug-10,"1,470.40",Adult Services,Voluntary Associations
Aug2347,CHRISTIES CARE LTD,16-Aug-10,"1,482.00",Adult Services,Private Contractors
Aug2423,CORNFORD HOUSE LIMITED,16-Aug-10,"1,534.50",Adult Services,Private Contractors
Aug2622,FAIRBY GRANGE REST HOME,16-Aug-10,"1,586.40",Adult Services,Private Contractors
Aug3073,D H HOMECARE LIMITED#LL11 1BS,16-Aug-10,"1,844.92",Adult Services,Private Contractors
Aug3218,THE O'SHEA PARTNERSHIP LLP,16-Aug-10,"1,904.64",Adult Services,Private Contractors
Aug3334,THE NORMANHURST,16-Aug-10,"1,953.88",Adult Services,Private Contractors
Aug3345,ST GEORGE REST HOME,16-Aug-10,"1,971.90",Adult Services,Private Contractors
Aug3400,NORFOLK COUNTY COUNCIL,16-Aug-10,"2,000.00",Adult Services,Private Contractors
Aug3415,GLENDALE LODGE,16-Aug-10,"2,029.98",Adult Services,Private Contractors
Aug3512,KENT COUNTY COUNCIL,16-Aug-10,"2,067.83",Adult Services,Electricity
Aug3540,THE AVENUES TRUST LTD,16-Aug-10,"2,097.55",Adult Services,Private Contractors
Aug3541,THE AVENUES TRUST LTD,16-Aug-10,"2,097.55",Adult Services,Private Contractors
Aug3554,ST PETER'S CONVENT,16-Aug-10,"2,108.89",Adult Services,Private Contractors
Aug3608,CHAUCER HOMECARE LTD,16-Aug-10,"2,152.36",Adult Services,Private Contractors
Aug3675,CHAUCER HOMECARE LTD,16-Aug-10,"2,224.54",Adult Services,Private Contractors
Aug3941,WARWICK PARK NURSING & RES HOME#IN LIQUIDATION,16-Aug-10,"2,336.43",Adult Services,Private Contractors
Aug4024,ST PETER'S HOME LTD,16-Aug-10,"2,378.88",Adult Services,Private Contractors
Aug4055,LIFELINE HEALTH LIMITED T/A COMMUNITY LIFELINE,16-Aug-10,"2,423.96",Adult Services,Private Contractors
Aug4107,LIFELINE HEALTH LIMITED T/A COMMUNITY LIFELINE,16-Aug-10,"2,511.16",Adult Services,Private Contractors
Aug4134,RNID,16-Aug-10,"2,585.24",Adult Services,Private Contractors
Aug4148,AVANTE PARTNERSHIP#KCHT,16-Aug-10,"2,617.39",Adult Services,Voluntary Associations
Aug4219,KENT ASSOCIATION FOR THE BLIND,16-Aug-10,"2,770.00",Adult Services,Private Contractors
Aug4222,THE PRIORY,16-Aug-10,"2,774.70",Adult Services,Private Contractors
Aug4261,IDEN MANOR NURSING HOME,16-Aug-10,"2,826.77",Adult Services,Private Contractors
Aug4262,IDEN MANOR NURSING HOME,16-Aug-10,"2,826.77",Adult Services,Private Contractors
Aug4298,IDEN MANOR NURSING HOME,16-Aug-10,"2,921.00",Adult Services,Private Contractors
Aug4435,ST HELIER'S RESIDENTIAL HOTEL,16-Aug-10,"3,145.65",Adult Services,Private Contractors
Aug4524,SUTTON VALENCE NRSING & CARE CNTR,16-Aug-10,"3,339.90",Adult Services,Private Contractors
Aug4586,LULWORTH HOUSE RES. HOME,16-Aug-10,"3,452.96",Adult Services,Private Contractors
Aug4717,RNID,16-Aug-10,"3,787.60",Adult Services,Voluntary Associations
Aug4764,ADDLESHAW GODDARD,16-Aug-10,"3,860.81",Adult Services,PFI Development Costs
Aug4808,FORT HORSTED NURSING HOME,16-Aug-10,"3,949.60",Adult Services,Private Contractors
Aug5154,MAIDSTONE CARE CENTRE,16-Aug-10,"5,215.14",Adult Services,Private Contractors
Aug5203,BROTHERS OF CHARITY SERVICES,16-Aug-10,"5,435.96",Adult Services,Private Contractors
Aug5224,RNID,16-Aug-10,"5,536.24",Adult Services,Voluntary Associations
Aug5247,LEARNING DISABILITIES CARE (DOVER) LTD,16-Aug-10,"5,586.68",Adult Services,Private Contractors
Aug5630,THE AVENUES TRUST LTD,16-Aug-10,"8,139.60",Adult Services,Private Contractors
Aug5718,DAVID LEWIS CENTRE FOR EPILEPSY,16-Aug-10,"8,715.34",Adult Services,Private Contractors
Aug5955,THE ABBEYFIELD KENT SOCIETY,16-Aug-10,"12,929.60",Adult Services,Private Contractors
Aug5957,LUKESTONE NURSING HOME,16-Aug-10,"12,975.00",Adult Services,Private Contractors
Aug5987,BUPA CARE SERVICES LIMITED,16-Aug-10,"13,907.04",Adult Services,Private Contractors
Aug6059,CARE UK HOMECARE,16-Aug-10,"15,940.64",Adult Services,Private Contractors
Aug6247,AFFINITY TRUST#OX9 3WT,16-Aug-10,"60,841.12",Adult Services,Private Contractors
Aug6299,KENT COUNTY COUNCIL,16-Aug-10,"19,548.13",Central Accounts,Miscellaneous - Cash
Aug6329,KENT TOP TEMPS LTD,16-Aug-10,505.88,Chief Executives,Agency Staff
Aug6346,MISS ANNA MCKENNA,16-Aug-10,528.75,Chief Executives,Legal Fees
Aug6367,KENT TOP TEMPS LTD,16-Aug-10,555.00,Chief Executives,Agency Staff
Aug6369,O2 (UK) LIMITED,16-Aug-10,557.02,Chief Executives,Mobile phones purchase/rental/calls
Aug6384,KCS LASER,16-Aug-10,581.31,Chief Executives,Printing and photocopying
Aug6385,BRITISH TELECOM PLC # CALL CHARGES,16-Aug-10,581.55,Chief Executives,Telephone/ Fax Rental
Aug6389,RICHARD LITTLE#WC1R 4LL,16-Aug-10,587.50,Chief Executives,Legal Fees
Aug6426,BRITISH TELECOM PLC # CALL CHARGES,16-Aug-10,628.38,Chief Executives,Telephone/ Fax Calls
Aug6435,MISS ANNA MCKENNA,16-Aug-10,646.25,Chief Executives,Legal Fees
Aug6479,KINGS HILL PRE-SCHOOL#543771,16-Aug-10,750.00,Chief Executives,Grants
Aug6539,KENT TOP TEMPS LTD,16-Aug-10,922.04,Chief Executives,Agency Staff
Aug6592,10 DEAL (EASTRY) SCOUT GROUP#CT13 0JL,16-Aug-10,"1,000.00",Chief Executives,Grants
Aug6597,JENNIFER YOUNG#TN33 9BB,16-Aug-10,"1,010.70",Chief Executives,Specialists Fees
Aug6607,DX NETWORK SERVICES LIMITED,16-Aug-10,"1,032.25",Chief Executives,Postages
Aug6633,DELL COMPUTER CORPORATION LTD,16-Aug-10,"1,084.73",Chief Executives,Computer and Other IT Expenditure (Hardware)
Aug6634,DELL COMPUTER CORPORATION LTD,16-Aug-10,"1,084.73",Chief Executives,Computer and Other IT Expenditure (Hardware)
Aug6672,KENT TOP TEMPS LTD,16-Aug-10,"1,199.64",Chief Executives,Agency Staff
Aug6717,KENT TOP TEMPS LTD,16-Aug-10,"1,350.00",Chief Executives,Agency Staff
Aug6733,ULCOMBE PARISH COUNCIL,16-Aug-10,"1,487.00",Chief Executives,Grants
Aug6744,DELL COMPUTER CORPORATION LTD,16-Aug-10,"1,550.48",Chief Executives,Computer and Other IT Expenditure (Hardware)
Aug6758,DELL COMPUTER CORPORATION LTD,16-Aug-10,"1,692.23",Chief Executives,Computer and Other IT Expenditure (Hardware)
Aug6766,KENT TOP TEMPS LTD,16-Aug-10,"1,750.00",Chief Executives,Agency Staff
Aug6802,THE AVENUE THEATRE,16-Aug-10,"2,000.00",Chief Executives,Grants
Aug6820,KENT TOP TEMPS LTD,16-Aug-10,"2,090.00",Chief Executives,Agency Staff
Aug6839,KENT TOP TEMPS LTD,16-Aug-10,"2,250.00",Chief Executives,Agency Staff
Aug6840,KENT TOP TEMPS LTD,16-Aug-10,"2,250.00",Chief Executives,Agency Staff
Aug6896,EUROSTAR INTERNATIONAL LTD#N1 9AW,16-Aug-10,"3,223.00",Chief Executives,Public Transport (Officers and Members)
Aug6938,KENT TOP TEMPS LTD,16-Aug-10,"4,500.00",Chief Executives,Agency Staff
Aug6997,KENT TOP TEMPS LTD,16-Aug-10,"8,736.00",Chief Executives,Agency Staff
Aug7011,KENT TOP TEMPS LTD,16-Aug-10,"10,296.00",Chief Executives,Agency Staff
Aug7062,O & H MOBILITY,16-Aug-10,500.00,"Children, Families & Education",Social Services Section 17 Payments
Aug7063,SWALE VOLUNTEERING CENTRE#ME10 4NT,16-Aug-10,500.00,"Children, Families & Education",Specialists Fees
Aug7104,SUPPLIES TEAM,16-Aug-10,509.73,"Children, Families & Education",Stationery and Office Expenses
Aug7128,KENT COUNTY COUNCIL,16-Aug-10,516.00,"Children, Families & Education","Equipment, Furniture and Materials and Livestock"
Aug7135,KENT TOP TEMPS LTD,16-Aug-10,519.52,"Children, Families & Education",Agency Staff
Aug7194,WORCESTERSHIRE PCT,16-Aug-10,535.00,"Children, Families & Education",Specialists Fees
Aug7222,FOLKESTONE TAXI CO LTD,16-Aug-10,544.00,"Children, Families & Education",Public Transport (Clients)
Aug7300,ABACUS CARS LTD,16-Aug-10,575.00,"Children, Families & Education",Public Transport (Clients)
Aug7444,KENT COUNTY COUNCIL,16-Aug-10,620.00,"Children, Families & Education",Stationery and Office Expenses
Aug7524,KENT COUNTY COUNCIL,16-Aug-10,650.00,"Children, Families & Education","Repairs, Maintenance and Running Costs"
Aug7544,KENT TOP TEMPS LTD,16-Aug-10,661.50,"Children, Families & Education",Agency Staff
Aug7576,FOLKESTONE TAXI CO LTD,16-Aug-10,678.00,"Children, Families & Education",Public Transport (Clients)
Aug7613,KENT TOP TEMPS LTD,16-Aug-10,688.50,"Children, Families & Education",Agency Staff
Aug7614,EUROPA PROPERTY SERVICES,16-Aug-10,690.00,"Children, Families & Education","External - Rent, Room Hire & Service Charges"
Aug7741,FOLKESTONE TAXI CO LTD,16-Aug-10,741.00,"Children, Families & Education",Public Transport (Clients)
Aug7911,KINGS HILL TAXIS,16-Aug-10,750.00,"Children, Families & Education",Home to School Transport - Hired
Aug7936,PAM HOLLANDS#CT5 4DB,16-Aug-10,760.00,"Children, Families & Education","External - Rent, Room Hire & Service Charges"
Aug7955,FOLKESTONE TAXI CO LTD,16-Aug-10,767.00,"Children, Families & Education",Public Transport (Clients)
Aug7963,FOLKESTONE TAXI CO LTD,16-Aug-10,768.00,"Children, Families & Education",Public Transport (Clients)
Aug7992,KENT TOP TEMPS LTD,16-Aug-10,784.13,"Children, Families & Education",Agency Staff
Aug7996,EUROPA PROPERTY SERVICES,16-Aug-10,790.00,"Children, Families & Education","External - Rent, Room Hire & Service Charges"
Aug7997,EUROPA PROPERTY SERVICES,16-Aug-10,790.00,"Children, Families & Education","External - Rent, Room Hire & Service Charges"
Aug7998,EUROPA PROPERTY SERVICES,16-Aug-10,790.00,"Children, Families & Education","External - Rent, Room Hire & Service Charges"
Aug7999,EUROPA PROPERTY SERVICES,16-Aug-10,790.00,"Children, Families & Education","External - Rent, Room Hire & Service Charges"
Aug8052,CORNERSTONE BED & BREAKFAST#TN24 8TH,16-Aug-10,810.00,"Children, Families & Education",Personal Expenses/Adaptations
Aug8053,FOLKESTONE TAXI CO LTD,16-Aug-10,810.00,"Children, Families & Education",Public Transport (Clients)
Aug8203,EXPRESS CABS & COURIERS LTD,16-Aug-10,885.00,"Children, Families & Education",Public Transport (Clients)
Aug8211,E C HARBOUR,16-Aug-10,889.72,"Children, Families & Education",Home to School Transport - Hired
Aug8212,EUROPA PROPERTY SERVICES,16-Aug-10,890.00,"Children, Families & Education","External - Rent, Room Hire & Service Charges"
Aug8213,EUROPA PROPERTY SERVICES,16-Aug-10,890.00,"Children, Families & Education","External - Rent, Room Hire & Service Charges"
Aug8214,EUROPA PROPERTY SERVICES,16-Aug-10,890.00,"Children, Families & Education","External - Rent, Room Hire & Service Charges"
Aug8215,EUROPA PROPERTY SERVICES,16-Aug-10,890.00,"Children, Families & Education","External - Rent, Room Hire & Service Charges"
Aug8216,EUROPA PROPERTY SERVICES,16-Aug-10,890.00,"Children, Families & Education","External - Rent, Room Hire & Service Charges"
Aug8217,EUROPA PROPERTY SERVICES,16-Aug-10,890.00,"Children, Families & Education","External - Rent, Room Hire & Service Charges"
