"NHS Bath and North East Somerset CCG - Expenditure over £25,000 - November 2018",,,,,,,,,
"In some cases, items shown are under £25,000. This is because an invoice has either been split for accounting purposes or VAT has been reclaimed reseulting in a net amount lower than £25,000",,,,,,,,,
Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,ST MICHAELS SURGERY,24665198,"£3,043.07",,BRS000036883
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,ST MICHAELS SURGERY,24665198,£222.93,,BRS000036883
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS List Size Adjustment,PRC DELEGATED CO-COMMISSIONING,ST MICHAELS SURGERY,24665198,"£1,412.63",,BRS000036883
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS PCO Locum Sickness,PRC DELEGATED CO-COMMISSIONING,ST MICHAELS SURGERY,24665198,"£3,503.04",,BRS000036883
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ST MICHAELS SURGERY,24665198,"£10,893.34",,BRS000036883
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ST MICHAELS SURGERY,24665198,£808.25,,BRS000036883
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ST MICHAELS SURGERY,24665198,"£5,237.83",,BRS000036883
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,TEMPLE HOUSE PRACTICE,24665200,£223.45,,BRS000036885
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,TEMPLE HOUSE PRACTICE,24665200,"£51,261.25",,BRS000036885
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,TEMPLE HOUSE PRACTICE,24665200,"£1,138.26",,BRS000036885
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,TEMPLE HOUSE PRACTICE,24665200,£526.42,,BRS000036885
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,TEMPLE HOUSE PRACTICE,24665200,£223.88,,BRS000036885
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS List Size Adjustment,PRC DELEGATED CO-COMMISSIONING,TEMPLE HOUSE PRACTICE,24665200,"£4,099.30",,BRS000036885
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,TEMPLE HOUSE PRACTICE,24665200,"£29,746.68",,BRS000036885
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,TEMPLE HOUSE PRACTICE,24665200,"£6,535.84",,BRS000036885
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Hlthcre-Foundation Trsts,ACUTE COMMISSIONING,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,24617969,"£716,728.72",654948491,R0001823
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,UNIVERSITY MEDICAL CENTRE BATH,24665202,"£6,726.45",,BRS000036887
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,UNIVERSITY MEDICAL CENTRE BATH,24665202,"£55,875.45",,BRS000036887
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,UNIVERSITY MEDICAL CENTRE BATH,24665202,"£2,043.61",,BRS000036887
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,UNIVERSITY MEDICAL CENTRE BATH,24665202,"£4,260.14",,BRS000036887
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,UNIVERSITY MEDICAL CENTRE BATH,24665202,£419.67,,BRS000036887
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS List Size Adjustment,PRC DELEGATED CO-COMMISSIONING,UNIVERSITY MEDICAL CENTRE BATH,24665202,"£5,491.98",,BRS000036887
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,UNIVERSITY MEDICAL CENTRE BATH,24665202,"£3,249.17",,BRS000036887
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,UNIVERSITY MEDICAL CENTRE BATH,24665202,"£1,604.02",,BRS000036887
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-APMS LES DermatologyCryotherapy,COMMUNITY SERVICES,UNIVERSITY MEDICAL CENTRE BATH,24832456,"£70,802.00",,8
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,WEST VIEW SURGERY,24665204,£216.20,,BRS000036889
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,WEST VIEW SURGERY,24665204,"£47,383.46",,BRS000036889
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,WEST VIEW SURGERY,24665204,"£1,121.16",,BRS000036889
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,WEST VIEW SURGERY,24665204,"£1,260.00",,BRS000036889
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,WEST VIEW SURGERY,24665204,£658.70,,BRS000036889
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,WEST VIEW SURGERY,24665204,£218.86,,BRS000036889
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS List Size Adjustment,PRC DELEGATED CO-COMMISSIONING,WEST VIEW SURGERY,24665204,"£1,403.32",,BRS000036889
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,WEST VIEW SURGERY,24665204,"£10,749.79",,BRS000036889
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,WEST VIEW SURGERY,24665204,"£4,674.22",,BRS000036889
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,WESTFIELD SURGERY,24665206,£150.46,,BRS000036891
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,WESTFIELD SURGERY,24665206,"£27,419.01",,BRS000036891
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,WESTFIELD SURGERY,24665206,£736.25,,BRS000036891
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,WESTFIELD SURGERY,24665206,£823.25,,BRS000036891
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,WESTFIELD SURGERY,24665206,£144.98,,BRS000036891
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS List Size Adjustment,PRC DELEGATED CO-COMMISSIONING,WESTFIELD SURGERY,24665206,"£2,620.41",,BRS000036891
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,WESTFIELD SURGERY,24665206,"£7,438.51",,BRS000036891
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,WESTFIELD SURGERY,24665206,"£2,951.57",,BRS000036891
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,WIDCOMBE SURGERY,24665208,£192.77,,BRS000036893
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,WIDCOMBE SURGERY,24665208,"£39,528.28",,BRS000036893
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,WIDCOMBE SURGERY,24665208,£953.01,,BRS000036893
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,WIDCOMBE SURGERY,24665208,"£2,006.19",,BRS000036893
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,WIDCOMBE SURGERY,24665208,£187.34,,BRS000036893
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS List Size Adjustment,PRC DELEGATED CO-COMMISSIONING,WIDCOMBE SURGERY,24665208,"£3,111.07",,BRS000036893
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,WIDCOMBE SURGERY,24665208,"£12,250.00",,BRS000036893
