Table 22. Metropolitan Statistical Areas--Population by Age: 2008,,,,,,,,,,,
,,,,,,,,,,,
See Notes,,,,,,,,,,,
,,,,,,,,,,,
Metropolitan Statistical Area,"Population characteristics, 2008",,,,,,,,,,
,"Total  persons (July 1, 2008)",Number of persons by age group,,,,,Percent distribution,,,,
"Tallahassee, FL",357259.0,74560.0,158484.0,87995.0,20932.0,15288.0,20.870013071749067,44.361093772305246,24.630590132089043,5.859054635432558,4.279248388424085
"Tampa-St. Petersburg-Clearwater, Florida",2733761.0,592372.0,930111.0,733153.0,226067.0,252058.0,21.668755973912862,34.02312784475307,26.818474621592742,8.269450036049237,9.220191523692085
"Terre Haute, IN",170233.0,37662.0,65212.0,43200.0,11882.0,12277.0,22.12379503386535,38.30749619638966,25.37698331110889,6.979845270893422,7.211880187742683
"Texarkana, TX-Texarkana, AR",135509.0,32658.0,49938.0,34509.0,9347.0,9057.0,24.100244264218613,36.852164800861935,25.466205196702802,6.897696831944741,6.683688906271907
"Toledo, OH",649104.0,154367.0,239172.0,171148.0,42266.0,42151.0,23.781551184401884,36.84648376839459,26.366807168034708,6.511437304345683,6.493720574823141
"Topeka, KS",229619.0,55589.0,78665.0,62748.0,16779.0,15838.0,24.209233556456567,34.25892456634686,27.327006911448965,7.307322129266307,6.897512836481301
"Trenton-Ewing, NJ",364883.0,83686.0,141242.0,95445.0,22732.0,21778.0,22.935023007374966,38.70884639733833,26.157699865436317,6.22994220065062,5.968488529199771
"Tucson, Arizona",1012018.0,239325.0,365766.0,252646.0,75220.0,79061.0,23.648294793175616,36.142242529283074,24.9645757288902,7.432674122397033,7.812212826254078
"Tulsa, Oklahoma",916079.0,234894.0,327930.0,238927.0,61362.0,52966.0,25.64123836481351,35.7971310334589,26.08148423880473,6.698330602491706,5.781815760431142
"Tuscaloosa, AL",206765.0,47982.0,85812.0,49129.0,12432.0,11410.0,23.206055183420794,41.50218847483858,23.760791236427828,6.012623026140788,5.518342079172007
"Tyler, TX",201277.0,51668.0,72849.0,47204.0,14778.0,14778.0,25.670096434267204,36.193405108382976,23.45225733690387,7.342120560222977,7.342120560222977
"Utica-Rome, NY",293790.0,61857.0,106114.0,78405.0,22383.0,25031.0,21.054835086286122,36.11899656217026,26.687429796793626,7.618707239865209,8.520031314884783
"Valdosta, GA",133348.0,34561.0,55938.0,28972.0,7694.0,6183.0,25.91789903110658,41.948885622581514,21.726610072891983,5.76986531481537,4.6367399586045535
"Vallejo-Fairfield, CA",407515.0,102651.0,152427.0,106689.0,23910.0,21838.0,25.18950222691189,37.40402193784278,26.18038599806142,5.867268689496092,5.358821147687816
"Victoria, TX",114313.0,30497.0,38536.0,29314.0,8266.0,7700.0,26.67850550681025,33.71095151032691,25.64362758391434,7.231023593117143,6.735891805831358
"Vineland-Millville-Bridgeton, NJ",156830.0,38301.0,61938.0,36841.0,10058.0,9692.0,24.421985589491808,39.49371931390678,23.49104125486195,6.4133137792514185,6.179940062488044
"Virginia Beach-Norfolk-Newport News, Virginia-North Carolina",1658292.0,411988.0,647450.0,409239.0,101577.0,88038.0,24.84411671768301,39.0431841919276,24.678343741632958,6.125398904414904,5.308956444341527
"Visalia-Porterville, CA",426276.0,135427.0,164874.0,85154.0,21290.0,19531.0,31.76979234111233,38.677758072234894,19.97625951261624,4.994416762848483,4.581773311188057
"Waco, TX",230213.0,59036.0,91523.0,51102.0,14070.0,14482.0,25.644077441326075,39.755791375812834,22.1977038655506,6.111731309700148,6.290696007610344
"Warner Robins, GA",133161.0,35886.0,49616.0,33459.0,8043.0,6157.0,26.949332011625028,37.260158755191085,25.126726293734652,6.040056773379593,4.623726166069645
"Washington-Arlington-Alexandria, District of Columbia-Virginia-Maryland-West Virginia",5358130.0,1300037.0,2078883.0,1439871.0,311137.0,228202.0,24.26288649211572,38.79866669901626,26.87264026815325,5.806820663179132,4.258985877535633
"Waterloo-Cedar Falls, IA",164220.0,36364.0,61738.0,41730.0,11689.0,12699.0,22.14346608208501,37.594690049933014,25.411033978808916,7.1178906345146755,7.732919254658385
"Wausau, WI",130962.0,30976.0,45523.0,36436.0,8972.0,9055.0,23.652662604419604,34.76046486767154,27.821810906980648,6.85084222904354,6.914219391884668
"Weirton-Steubenville, WV-OH",122054.0,23865.0,38117.0,36659.0,11601.0,11812.0,19.55282088256018,31.229619676536615,30.035066445999313,9.504809346682617,9.67768364822128
"Wenatchee, WA",108193.0,27145.0,36510.0,28019.0,8188.0,8331.0,25.089423530172933,33.74525154122725,25.897239192923756,7.56795726156036,7.7001284741157
"Wheeling, WV-OH",144847.0,28665.0,47710.0,42693.0,12134.0,13645.0,19.789847218099098,32.938203759829335,29.474549006883127,8.377115162896022,9.42028485229242
"Wichita, KS",603716.0,162724.0,216456.0,151764.0,35999.0,36773.0,26.953733212305124,35.85394456996336,25.13831006632258,5.962903086881911,6.091109064527029
"Wichita Falls, TX",147328.0,36393.0,55807.0,35611.0,9995.0,9522.0,24.702025412684623,37.87942549956559,24.17123696785404,6.784182232841007,6.463129887054735
"Williamsport, PA",116670.0,24351.0,40666.0,32319.0,9334.0,10000.0,20.871689380303422,34.85557555498414,27.701208536898946,8.00034284734722,8.571183680466273
"Wilmington, NC",347012.0,74448.0,130258.0,89170.0,29353.0,23783.0,21.45401311770198,37.5370304196973,25.696517699676093,8.458785286964138,6.853653475960487
"Winchester, VA-WV",122369.0,29054.0,46611.0,30549.0,8685.0,7470.0,23.74294143124484,38.090529464161676,24.964656081197035,7.097385775809233,6.104487247587215
"Winston-Salem, NC",468124.0,112463.0,167592.0,125426.0,33709.0,28934.0,24.024190171834814,35.80077073595885,26.793328263451567,7.200869854995686,6.180840973759089
"Worcester, Massachusetts",783806.0,184830.0,289906.0,212566.0,47358.0,49146.0,23.581090218753108,36.98695850758989,27.119720951357863,6.042056325162093,6.2701739971370465
"Yakima, WA",234564.0,71281.0,82166.0,54032.0,13850.0,13235.0,30.388721201889464,35.029245749560886,23.03507784655787,5.904571886564009,5.6423833154277725
"York-Hanover, PA",424583.0,97250.0,150219.0,118317.0,30202.0,28595.0,22.90482661811707,35.380361436986405,27.866636205406248,7.113332375530815,6.734843363959461
"Youngstown-Warren-Boardman, OH-PA",565947.0,122028.0,183896.0,162555.0,46202.0,51266.0,21.561736346336318,32.49350204171062,28.72265424147491,8.16366196834686,9.058445402131294
"Yuba City, CA",165274.0,45841.0,65295.0,35795.0,9900.0,8443.0,27.736365066495637,39.50712150731513,21.65797403100306,5.990052881880997,5.108486513305178
"Yuma, AZ",194322.0,54752.0,64302.0,38464.0,16996.0,19808.0,28.175914204258913,33.090437521227656,19.7939502475273,8.74630767489013,10.193390352096007
,,,,,,,,,,,
"Source: U.S. Census Bureau,",,,,,,,,,,,
"USA Counties, (accessed 23 July 2009).",,,,,,,,,,,
