"PSB - PS Business Parks, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Annual Data,,,,,,,,,,,,,,,,,Quarterly Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Long-Term Liabilities,311.144,335.442,405.07900000000006,422.121,688.541,338.43699999999995,344.443,341.348,300.27799999999996,242.77300000000002,249.95799999999997,229.59700000000004,181.39000000000004,168.57200000000006,196.69900000000007,196.69900000000007,,168.9,187.8,308.2,311.144,311.265,317.89799999999997,331.506,335.442,332.213,339.43600000000004,395.29,405.07900000000006,402.668,399.799,397.495,422.121,417.829,423.631,423.955,688.541,476.6929999999999,454.32099999999997,342.748,338.43699999999995,334.80400000000003,333.024,324.976,344.443,344.651,345.631,293.801,341.348,304.967,301.242,302.36199999999997,300.27799999999996,293.87699999999995,353.236,296.653,242.77300000000002,230.454,230.454,250.44000000000003,249.95799999999997,250.34600000000003,230.695,178.52800000000005,229.59700000000004,183.729,183.97,181.768,181.39000000000004,179.1359999999999,170.43199999999996,300.71,168.57200000000006,167.51700000000005,167.42599999999996,167.261,196.69900000000007
Total Liabilities,348.21,366.413,570.224,492.4,688.541,349.804,370.336,408.396,361.003,348.509,349.143,427.529,959.414,706.128,520.618,520.618,,236.5,233.9,354.0,348.21,342.817,349.26,362.674,366.413,362.982,369.999,425.644,570.224,580.808,487.731,475.215,492.4,487.966,493.623,493.799,688.541,557.233,473.705,384.216,349.804,346.069,344.185,336.031,370.336,370.377,389.128,337.068,408.396,366.683,362.634,363.426,361.003,354.258,353.236,356.319,348.509,332.667,332.766,354.363,349.143,348.533,332.839,336.982,427.529,405.014,417.207,431.248,959.414,882.204,760.442,855.814,706.128,573.671,572.521,582.375,520.618
Common Stock,0.236,0.23,0.215,0.215,0.0,0.218,0.215,0.213,0.207,0.204,0.243,0.246,0.24,0.242,0.267,0.267,,0.0,0.0,0.0,0.236,0.234,0.232,0.231,0.23,0.229,0.225,0.217,0.215,0.215,0.215,0.216,0.215,0.213,0.213,0.215,0.0,0.218,0.218,0.218,0.218,0.219,0.219,0.218,0.215,0.213,0.213,0.213,0.213,0.213,0.213,0.213,0.207,0.204,0.204,0.204,0.204,0.204,0.205,0.243,0.243,0.244,0.245,0.245,0.246,0.246,0.246,0.24,0.24,0.241,0.241,0.242,0.242,0.242,0.242,0.243,0.267
Preferred Stock,55.0,0.0,0.0,0.0,168.673,510.85,593.35,572.5,716.25,706.25,626.046,598.546,598.546,885.0,995.0,995.0,,0.0,0.0,0.0,55.0,55.0,55.0,55.0,0.0,55.0,121.0,121.0,0.0,171.0,170.988,170.95,0.0,170.813,170.63,168.673,168.673,288.35,420.85,478.35,510.85,510.85,593.35,593.35,593.35,593.35,602.5,622.5,572.5,716.25,716.25,716.25,716.25,716.25,716.25,716.25,706.25,626.046,626.046,626.046,626.046,626.046,571.921,571.921,598.546,598.546,598.546,598.546,598.546,664.396,787.25,885.0,885.0,995.0,995.0,995.0,995.0
Retained Earnings,21.406,44.258,56.247,73.262,0.0,85.545,92.513,84.442,67.856,50.773,40.997,36.854,46.097,23.356,23.36,23.36,,10.7,2.2,29.5,21.406,25.0,29.415,33.836,44.258,47.78,52.164,55.838,56.247,63.084,66.373,70.034,73.262,72.867,79.666,81.224,0.0,79.576,78.438,74.966,85.545,86.527,85.95,93.884,92.513,91.386,89.608,86.91,84.442,84.182,78.575,73.449,67.856,62.676,58.306,54.702,50.773,44.784,44.51,42.809,40.997,42.041,40.489,39.301,36.854,42.599,43.121,47.914,46.097,38.959,29.734,24.257,23.356,21.233,19.247,17.541,23.36
Accumulated other comprehensive income (loss),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.773,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.48,0.0,-0.14,-0.836,-0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Additional Paid-In Capital,478.889,464.855,422.161,420.372,0.0,420.351,407.38,398.048,371.267,363.587,548.393,557.882,534.322,537.091,699.314,699.314,,0.0,0.0,0.0,478.889,474.377,467.605,465.297,464.855,459.401,448.51,426.546,422.161,421.083,421.083,421.51,420.372,412.769,414.724,419.198,0.0,423.672,419.875,420.896,420.351,421.863,420.356,416.8,407.38,397.689,394.521,395.897,398.048,394.923,395.896,396.613,371.267,356.302,357.305,358.13,363.587,396.18,396.93,547.86,548.393,550.894,556.24,556.867,557.882,559.821,560.169,533.749,534.322,536.191,535.712,535.496,537.091,536.545,539.27,540.866,699.314
Treasury Stock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Equity,555.531,564.343,599.7309999999999,664.4019999999999,670.8279999999999,1016.964,1093.458,1055.203,1155.5800000000002,1120.814,1215.6789999999999,1193.528,1179.2050000000002,1445.6889999999999,1717.9410000000003,1717.9410000000003,,493.1,550.7,552.4,555.531,554.611,557.061,560.844,564.343,562.27,621.063,602.8610000000001,599.7309999999999,655.472,658.672,662.921,664.4019999999999,656.6439999999999,664.2069999999999,668.528,670.8279999999999,791.4930000000002,919.3810000000001,974.43,1016.964,1019.4590000000001,1099.875,1104.252,1093.458,1082.6380000000001,1086.842,1105.52,1055.203,1195.568,1190.934,1186.525,1155.5800000000002,1135.432,1132.065,1129.286,1120.814,1067.2140000000002,1067.691,1216.9579999999999,1215.6789999999999,1219.225,1168.895,1168.334,1193.528,1201.212,1202.0819999999999,1180.4489999999998,1179.2050000000002,1239.787,1352.937,1444.9950000000003,1445.6889999999999,1553.0199999999998,1553.7590000000002,1553.65,1717.9410000000003
Net Income,41.255,51.181,49.87,57.43,0.0,62.143,75.294,64.58,68.666,85.347,94.339,102.022,102.64,95.372,116.144,116.144,,9.4,10.3,10.7,10.855,10.743,11.512,11.471,17.455,11.465,12.83,12.849,12.726,16.702,13.472,13.844,13.412,9.731,16.916,11.843,0.0,11.983,12.291,11.345,26.524,17.093,16.505,25.519,16.177,16.317,16.651,14.736,16.876,18.591,16.538,17.023,16.514,19.658,20.771,21.814,23.104,21.699,23.64,23.61,25.39,27.841,26.49,23.559,24.132,24.673,25.307,30.626,22.034,21.845,23.355,23.695,26.477,24.989,26.476,26.847,37.832
Cumulative Effect Of Accounting Change,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Foreign Currency Exchange Gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income From Continuing Operations,41.255,51.181,49.87,57.43,0.0,62.143,75.294,64.58,68.666,85.347,94.339,102.022,102.64,95.372,116.144,116.144,,9.4,10.3,10.7,10.855,10.743,11.512,11.471,17.455,11.465,12.83,12.849,12.726,16.702,13.472,13.844,13.412,9.731,16.916,11.843,0.0,11.983,12.291,11.345,26.524,17.093,16.505,25.519,16.177,16.317,16.651,14.736,16.876,18.591,16.538,17.023,16.514,19.658,20.771,21.814,23.104,21.699,23.64,23.61,25.39,27.841,26.49,23.559,102.022,24.673,25.307,30.626,102.64,21.845,23.355,23.695,26.477,24.989,26.476,26.847,37.832
"Depreciation, Depletion and Amortization",29.762,35.637,0.0,58.143,0.0,73.793,77.42,86.243,98.274,99.588,84.823,78.868,84.682,109.494,108.917,108.91700000000002,,6.7,7.3,7.6,29.762,8.376,8.898,18.347,8.914,9.646,9.733,10.679,0.0,13.978,14.312,14.595,15.258,13.685,14.17,15.383,0.0,17.884,18.33,18.802,18.777,19.016,19.084,19.318,20.002,20.612,20.951,22.184,22.496,21.58,24.854,25.223,26.617,25.384,25.055,24.637,24.512,22.677,22.029,20.335,19.782,18.121,18.595,21.127,21.025,20.798,21.001,21.364,21.519,27.299,27.239,26.884,28.072,26.961,26.629,26.597,28.73
Change In Receivables,-3.868,-2.004,0.0,-3.529,0.0,-4.172,-5.004,-3.741,-1.015,1.759,0.262,-2.809,-3.074,-5.025,-0.247,-0.2469999999999999,,-0.8,-0.5,-2.0,-0.568,0.021,-1.799,0.01,-0.236,0.509,-1.004,-0.561,0.0,-1.671,-1.872,-0.217,0.231,0.0,0.0,-0.932,0.0,-2.357,-2.479,1.954,-1.29,-1.21,-1.547,-2.039,-0.208,0.575,-2.085,-1.86,-0.371,2.643,-0.547,0.961,-4.072,2.201,1.313,-2.403,0.648,2.035,-0.016,-1.597,-0.16,0.942,-0.355,-3.555,0.159,1.099,0.314,-3.73,-0.757,1.145,-4.863,-2.248,0.941,2.425,-0.609,-3.506,1.443
Change In Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Change In Prepaid Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Change In Payables And Accrued Expense,5.242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.482,-0.845,-0.633,2.389,-2.735,5.601,1.308,1.307999999999999,,0.0,0.0,0.0,5.242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.239,0.0,0.0,-7.239,2.017,0.0,0.737,0.0,3.386,0.0,1.6,-2.107,2.029,0.96,1.737,0.379,4.601,-7.562,0.873,0.459,2.21,-4.175,-0.699,2.166,4.408,-3.486,-1.807,-0.138,3.9,-4.69,4.183,1.823,3.778,-4.183,-3.067,-0.319,9.213,-4.519
Change In Working Capital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.467,0.914,-0.371,-0.42,-5.809,0.576,1.061,1.0609999999999995,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.579,-3.112,3.938,1.692,2.198,-6.914,2.908,0.443,0.613,-4.335,0.243,1.811,0.853,-3.327,-0.708,0.176,0.17,-5.447,5.328,-3.04,1.53,-3.242,-0.642,-0.928,5.707,-3.076
Change In DeferredTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash Flow from Discontinued Operations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash Flow from Others,17.422999999999995,24.379000000000005,76.80700000000002,19.352999999999987,130.897,16.22999999999999,-3.8859999999999957,15.310999999999993,15.686999999999996,3.488000000000001,0.8340000000000081,-3.3539999999999868,-0.892999999999998,3.68500000000001,-3.827999999999996,-3.828000000000006,,0.29999999999999893,8.299999999999997,2.0999999999999996,-14.877000000000002,7.183000000000002,8.358999999999998,-1.9939999999999998,1.9329999999999998,3.2399999999999984,12.846999999999996,8.817999999999994,21.844,7.102999999999998,1.6590000000000025,2.1189999999999998,8.472000000000003,5.785,7.785,7.268000000000001,28.331,5.965,7.135000000000002,13.728,-10.597999999999999,0.44399999999999906,1.7520000000000024,-3.312000000000001,-2.7699999999999996,5.815000000000001,3.0869999999999997,6.098999999999997,0.3100000000000023,8.594999999999999,1.4730000000000025,2.608999999999999,3.0100000000000033,0.47499999999999654,1.3900000000000008,0.899999999999999,0.7229999999999972,0.9209999999999972,-1.0309999999999975,0.43800000000000194,0.5060000000000029,-4.738000000000001,0.5530000000000008,0.6259999999999992,-77.685,0.47300000000000053,0.3380000000000029,-2.298,-80.012,1.2549999999999981,1.3579999999999979,1.2890000000000026,-0.21699999999999608,1.218000000000004,0.905999999999998,1.0449999999999955,-6.997000000000003
Cash Flow from Operations,88.44,111.197,126.677,134.926,130.897,152.166,148.828,166.134,184.094,189.337,179.625,177.116,180.62,209.127,222.294,222.294,,16.4,25.9,20.4,25.74,26.302,28.769,27.824,28.302,24.351,35.41,32.346,34.57,37.783,29.443,30.558,37.142,29.201,38.871,34.494,28.331,35.832,37.756,43.875,34.703,36.553,37.341,41.525,33.409,42.744,40.689,43.019,39.682,48.766,42.865,49.434,43.029,49.455,48.908,49.549,41.425,48.205,45.081,44.996,41.343,41.467,47.449,46.165,42.035,45.236,46.822,49.862,38.7,55.727,48.912,53.398,51.09,52.526,53.083,60.196,56.489
"Purchase Of Property, Plant, Equipment",-112.848,-19.127,-12.76,-26.675,0.0,-52.069,-60.413,-178.2,-138.936,0.0,0.0,-296.251,-297.738,-51.022,-113.945,-100.048,,-28.4,0.0,-53.3,-31.148,-34.232,0.0,-43.563,58.668,-4.771,0.0,-92.814,84.825,-8.043,-6.482,13.705,-25.855,-13.465,-54.692,-10.948,0.0,-6.126,-39.066,-16.034,9.157,-9.628,-9.061,-10.377,-31.347,-74.196,-50.798,-8.702,-44.504,-121.234,7.422,-25.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58.417,-65.165,-34.964,-137.705,0.0,111.092,-3.447,-267.678,0.0,0.0,230.553,-13.897,0.0,0.0,-0.496,-99.552
"Sale Of Property, Plant, Equipment",0.0,0.0,0.0,0.0,0.0,0.0,84.802,7.714,0.0,0.0,2.557,9.181,8.999,2.065,0.0,2.249,,0.0,0.0,0.0,0.0,0.0,0.0,23.634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.168,2.79,0.0,0.0,4.924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.557,0.0,0.0,9.181,0.0,0.0,0.0,0.0,0.0,9.183,-0.184,0.0,0.0,0.0,2.249,0.0,0.0,0.0,0.0
Purchase Of Business,0.0,-82.335,-301.96,-1.156,0.0,-22.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-42.5,0.0,0.0,0.0,13.003,0.0,-52.838,0.0,-90.425,0.0,-211.535,0.0,0.0,0.0,-1.156,0.0,0.0,0.0,0.0,0.0,-24.14,1.817,0.0,-15.267,0.0,0.0,0.0,-65.692,-42.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sale Of Business,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Purchase Of Investment,-18.47,0.0,0.0,-0.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-0.4,0.0,-18.07,-0.5,-1.232,0.0,0.0,-4.799,-4.641,0.0,0.0,0.0,0.0,0.0,-0.255,0.0,-1.396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sale Of Investment,0.0,0.0,0.0,4.823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.043,1.036,0.0,0.0,3.207,0.025,1.591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Intangibles Purchase And Sale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash From Discontinued Investing Activities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash Flow from Investing,-131.318,-77.468,-318.367,5.776,-294.885,-26.108,24.389,-169.986,-180.188,-35.192,-26.956,-326.623,-337.106,-105.729,-172.872,-172.872,,-28.4,-31.2,-22.1,-49.618,-34.732,-3.902,-17.259,-21.575,-4.527,-100.725,-5.228,-207.887,2.414,-5.904,0.257,9.009,-10.915,-36.463,-10.162,-237.345,-6.126,-37.989,-12.044,30.051,5.639,-8.045,54.196,-27.401,-71.406,-45.374,-8.702,-44.504,-121.234,-9.85,-37.97,-11.134,-9.056,-10.88,-9.049,-6.207,-5.075,-3.735,-8.057,-10.089,-56.291,-75.819,-45.641,-148.872,-8.043,-36.131,-6.559,-286.373,-11.053,-15.438,-54.472,-24.766,-9.692,-15.083,-32.627,-115.47
Net Issuance of Stock,0.179,0.0,0.0,0.0,0.0,0.0,-12.528,-14.75,-28.551,-21.626,171.002,0.0,-30.252,0.0,192.329,192.329,,0.0,0.0,0.0,0.179,-6.774,0.0,-7.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.119,1.802,4.318,0.0,6.149,0.114,0.214,0.0,0.804,0.487,-5.001,-8.818,-11.643,-3.827,0.196,0.524,0.125,-0.125,0.0,-28.551,-21.626,0.0,0.0,0.0,0.0,0.0,171.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.329
Net Issuance of Preferred Stock,53.064,0.0,0.0,0.0,0.0,0.0,87.092,-26.402,101.232,-5.481,-62.534,-49.987,-39.087,255.263,106.311,-25.938999999999993,,0.0,0.0,0.0,53.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.198,0.0,166.841,104.141,-64.651,0.0,0.0,144.352,-12.074,19.465,0.0,6.865,-33.158,-0.109,101.232,0.0,0.0,0.0,0.0,0.0,0.0,-5.481,-62.534,0.0,12.335,-12.335,0.0,-74.125,0.0,24.138,-39.087,0.0,0.0,0.0,58.538,106.294,222.681,-132.25,106.311,0.0,0.0,0.0
Net Issuance of Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.076,-1.157,-6.15,91.909,322.788,-248.982,-218.102,-218.102,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.8,-0.276,-0.281,-0.279,-0.305,-0.292,-5.402,-0.253,-0.254,-0.241,-0.274,-0.266,-0.27,92.719,25.062,17.229,128.225,152.272,-79.21,-116.212,-40.214,-13.346,-128.102,0.0,0.0,-90.0
Cash Flow for Dividends,-27.047,-47.877,-61.559,-71.141,0.0,-82.591,-68.326,-69.517,-103.867,-106.699,-102.875,-103.361,-98.099,-107.683,-116.044,-116.04400000000001,,-7.8,-8.8,-3.2,-7.247,-7.149,-16.633,2.486,-26.581,-13.249,-13.751,-14.616,-19.943,-20.722,-16.713,-16.714,-16.992,-10.126,-10.117,-10.159,0.0,-12.237,-13.412,-35.599,-21.343,-20.921,-21.891,-22.164,-3.35,-22.344,-21.44,-22.701,-3.032,-22.569,0.0,-54.226,-27.072,-26.704,-26.716,-26.722,-26.557,-25.116,-24.791,-26.481,-26.487,-26.498,-26.072,-25.11,-25.681,-24.63,-24.638,-24.451,-24.38,-25.888,-27.162,-26.355,-28.278,-27.464,-29.359,-29.071,-30.15
Other Financing,84.834,-10.777000000000001,207.03,-27.82499999999999,123.472,-9.38000000000001,-19.296000000000006,-19.02499999999999,1.3800000000000097,0.7920000000000158,1.1019999999999754,7.783000000000001,1.0500000000000114,5.9069999999999965,4.681999999999974,4.681999999999974,,15.0,26.5,110.10000000000001,-66.766,-10.294999999999998,-0.9529999999999994,2.523,12.536,-6.325999999999999,53.576,29.735,130.04500000000002,61.547000000000004,-90.22,-10.18,11.028,-7.071,-7.263999999999999,-6.886999999999999,179.293,-191.15400000000002,-68.093,43.67699999999999,-6.6179999999999986,-0.10200000000000031,-64.75500000000002,-0.10600000000000165,-18.983999999999998,-0.1670000000000016,-0.16799999999999926,-0.22999999999999687,-18.46,-5.360000000000003,-27.008,32.759,0.9890000000000043,0.11400000000000077,0.33300000000000196,0.28600000000000136,0.05900000000000105,-7.105427357601002e-15,0.6030000000000015,-12.335000000000022,12.834,2.649000000000001,3.2470000000000105,0.48600000000000065,1.4010000000000034,0.9440000000000062,-4.893999999999998,-116.0,121.0,2.9619999999999997,0.5860000000000056,1.718,0.6409999999999982,1.593999999999994,2.0650000000000013,0.7230000000000025,0.29999999999997584
Cash Flow from Financing,111.03,-58.654,145.471,-98.966,123.472,-91.971,-13.058,-129.694,-35.882,-134.171,0.545,-53.656,156.4,-95.495,-30.824,-30.823999999999998,,7.2,17.7,106.9,-20.77,-24.218,-17.586,-2.805,-14.045,-19.575,39.825,15.119,110.102,40.825,-106.933,-26.894,-5.964,-25.316,-15.579,-14.926,179.293,-30.401,22.75,-56.359,-27.961,-20.219,58.193,-39.345,-11.687,-34.154,-18.57,-55.893,-21.077,73.428,-27.133,-27.267,-54.91,-48.497,-26.662,-26.741,-32.271,-93.052,-24.441,144.267,-26.229,-24.123,-97.216,-24.894,92.577,-37.711,-12.303,-42.478,248.892,-43.598,-36.494,157.83,-173.233,-47.661,-27.294,-28.348,72.479
Net Change in Cash,68.152,-24.925,-46.219,41.736,0.0,33.879,160.159,-133.546,-31.976,19.974,153.214,-203.163,-0.086,7.903,18.598,18.598,,-4.8,12.4,105.3,-44.748,-32.648,7.281,7.76,-7.318,0.249,-25.49,42.237,-63.215,81.022,-83.394,3.921,40.187,-7.03,-13.171,9.406,0.0,-0.695,22.517,-24.528,36.585,21.973,87.489,56.376,-5.679,-62.816,-23.255,-21.576,-25.899,0.96,5.882,-15.803,-23.015,-8.098,11.366,13.759,2.947,-49.922,16.905,181.206,5.025,-38.947,-125.586,-24.37,-14.26,-0.518,-1.612,0.825,1.219,1.076,-3.02,156.756,-146.909,-4.827,10.706,-0.779,13.498
