Fiscal Period,Dec00,Dec01,Dec02,Dec03,Dec04,Dec05,Dec06,Dec07,Dec08,Dec09,Dec10,Dec11,Dec12,Dec13,TTM/current,,Dec00,Dec01,Dec02,Dec03,Jun04,Sep04,Dec04,Mar05,Jun05,Sep05,Dec05,Mar06,Jun06,Sep06,Dec06,Mar07,Jun07,Sep07,Dec07,Mar08,Jun08,Sep08,Dec08,Mar09,Jun09,Sep09,Dec09,Mar10,Jun10,Sep10,Dec10,Mar11,Jun11,Sep11,Dec11,Mar12,Jun12,Sep12,Dec12,Mar13,Jun13,Sep13,Dec13
Change In DeferredTax,0.0,0.0,-3.181,4.598,-4.469,-0.368,-3.7,-9.526,-2.935,24.22,-0.6,-0.025,-0.02,-0.005,-0.005,,0.0,0.0,-3.181,4.598,0.0,-4.828,0.359,-1.102,-0.209,0.284,0.659,-0.753,-0.98,-0.143,-1.824,0.198,-1.761,0.428,-8.391,-2.887,-0.044,-0.575,0.571,27.23,-0.002,0.0,-3.008,-0.207,-0.207,-0.207,0.021,-0.215,0.001,-0.068,0.257,-0.024,0.0,0.0,0.004,0.0,0.0,0.0,-0.005
Cash Flow from Discontinued Operations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash Flow from Others,0.0,54.395,-3.552713678800501e-15,6.217248937900877e-15,3.9590000000000236,2.1699999999999924,8.001000000000001,15.250000000000004,3.1749999999999807,-1.684000000000001,12.836,-9.870999999999999,-5.7429999999999986,-4.437000000000002,-4.436999999999996,,0.0,54.395,-3.552713678800501e-15,6.217248937900877e-15,0.0,1.5280000000000031,2.4310000000000063,0.8320000000000041,1.1599999999999988,3.703000000000002,-3.5249999999999853,0.5619999999999975,5.548000000000005,0.9630000000000003,0.9279999999999993,0.8139999999999863,1.353,-0.8450000000000015,13.928000000000006,0.3120000000000025,0.7309999999999905,2.684000000000002,-0.5519999999999945,7.230999999999998,-11.330999999999998,8.407,-5.9910000000000005,10.753,-0.15299999999999234,-13.864999999999998,30.839999999999996,-7.7159999999999975,1.4059999999999966,-1.5310000000000001,23.691,-2.3840000000000012,5.824999999999999,-10.220000000000002,1.0359999999999956,1.543999999999997,9.444000000000003,-1.610999999999997,-13.813999999999998
Cash Flow from Operations,0.0,54.395,46.69,59.575,137.246,124.937,63.204,79.842,190.39,-19.853,-29.909,-50.332,-74.25,-39.881,-39.880999999999986,,0.0,54.395,46.69,59.575,0.0,52.643,84.603,-81.453,24.707,85.033,96.65,-66.401,-47.036,49.673,126.968,-77.007,12.635,45.467,98.747,-21.089,51.864,68.799,90.816,-18.383,11.221,-6.334,-6.357,-46.593,-34.281,32.96,18.005,-62.808,-38.417,17.412,33.481,-88.502,-21.604,23.432,12.424,-95.839,-37.818,62.863,30.913
"Purchase Of Property, Plant, Equipment",0.0,0.0,-3.596,-5.404,-9.759,-12.744,-9.601,-13.141,-4.919,-1.815,-4.092,-6.533,-2.826,-4.912,-4.912,,0.0,0.0,-3.596,-5.404,0.0,-1.677,-8.082,-2.048,-4.275,-3.711,-2.71,-0.658,-2.127,-4.482,-2.334,-6.092,-3.935,-1.916,-1.198,-0.957,-0.545,-1.112,-2.305,-0.166,-0.522,-0.264,-0.863,-0.409,-0.854,-1.426,-1.403,-3.695,-1.646,-0.426,-0.766,-1.278,-0.862,-0.35,-0.336,-0.955,-2.01,-1.04,-0.907
"Sale Of Property, Plant, Equipment",0.0,0.0,0.0,0.0,0.097,1.153,0.822,4.071,5.904,14.451,0.711,18.355,19.195,10.365,10.365,,0.0,0.0,0.0,0.0,0.0,0.025,0.072,0.0,0.0,0.742,0.339,0.135,0.197,0.133,0.357,0.879,0.207,3.249,-0.264,0.607,0.22,0.021,5.056,0.421,6.574,1.459,12.992,0.149,0.507,0.033,0.022,8.763,0.208,0.023,9.361,1.439,0.0,0.0,17.756,0.195,0.0,0.0,10.17
Purchase Of Business,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sale Of Business,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Purchase Of Investment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sale Of Investment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Intangibles Purchase And Sale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash From Discontinued Investing Activities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash Flow from Investing,0.0,2.564,-2.785,-4.062,-832.992,-28.499,-18.17,-9.07,0.985,12.636,-3.381,11.822,16.369,5.453,5.452999999999999,,0.0,2.564,-2.785,-4.062,0.0,-777.959,-55.033,-1.908,-3.765,-20.568,-2.258,-0.523,-1.93,-13.702,-2.015,-5.213,-3.728,1.333,-1.462,-0.35,-0.325,-1.091,2.751,0.255,6.052,1.195,5.134,-0.26,-0.347,-1.393,-1.381,5.068,-1.438,-0.403,8.595,0.161,-0.386,16.296,0.298,-0.76,-1.762,6.59,1.385
Net Issuance of Stock,0.0,0.0,0.0,0.0,120.513,8.806,1.914,0.0,0.0,-2.042,-0.583,0.0,-0.526,-3.192,-3.191999999999993,,0.0,0.0,0.0,0.0,0.0,100.0,20.513,8.6,0.038,0.199,-0.031,2.341,-0.858,0.261,0.17,0.323,0.0,0.119,0.0,0.434,0.0,0.0,-0.434,-0.792,-0.832,-0.238,-0.18,-0.583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.424,0.0,-0.022,-0.08,-1.206,-1.661,38.715,-39.04
Net Issuance of Preferred Stock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Issuance of Debt,0.0,0.0,0.0,0.0,617.267,-80.894,-20.539,-67.016,-39.972,-107.779,36.428,-26.689,52.669,4.737,4.737000000000009,,0.0,0.0,0.0,0.0,0.0,663.761,-46.494,81.668,-71.208,3.294,-94.648,72.097,60.381,-34.643,-118.374,78.9,-0.505,-42.752,-102.659,22.414,-38.998,-26.401,3.013,-68.531,-19.998,-27.813,8.563,34.216,43.878,-29.221,-12.445,49.594,47.628,-80.978,-42.933,91.164,21.691,-20.997,-39.189,60.709,49.202,-64.353,-40.821
Cash Flow for Dividends,0.0,0.0,0.0,0.0,-5.226,-15.103,-15.4,-15.591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-5.226,-3.773,-3.773,-3.773,-3.784,-3.831,-3.849,-3.857,-3.863,-3.876,-3.908,-3.905,-3.902,0.0,0.0,0.0,3.902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Financing,0.0,-57.043,-44.127,-55.162,-21.236000000000075,-0.4989999999999917,-8.286999999999997,0.5519999999999978,-16.808999999999997,-3.858000000000006,-17.715,55.8,6.028000000000002,32.729,32.728999999999985,,0.0,-57.043,-44.127,-55.162,0.0,-15.337999999999965,-5.897999999999999,-1.3322676295501878e-15,62.492000000000004,-63.06199999999999,0.07100000000000017,-0.5689999999999977,-6.996000000000002,-0.6960000000000015,-0.02600000000000824,0.09299999999999198,-4.440892098500626e-16,-0.01799999999999491,0.03500000000000991,-0.21200000000000224,0.29399999999999693,0.0,-20.793,-2.8719999999999875,-3.4620000000000006,5.677,-3.201,-2.8580000000000023,-3.808,-8.245999999999999,-2.802999999999999,0.0,-7.814999999999998,63.74999999999999,-0.134999999999998,-1.4329999999999994,-0.4139999999999979,-15.986000000000002,23.860999999999997,37.193,-4.860000000000001,-45.33200000000001,45.727999999999994
Cash Flow from Financing,0.0,-57.043,-44.127,-55.162,711.318,-87.69,-42.312,-82.055,-56.781,-113.679,18.13,29.111,58.171,34.274,34.27400000000001,,0.0,-57.043,-44.127,-55.162,0.0,748.423,-37.105,86.495,-12.451,-63.342,-98.392,70.038,48.678,-38.935,-122.093,75.44,-4.413,-46.556,-106.526,22.636,-38.704,-26.401,-14.312,-72.195,-24.292,-22.374,5.182,30.775,40.07,-37.467,-15.248,49.594,39.813,-17.228,-43.068,89.307,21.277,-37.005,-15.408,96.696,42.681,-70.97,-34.133
Net Change in Cash,0.0,0.0,-0.222,0.351,15.572,8.748,2.722,-11.283,134.594,-120.896,-15.16,-9.399,0.29,-0.154,-0.15399999999999991,,0.0,0.0,-0.222,0.351,0.0,23.107,-7.535,3.134,8.491,1.123,-4.0,3.114,-0.288,-2.964,2.86,-6.78,4.494,0.244,-9.241,1.197,12.835,41.307,79.255,-90.323,-7.019,-27.513,3.959,-16.078,5.442,-5.9,1.376,-8.146,-0.042,-0.219,-0.992,0.966,-0.713,2.723,-2.686,0.097,3.101,-1.517,-1.835
Free Cash Flow,0.0,54.395,43.093999999999994,54.17100000000001,127.48700000000001,112.193,53.603,66.701,185.47099999999998,-21.668000000000003,-34.001,-56.865,-77.076,-44.793,-44.79299999999998,,0.0,54.395,43.093999999999994,54.17100000000001,0.0,50.966,76.52099999999999,-83.501,20.432000000000002,81.322,93.94000000000001,-67.059,-49.163000000000004,45.191,124.634,-83.099,8.7,43.551,97.549,-22.046,51.318999999999996,67.68700000000001,88.511,-18.549,10.699,-6.598,-7.220000000000001,-47.002,-35.135,31.534000000000002,16.602,-66.503,-40.063,16.986,32.715,-89.78,-22.465999999999998,23.081999999999997,12.088,-96.794,-39.827999999999996,61.823,30.006
PE Ratio(ttm),0.0,0.0,0.0,0.0,21.44,7.71,20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,21.44,14.15,15.45,20.21,7.71,10.67,8.35,8.59,20.8,61.76,267.5,35.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Price to Tangible Book,0.0,0.0,0.0,0.0,0.0,1.85,1.69,0.78,0.57,1.69,122.0,10.71,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,1.85,2.52,2.0,1.56,1.69,1.74,1.73,1.15,0.78,1.12,0.73,1.1,0.57,1.8,2.0,3.18,1.69,3.12,2.35,5.7,122.0,0.0,0.0,2.27,10.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Price-to-Free-Cash-Flow ratio,0.0,0.0,0.0,0.0,2.44,3.07,6.01,1.83,0.32,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.44,4.24,2.74,3.46,3.07,3.78,6.65,13.22,6.01,8.68,3.46,2.32,1.83,1.23,0.64,0.85,0.32,0.43,0.63,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS Ratio,0.0,0.0,0.0,0.0,0.08,0.06,0.07,0.03,0.02,0.05,0.06,0.03,0.09,0.07,0.05,,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.06,0.05,0.07,0.06,0.09,0.07,0.06,0.07,0.07,0.08,0.05,0.03,0.04,0.03,0.05,0.02,0.03,0.05,0.07,0.05,0.07,0.05,0.07,0.06,0.06,0.04,0.03,0.03,0.07,0.07,0.08,0.09,0.09,0.07,0.07,0.07
EV-to-Revenue,0.0,0.0,0.0,0.0,0.27,0.16,0.18,0.16,0.14,0.26,0.28,0.26,0.31,0.27,0.27,,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.23,0.19,0.2,0.16,0.2,0.2,0.19,0.18,0.22,0.23,0.2,0.16,0.19,0.17,0.19,0.14,0.17,0.21,0.26,0.26,0.31,0.29,0.3,0.28,0.33,0.33,0.28,0.26,0.34,0.34,0.32,0.31,0.37,0.34,0.29,0.27
EV-to-EBITDA,0.0,0.0,0.0,0.0,16.14,6.66,8.71,32.45,32.99,596.35,0.0,195.9,41.67,0.0,-44.29,,0.0,0.0,0.0,0.0,0.0,0.0,16.14,12.66,8.76,10.02,6.66,7.96,7.25,7.32,8.71,11.63,13.69,12.04,32.45,635.95,419.84,17.46,32.99,1168.93,0.0,0.0,596.35,52.11,244.7,416.71,0.0,0.0,0.0,1848.71,195.9,232.26,78.96,36.06,41.67,55.49,0.0,0.0,0.0
EV-to-EBIT,0.0,0.0,0.0,0.0,13.34,7.95,11.34,0.0,0.0,0.0,0.0,0.0,106.46,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,13.34,11.66,10.85,12.54,7.95,9.49,8.55,8.85,11.34,16.21,20.61,18.54,0.0,19.1,31.56,56.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647.86,79.54,106.46,160.75,0.0,0.0,0.0
Earnings Yield (Joel Greenblatt),0.0,0.0,0.0,0.0,7.5,12.58,8.82,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.6,,0.0,0.0,0.0,0.0,0.0,0.0,7.5,8.58,9.22,7.97,12.58,10.54,11.7,11.3,8.82,6.17,4.85,5.39,0.0,5.24,3.17,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,1.26,0.94,0.62,0.0,0.0,0.0
Forward Rate of Return,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.18,62.68,81.3,52.78,72.12,36.17,48.85,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.18,50.18,50.18,81.41,62.68,205.5,144.21,127.67,81.3,92.27,73.39,92.55,52.78,52.78,43.72,43.35,72.12,99.17,49.33,37.12,36.17
Shiller PE Ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.11,-1.4,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.02,-6.11,-5.05,-2.75,-1.53,-1.4,-2.25,-1.9,-1.86,0.0,0.0,0.0,0.0,0.0
Market Cap,0.0,0.0,0.0,0.0,293.68312000000003,340.2,321.25600000000003,122.8125,61.160399999999996,89.3325,119.6454,93.015,178.8846,168.92849999999999,127.051,,0.0,0.0,0.0,0.0,0.0,0.0,336.91948,407.73179999999996,319.3044,405.888,340.2,485.76,399.36949999999996,309.54,321.25600000000003,327.705,333.947,220.0,122.8125,161.862,113.84639999999999,171.29020000000003,61.160399999999996,85.6341,97.71000000000001,129.2824,89.3325,124.32030000000002,85.94839999999999,130.473,119.6454,122.98800000000001,76.7382,89.6245,93.015,168.168,149.69500000000002,149.0814,178.8846,246.8385,186.1255,168.831,168.92849999999999
Enterprise Value,0.0,0.0,0.0,0.0,962.24712,919.1220000000001,876.9170000000001,622.7405,380.3924,428.77649999999994,511.30639999999994,448.222,586.4726,581.4075,539.53,,0.0,0.0,0.0,0.0,0.0,0.0,1005.48348,1154.8298,1049.1954,1075.4579999999999,919.1220000000001,1133.665,1107.9435,986.435,876.9170000000001,969.046,970.2890000000001,813.346,622.7405,683.007,583.1584,572.8942,380.3924,426.6581,425.755,465.4694,428.77649999999994,514.4603,514.5953999999999,535.8900000000001,511.30639999999994,578.646,574.0062,479.4365,448.222,611.079,617.414,593.2194,586.4726,718.3774999999999,700.4265,620.296,581.4075
Net Cash (per share),0.0,0.0,0.0,0.0,-48.29,-31.4,-25.51,-22.81,-14.71,-14.47,-15.59,-7.91,-8.8,-6.13,-6.13,,0.0,0.0,0.0,0.0,0.0,-64.07,-42.09,-37.1,-36.43,-34.31,-31.4,-34.3,-34.56,-31.59,-25.51,-29.33,-30.0,-27.52,-22.81,-23.58,-21.73,-18.1,-14.71,-15.74,-15.63,-16.13,-14.47,-16.52,-18.08,-16.65,-15.59,-18.16,-19.52,-8.62,-7.91,-9.75,-9.59,-9.25,-8.8,-7.95,-8.33,-7.38,-6.13
Net Current Asset Value (per share),0.0,0.0,0.0,0.0,-22.52,-13.68,-11.39,-11.12,-8.75,-9.01,-9.98,-4.74,-5.14,-3.54,-3.54,,0.0,0.0,0.0,0.0,0.0,-30.79,-19.63,-16.1,-15.71,-14.3,-13.68,-14.17,-14.4,-13.35,-11.39,-12.8,-12.72,-11.82,-11.12,-11.43,-9.94,-8.4,-8.75,-9.44,-9.43,-9.52,-9.01,-9.25,-9.99,-9.84,-9.98,-11.01,-11.68,-4.73,-4.74,-5.45,-5.36,-5.26,-5.14,-4.21,-4.47,-4.08,-3.54
Projected FCF (per share),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.88,18.72,5.25,1.22,-1.0,-1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.8,34.68,33.22,30.88,25.71,23.72,22.37,18.72,19.1,15.5,8.4,5.25,4.46,5.09,4.59,1.22,1.23,-0.21,0.11,-1.0
Median PS (per share),0.0,0.0,0.0,0.0,10.78,11.06,9.55,7.44,5.36,3.14,3.53,2.67,1.91,1.62,1.62,,0.0,0.0,0.0,0.0,2.97,7.67,10.78,13.44,13.4,11.56,11.06,11.08,10.84,10.33,9.55,8.73,8.14,7.76,7.44,6.97,6.47,5.9,5.36,4.75,3.93,3.4,3.14,3.2,3.48,3.52,3.53,3.44,3.35,3.0,2.67,2.37,1.92,1.86,1.91,1.9,1.82,1.72,1.62
Peter Lynch Fair Value (per share),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Graham Number (per share),0.0,0.0,0.0,0.0,14.15,14.2,8.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,3.8,12.42,11.54,11.04,10.12,14.2,14.71,15.13,13.02,8.41,5.01,2.72,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Altman Z-Score,0.0,0.0,0.0,0.0,4.02,5.76,5.74,4.73,3.96,2.9,3.19,3.21,3.47,3.79,3.75,,0.0,0.0,0.0,0.0,0.0,2.42,4.02,4.67,5.06,5.27,5.76,5.42,5.2,5.29,5.74,4.71,4.32,4.33,4.73,4.27,4.11,4.17,3.96,3.86,3.17,2.78,2.9,2.87,2.75,3.04,3.19,2.76,2.31,2.75,3.21,2.83,2.95,3.09,3.47,2.87,2.72,3.12,3.79
Piotroski F-Score,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0
Beneish M-Score,0.0,0.0,0.0,0.0,0.0,0.0,-2.87,-3.1,-3.97,-2.71,-2.63,-2.41,-2.05,-2.43,-2.43,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.67,-2.87,-2.84,-3.11,-3.12,-3.1,-3.38,-3.8,-4.11,-3.97,-4.76,-4.08,-3.54,-2.71,-1.87,-1.73,-2.21,-2.63,-2.43,-2.74,-2.44,-2.41,-2.25,-2.05,-2.31,-2.05,-2.13,-2.1,-2.32,-2.43
Highest Stock Price,0.0,0.0,0.0,0.0,14.47,14.04,13.42,10.53,7.54,5.62,4.0,2.37,2.81,2.25,,,0.0,0.0,0.0,0.0,0.0,0.0,14.47,18.0,13.77,14.04,13.61,16.65,16.53,13.42,11.1,12.22,11.9,10.53,7.29,5.86,5.44,7.54,5.29,2.7,4.42,5.62,4.0,4.06,5.94,3.99,4.0,3.89,4.32,2.37,1.88,2.76,2.86,2.64,2.81,3.36,3.0,2.25,2.02
Lowest Stock Price,0.0,0.0,0.0,0.0,0.0,8.41,9.26,3.32,1.05,1.25,2.32,1.26,1.48,1.57,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,9.98,8.41,9.69,11.39,11.88,9.39,9.26,10.33,10.65,7.04,3.32,3.36,3.54,3.13,1.05,1.25,2.4,2.99,2.64,2.61,2.59,2.32,3.0,3.57,2.31,1.45,1.26,1.48,2.06,1.97,1.98,2.49,1.93,1.59,1.57
Tangibles book per share,0.0,0.0,0.0,0.0,6.97,6.08,6.13,4.95,3.18,1.58,0.03,0.14,-0.32,-0.07,-0.07,,0.0,0.0,0.0,0.0,0.0,0.39,6.08,5.15,5.3,5.66,6.08,6.35,6.52,6.41,6.13,5.96,6.13,6.02,4.95,4.43,4.7,4.61,3.18,1.37,1.5,1.21,1.58,1.14,1.05,0.65,0.03,-0.3,-0.58,0.53,0.14,-0.04,-0.09,-0.02,-0.32,0.07,-0.17,-0.19,-0.07
