Fiscal Period,Dec99,Dec00,Dec01,Dec02,Dec03,Dec04,Dec05,Dec06,Dec07,Dec08,Dec09,Dec10,Dec11,Dec12,Dec13,TTM/current,,Dec97,Dec98,Dec99,Dec00,Dec01,Mar02,Jun02,Sep02,Dec02,Mar03,Jun03,Sep03,Dec03,Mar04,Jun04,Sep04,Dec04,Mar05,Jun05,Sep05,Dec05,Mar06,Jun06,Sep06,Dec06,Mar07,Jun07,Sep07,Dec07,Mar08,Jun08,Sep08,Dec08,Mar09,Jun09,Sep09,Dec09,Mar10,Jun10,Sep10,Dec10,Mar11,Jun11,Sep11,Dec11,Mar12,Jun12,Sep12,Dec12,Mar13,Jun13,Sep13,Dec13
Net Foreign Currency Exchange Gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income From Continuing Operations,-0.117,-0.004,0.0,-0.249,-1.276,-2.516,-5.21,-5.984,-8.333,-10.768,-9.38,-10.67,-5.585,-8.199,-7.381,-7.380999999999999,,-0.004,-0.153,-0.117,-0.004,0.0,0.0,0.0,0.0,-0.249,0.0,0.0,0.0,-1.276,-1.562,-0.239,-0.451,-0.264,-1.148,-1.119,-1.18,-1.764,-1.055,-1.516,-1.439,-1.972,-1.845,-1.564,-1.739,-3.184,-1.805,-2.651,-3.086,-3.292,-2.994,-1.941,-2.295,-2.151,-3.426,-1.185,-2.774,-3.284,1.286,-1.607,-2.766,-1.195,-1.36,-2.354,-2.699,-1.787,-2.147,-1.836,-1.784,-1.614
"Depreciation, Depletion and Amortization",0.002,0.001,0.001,0.001,0.002,0.012,0.023,0.055,0.284,1.023,1.023,1.022,1.008,0.972,0.933,0.9339999999999999,,0.001,0.001,0.002,0.001,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.002,0.002,0.003,0.003,0.004,0.004,0.005,0.007,0.007,0.011,0.011,0.017,0.015,0.028,0.03,0.083,0.142,0.255,0.276,0.277,0.214,0.278,0.278,0.277,0.19,0.24,0.272,0.256,0.255,0.254,0.254,0.251,0.249,0.244,0.247,0.242,0.238,0.235,0.233,0.233,0.233
Change In Receivables,0.0,-0.001,-0.001,0.002,-0.015,-0.036,-0.05,0.037,-0.016,-0.042,0.058,0.032,0.019,0.006,0.001,0.001,,0.0,0.0,0.0,-0.001,-0.001,0.0,0.0,0.0,0.002,0.0,0.0,0.0,-0.015,-0.009,0.005,0.008,-0.04,-0.041,-0.029,0.062,-0.042,-0.002,-0.029,0.112,-0.044,0.035,-0.029,0.008,-0.03,0.031,-0.028,0.027,-0.073,-0.015,-0.067,0.176,-0.036,-0.021,0.042,0.0,0.011,0.007,-0.012,0.03,-0.005,0.006,-0.004,0.007,-0.003,0.004,-0.002,0.002,-0.003
Change In Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Change In Prepaid Assets,0.001,0.016,0.002,0.0,-0.007,-0.02,-0.002,-0.041,-0.12,-0.017,-0.021,-0.006,0.0,-0.044,0.014,0.014000000000000002,,0.0,-0.017,0.001,0.016,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007,-0.008,-0.053,0.024,0.016,0.012,-0.045,0.028,0.003,0.015,-0.046,-0.084,0.074,0.04,-0.516,0.132,0.223,0.024,-0.095,-0.008,0.061,0.036,-0.081,0.013,0.012,0.063,-0.107,0.004,0.035,0.063,-0.083,-0.059,0.0,0.0,-0.121,0.052,0.025,0.0,0.029,-0.059,0.044
Change In Payables And Accrued Expense,-0.002,-0.003,0.002,0.041,-0.004,-0.019,0.112,0.171,1.664,-1.352,-0.055,0.059,-0.232,0.125,-0.114,-0.114,,0.0,0.004,-0.002,-0.003,0.002,0.0,0.0,0.0,0.041,0.0,0.0,0.0,-0.004,0.154,-0.156,0.001,-0.018,-0.018,0.129,-0.104,0.106,-0.152,0.073,-0.004,0.255,0.02,0.607,0.734,0.303,-1.124,-0.385,0.593,-0.435,0.213,-0.416,-0.076,0.223,-0.005,0.088,-0.183,0.16,-0.032,-0.087,-0.006,-0.108,-0.001,0.156,-0.006,-0.026,0.01,-0.124,0.062,-0.062
Change In Working Capital,-0.001,0.0,0.004,0.044,0.121,-0.13,0.004,0.133,1.528,-1.412,-0.018,0.084,-0.248,0.087,-0.094,-0.094,,0.0,-0.013,-0.001,0.0,0.004,0.0,0.0,0.0,0.044,0.0,0.0,0.0,0.121,0.138,-0.24,0.028,-0.055,-0.047,0.02,-0.021,0.052,-0.139,-0.02,0.008,0.284,0.096,0.071,0.873,0.488,-1.068,-0.506,0.61,-0.447,0.234,-0.565,0.113,0.199,0.036,0.022,-0.179,0.206,0.039,-0.182,-0.035,-0.07,0.041,0.023,0.027,-0.003,0.044,-0.121,-0.002,-0.015
Change In DeferredTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash Flow from Discontinued Operations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash Flow from Others,0.030000000000000013,0.012,-0.001,0.14100000000000001,0.561,1.4169999999999998,1.004,0.9380000000000006,1.4470000000000005,2.102000000000001,0.9300000000000008,2.9039999999999995,-2.0389999999999997,-0.02999999999999961,0.42400000000000004,0.42299999999999977,,0.0,0.03699999999999999,0.030000000000000013,0.012,-0.001,0.0,0.0,0.0,0.14100000000000001,0.0,0.0,0.0,0.561,1.1989999999999998,0.032999999999999974,0.164,0.019000000000000024,0.5319999999999999,0.31799999999999995,0.02000000000000011,0.13600000000000018,0.0,0.40400000000000014,0.018000000000000245,0.5150000000000001,-1.3877787807814457e-16,0.427,0.22799999999999998,0.7910000000000004,0.10299999999999998,0.7129999999999999,0.6979999999999998,0.6539999999999999,0.4780000000000002,-0.18399999999999994,0.585,0.05199999999999988,1.4780000000000002,-1.0370000000000001,1.0710000000000002,1.3889999999999998,-3.2710000000000004,-0.33400000000000024,1.0250000000000001,-0.762,-0.27999999999999986,-0.015999999999999882,0.2609999999999998,0.005999999999999892,0.25499999999999995,0.006000000000000005,0.08199999999999985,0.07999999999999995
Cash Flow from Operations,-0.086,0.009,0.004,-0.063,-0.592,-1.217,-4.179,-4.858,-5.074,-9.055,-7.445,-6.66,-6.864,-7.17,-6.118,-6.117999999999999,,-0.003,-0.128,-0.086,0.009,0.004,0.0,0.0,0.0,-0.063,0.0,0.0,0.0,-0.592,-0.223,-0.443,-0.256,-0.296,-0.659,-0.776,-1.174,-1.569,-1.183,-1.121,-1.396,-1.158,-1.721,-1.036,-0.555,-1.763,-2.515,-2.168,-1.501,-2.871,-2.004,-2.412,-1.32,-1.71,-1.672,-1.928,-1.626,-1.434,-1.692,-1.869,-1.525,-1.778,-1.355,-2.1,-2.169,-1.546,-1.613,-1.718,-1.471,-1.316
"Purchase Of Property, Plant, Equipment",-0.001,0.0,0.0,-0.01,-0.16,-0.053,-0.162,-0.349,-9.195,-0.901,-0.004,-0.02,0.0,-0.033,0.0,0.0,,0.0,-0.003,-0.001,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,-0.16,-0.011,-0.011,0.0,-0.032,-0.008,-0.023,-0.051,-0.08,-0.006,-0.004,-0.12,-0.219,-0.235,-0.9,-3.366,-4.694,-0.897,0.038,-0.193,0.151,-0.08,-0.012,-0.001,0.089,-0.007,-0.003,-0.006,-0.004,0.0,0.0,0.0,0.0,-0.009,-0.002,-0.022,0.0,0.0,0.0,0.0,0.0
"Sale Of Property, Plant, Equipment",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.033,0.0,0.0,0.0,0.0,0.023,0.023,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023
Purchase Of Business,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sale Of Business,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Purchase Of Investment,0.0,0.0,0.0,0.0,-1.0,-3.036,-0.123,-0.212,0.0,-6.758,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-3.036,0.0,0.0,0.0,0.0,-0.123,-0.041,-0.014,-0.156,0.0,0.0,1.829,0.0,-1.829,0.0,0.0,-1.815,-4.943,0.0,-0.052,-0.061,0.113,0.0,-0.113,-0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sale Of Investment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.769,0.0,0.0,0.0,3.821,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.829,0.0,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Intangibles Purchase And Sale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash From Discontinued Investing Activities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash Flow from Investing,-0.001,0.0,0.0,-0.01,-1.16,-3.089,-0.284,-0.56,-7.424,-7.627,-0.117,4.941,3.782,0.019,0.017,0.017,,0.0,-0.003,-0.001,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,-1.16,-0.011,-0.024,-3.022,-0.032,-0.008,-0.036,-0.16,-0.08,-0.047,-0.018,-0.276,-0.219,1.594,-0.9,-3.426,-4.692,-0.864,-0.064,-6.849,0.151,-0.131,-0.012,-0.062,0.089,-0.007,-0.003,-0.045,4.996,3.821,0.0,-0.04,0.0,0.043,-0.002,-0.022,0.0,-0.006,0.0,0.0,0.023
Net Issuance of Stock,0.061,0.0,0.0,0.303,1.771,6.448,6.687,1.514,41.497,0.571,0.019,0.495,15.337,0.275,0.0,0.0,,0.0,0.128,0.061,0.0,0.0,0.0,0.0,0.0,0.303,0.0,0.0,0.0,1.771,5.931,0.448,0.005,0.063,0.042,0.512,0.18,5.953,1.147,0.367,0.0,0.0,0.0,31.586,0.0,9.912,0.812,-0.241,0.0,0.0,0.0,0.019,0.0,0.0,0.065,0.0,0.0,0.431,14.237,1.1,0.0,0.0,0.198,0.0,0.077,0.0,0.0,0.0,0.0,0.0
Net Issuance of Preferred Stock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Issuance of Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.815,-1.815,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.815,0.0,0.0,0.0,-1.815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash Flow for Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Financing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001000000000000112,-9.367506770274758e-17,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash Flow from Financing,0.061,0.0,0.0,0.303,1.771,6.448,6.687,1.514,41.497,2.387,-1.796,0.495,15.337,0.275,0.0,0.0,,0.0,0.128,0.061,0.0,0.0,0.0,0.0,0.0,0.303,0.0,0.0,0.0,1.771,5.931,0.448,0.005,0.063,0.042,0.512,0.18,5.953,1.147,0.367,0.0,0.0,0.0,31.586,0.0,9.912,0.812,-0.241,1.815,0.0,0.0,0.019,-1.815,0.0,0.065,0.0,0.0,0.431,14.237,1.1,0.0,0.0,0.198,0.0,0.077,0.0,0.0,0.0,0.0,0.0
Net Change in Cash,-0.026,0.009,0.004,0.229,0.019,2.142,2.223,-3.905,29.0,-14.295,-9.358,-1.223,12.255,-6.876,-6.101,-6.101,,-0.004,-0.003,-0.026,0.009,0.004,0.0,0.0,0.0,0.229,0.0,0.0,0.0,0.019,5.698,-0.018,-3.273,-0.265,-0.626,-0.301,-1.154,4.304,-0.083,-0.772,-1.673,-1.377,-0.126,29.65,-3.981,3.457,-2.567,-2.473,-6.535,-2.72,-2.135,-2.405,-3.198,-1.62,-1.615,-1.932,-1.67,3.993,16.366,-0.769,-1.564,-1.778,-1.115,-2.101,-2.114,-1.546,-1.619,-1.718,-1.471,-1.293
Free Cash Flow,-0.087,0.009,0.004,-0.073,-0.752,-1.27,-4.341,-5.207,-14.269,-9.956,-7.449,-6.68,-6.864,-7.203,-6.118,-6.117999999999999,,-0.003,-0.131,-0.087,0.009,0.004,0.0,0.0,0.0,-0.073,0.0,0.0,0.0,-0.752,-0.234,-0.454,-0.256,-0.32799999999999996,-0.667,-0.799,-1.2249999999999999,-1.649,-1.189,-1.125,-1.516,-1.377,-1.956,-1.936,-3.9210000000000003,-6.457,-3.412,-2.1300000000000003,-1.694,-2.72,-2.084,-2.424,-1.321,-1.621,-1.6789999999999998,-1.9309999999999998,-1.632,-1.438,-1.692,-1.869,-1.525,-1.778,-1.3639999999999999,-2.102,-2.191,-1.546,-1.613,-1.718,-1.471,-1.316
PE Ratio(ttm),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Price to Tangible Book,4.69,0.78,0.63,12.5,27.71,6.39,9.12,10.62,1.88,1.06,3.47,7.74,2.6,2.06,2.31,4.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,30.23,10.0,5.59,9.57,6.39,9.23,9.82,13.17,9.12,12.05,10.72,9.66,10.62,14.53,1.91,2.46,1.88,2.09,1.84,1.25,1.06,1.59,1.33,2.51,3.47,3.58,2.71,3.86,7.74,3.1,2.34,1.94,2.6,2.33,2.08,2.73,2.06,2.16,1.43,1.81,2.31
Price-to-Free-Cash-Flow ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS Ratio,37.5,6.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1111.11,,0.0,28.1,37.5,6.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EV-to-Revenue,61.21,7.91,6.47,1497.4,7971.63,4691.4,7478.15,4894.38,4170.27,466.5,4105.49,5363.19,1939.95,582.74,389.87,389.87,,0.0,43.76,61.21,7.91,6.47,0.0,601.92,1756.67,1497.4,2267.84,1488.27,3745.99,7971.63,6717.1,3600.09,7353.98,4691.4,6449.77,5948.6,6171.96,7478.15,9306.28,7638.92,5393.77,4894.38,8431.73,4028.53,6980.79,4170.27,4541.29,2721.69,1594.09,466.5,1998.35,1580.27,3283.16,4105.49,3132.63,2005.89,2774.78,5363.19,3910.97,2147.63,1199.42,1939.95,1020.39,786.8,1069.59,582.74,695.72,265.46,0.0,389.87
EV-to-EBITDA,0.0,0.0,106.75,0.0,2657.21,303.76,329.04,181.27,32.81,7.73,52.17,89.21,34.27,0.0,0.0,-4.46,,0.0,0.0,0.0,0.0,106.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2657.21,0.0,0.0,0.0,303.76,417.61,0.0,0.0,329.04,0.0,0.0,0.0,181.27,0.0,0.0,0.0,32.81,0.0,0.0,0.0,7.73,0.0,0.0,0.0,52.17,0.0,0.0,0.0,89.21,0.0,0.0,0.0,34.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EV-to-EBIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Earnings Yield (Joel Greenblatt),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forward Rate of Return,0.0,0.0,0.0,-0.96,-0.39,-1.14,-1.77,63.4,20.07,-21.76,-22.32,-19.02,-32.96,-43.06,0.0,-31.38,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.96,0.0,0.0,0.0,-0.39,0.0,0.0,0.0,-1.14,0.0,0.0,0.0,-1.77,0.0,-1.52,-1.68,63.4,-2.08,-3.18,-4.01,20.07,-7.48,-7.91,-10.29,-21.76,-13.27,-21.57,-33.28,-22.32,-12.77,-11.83,-18.01,-19.02,-33.77,-29.98,-21.09,-32.96,-32.37,-37.64,-32.34,-43.06,-40.78,-36.02,0.0,0.0
Shiller PE Ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.57,-9.02,-4.75,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.07,-6.57,-6.09,-4.11,-4.99,-9.02,-6.51,-4.82,-3.76,-4.75,-4.06,-3.3,-3.76,0.0,0.0,0.0,0.0,0.0
Market Cap,1.8562500000000002,0.3069,0.24750000000000003,7.75,48.112750000000005,44.6476,86.9076,64.37100000000001,75.616,28.450000000000003,64.46140000000001,97.5612,57.48,29.87,17.4,35.285,,0.0,1.31508,1.8562500000000002,0.3069,0.24750000000000003,0.65664,1.20384,5.27,7.75,11.3392,8.92962,26.2219,51.0587,73.152,41.962900000000005,68.8758,44.6476,59.846900000000005,60.984,68.23559999999999,86.9076,116.2404,95.46000000000001,72.24,64.37100000000001,63.726000000000006,66.5238,82.13231999999999,75.616,81.6725,68.25,43.4525,28.450000000000003,43.4716,34.0912,58.675200000000004,64.46140000000001,59.598000000000006,40.656000000000006,50.82000000000001,97.5612,81.4176,60.64139999999999,46.846199999999996,57.48,49.198,39.069,44.37,29.87,27.578999999999997,15.370000000000001,16.240000000000002,17.4
Enterprise Value,1.8362500000000002,0.27690000000000003,0.21350000000000002,7.487,47.829750000000004,42.2226,82.2596,63.62700000000001,45.873000000000005,8.397000000000006,53.37140000000001,91.1742,38.79899999999999,18.065,11.695999999999998,29.581,,0.0,1.31508,1.8562500000000002,0.3069,0.24750000000000003,0.65664,1.20384,5.27,7.487,11.3392,8.92962,26.2219,50.7757,67.171,36.0009,66.1858,42.2226,58.047900000000006,59.486000000000004,67.8916,82.2596,111.6754,91.667,70.119,63.62700000000001,63.10900000000001,36.2568,55.84631999999999,45.873000000000005,54.4955,43.547,27.099500000000003,8.397000000000006,31.9736,18.9632,45.964200000000005,53.37140000000001,50.12200000000001,38.11200000000001,49.946000000000005,91.1742,58.66459999999999,38.65739999999999,26.387199999999996,38.79899999999999,31.632,23.604000000000003,31.017999999999997,18.065,17.392999999999997,6.902000000000001,9.243000000000002,11.695999999999998
Net Cash (per share),0.0,0.01,0.01,0.04,0.01,0.22,0.36,0.03,1.25,0.84,0.4,0.14,0.61,0.37,0.17,0.17,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.01,0.55,0.55,0.24,0.22,0.16,0.12,0.02,0.36,0.36,0.29,0.16,0.03,0.02,1.49,1.11,1.25,1.14,1.05,0.66,0.84,0.42,0.62,0.48,0.4,0.31,0.05,-0.04,0.14,0.74,0.72,0.67,0.61,0.58,0.5,0.43,0.37,0.32,0.26,0.21,0.17
Net Current Asset Value (per share),0.0,0.01,0.01,0.04,0.01,0.22,0.37,0.04,1.25,0.84,0.4,0.14,0.61,0.37,0.17,0.17,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.01,0.56,0.55,0.24,0.22,0.17,0.13,0.03,0.37,0.36,0.3,0.16,0.04,0.02,1.49,1.11,1.25,1.14,1.05,0.66,0.84,0.42,0.63,0.48,0.4,0.32,0.05,-0.04,0.14,0.74,0.72,0.67,0.61,0.58,0.5,0.43,0.37,0.32,0.26,0.21,0.17
