,NSW ;  Passenger vehicles ;,NSW ;  Sports utility vehicles ;,NSW ;  Other vehicles ;,NSW ;  Total vehicles ;,Vic. ;  Passenger vehicles ;,Vic. ;  Sports utility vehicles ;,Vic. ;  Other vehicles ;,Vic. ;  Total vehicles ;,Qld ;  Passenger vehicles ;,Qld ;  Sports utility vehicles ;,Qld ;  Other vehicles ;,Qld ;  Total vehicles ;,SA ;  Passenger vehicles ;,SA ;  Sports utility vehicles ;,SA ;  Other vehicles ;,SA ;  Total vehicles ;,WA ;  Passenger vehicles ;,WA ;  Sports utility vehicles ;,WA ;  Other vehicles ;,WA ;  Total vehicles ;,Tas. ;  Passenger vehicles ;,Tas. ;  Sports utility vehicles ;,Tas. ;  Other vehicles ;,Tas. ;  Total vehicles ;,NT ;  Passenger vehicles ;,NT ;  Sports utility vehicles ;,NT ;  Other vehicles ;,NT ;  Total vehicles ;,ACT ;  Passenger vehicles ;,ACT ;  Sports utility vehicles ;,ACT ;  Other vehicles ;,ACT ;  Total vehicles ;,Aust. ;  Passenger vehicles ;,Aust. ;  Sports utility vehicles ;,Aust. ;  Other vehicles ;,Aust. ;  Total vehicles ;,NSW ;  Passenger vehicles ;,NSW ;  Sports utility vehicles ;,NSW ;  Other vehicles ;,NSW ;  Total vehicles ;,Vic. ;  Passenger vehicles ;,Vic. ;  Sports utility vehicles ;,Vic. ;  Other vehicles ;,Vic. ;  Total vehicles ;,Qld ;  Passenger vehicles ;,Qld ;  Sports utility vehicles ;,Qld ;  Other vehicles ;,Qld ;  Total vehicles ;,SA ;  Passenger vehicles ;,SA ;  Sports utility vehicles ;,SA ;  Other vehicles ;,SA ;  Total vehicles ;,WA ;  Passenger vehicles ;,WA ;  Sports utility vehicles ;,WA ;  Other vehicles ;,WA ;  Total vehicles ;,Tas. ;  Passenger vehicles ;,Tas. ;  Sports utility vehicles ;,Tas. ;  Other vehicles ;,Tas. ;  Total vehicles ;,NT ;  Passenger vehicles ;,NT ;  Sports utility vehicles ;,NT ;  Other vehicles ;,NT ;  Total vehicles ;,ACT ;  Passenger vehicles ;,ACT ;  Sports utility vehicles ;,ACT ;  Other vehicles ;,ACT ;  Total vehicles ;,Aust. ;  Passenger vehicles ;,Aust. ;  Sports utility vehicles ;,Aust. ;  Other vehicles ;,Aust. ;  Total vehicles ;,NSW ;  Passenger vehicles ;,NSW ;  Sports utility vehicles ;,NSW ;  Other vehicles ;,NSW ;  Total vehicles ;,Vic. ;  Passenger vehicles ;,Vic. ;  Sports utility vehicles ;,Vic. ;  Other vehicles ;,Vic. ;  Total vehicles ;,Qld ;  Passenger vehicles ;,Qld ;  Sports utility vehicles ;,Qld ;  Other vehicles ;,Qld ;  Total vehicles ;,SA ;  Passenger vehicles ;,SA ;  Sports utility vehicles ;,SA ;  Other vehicles ;,SA ;  Total vehicles ;,WA ;  Passenger vehicles ;,WA ;  Sports utility vehicles ;,WA ;  Other vehicles ;,WA ;  Total vehicles ;,Tas. ;  Passenger vehicles ;,Tas. ;  Sports utility vehicles ;,Tas. ;  Other vehicles ;,Tas. ;  Total vehicles ;,NT ;  Passenger vehicles ;,NT ;  Sports utility vehicles ;,NT ;  Other vehicles ;,NT ;  Total vehicles ;,ACT ;  Passenger vehicles ;,ACT ;  Sports utility vehicles ;,ACT ;  Other vehicles ;,ACT ;  Total vehicles ;,Aust. ;  Passenger vehicles ;,Aust. ;  Sports utility vehicles ;,Aust. ;  Other vehicles ;,Aust. ;  Total vehicles ;
35431.0,13002.0,1514.0,1957.0,16473.0,8850.0,917.0,1251.0,11018.0,5743.0,853.0,1530.0,8126.0,2238.0,233.0,439.0,2910.0,3522.0,623.0,907.0,5052.0,649.0,70.0,155.0,874.0,282.0,74.0,137.0,493.0,680.0,56.0,60.0,796.0,34966.0,4340.0,6436.0,45742.0,15753.0,1769.0,2827.0,20349.0,10915.0,1087.0,1853.0,13855.0,6879.0,1000.0,2091.0,9969.0,2736.0,268.0,592.0,3596.0,4053.0,661.0,1096.0,5810.0,891.0,84.0,211.0,1186.0,373.0,98.0,192.0,663.0,828.0,68.0,84.0,980.0,42429.0,5034.0,8945.0,56408.0,15444.0,1728.0,2794.0,19966.0,10798.0,1077.0,1904.0,13779.0,6889.0,1049.0,2094.0,10032.0,2723.0,282.0,602.0,3607.0,4036.0,656.0,1085.0,5777.0,888.0,80.0,210.0,1177.0,352.0,110.0,173.0,634.0,833.0,57.0,97.0,987.0,41963.0,5038.0,8959.0,55960.0
35462.0,15490.0,1634.0,2682.0,19806.0,10975.0,1060.0,1757.0,13792.0,6863.0,975.0,2019.0,9857.0,2935.0,265.0,544.0,3744.0,4031.0,674.0,1185.0,5890.0,675.0,70.0,173.0,918.0,351.0,82.0,181.0,614.0,823.0,56.0,105.0,984.0,42143.0,4816.0,8646.0,55605.0,15967.0,1776.0,2904.0,20647.0,11375.0,1146.0,1916.0,14436.0,7131.0,1070.0,2146.0,10348.0,3013.0,287.0,583.0,3883.0,4233.0,705.0,1171.0,6109.0,840.0,79.0,205.0,1125.0,375.0,98.0,196.0,669.0,874.0,62.0,122.0,1058.0,43808.0,5224.0,9242.0,58274.0,15786.0,1769.0,2836.0,20392.0,11069.0,1101.0,1904.0,14074.0,7002.0,1072.0,2105.0,10179.0,2783.0,285.0,604.0,3672.0,4046.0,661.0,1100.0,5807.0,866.0,82.0,208.0,1157.0,366.0,111.0,172.0,649.0,863.0,58.0,98.0,1019.0,42781.0,5139.0,9027.0,56948.0
35490.0,16377.0,1742.0,2960.0,21079.0,10851.0,1106.0,1961.0,13918.0,7294.0,1166.0,2178.0,10638.0,2774.0,250.0,640.0,3664.0,3770.0,609.0,1105.0,5484.0,681.0,102.0,215.0,998.0,396.0,100.0,153.0,649.0,907.0,51.0,86.0,1044.0,43050.0,5126.0,9298.0,57474.0,16225.0,1746.0,2867.0,20837.0,11292.0,1102.0,1953.0,14347.0,7077.0,1162.0,2092.0,10331.0,2787.0,280.0,683.0,3750.0,3888.0,663.0,1134.0,5685.0,854.0,92.0,235.0,1181.0,366.0,113.0,154.0,633.0,970.0,55.0,97.0,1122.0,43459.0,5214.0,9214.0,57887.0,16013.0,1793.0,2884.0,20690.0,11244.0,1111.0,1914.0,14269.0,7105.0,1102.0,2111.0,10317.0,2823.0,287.0,604.0,3714.0,4051.0,668.0,1107.0,5826.0,847.0,85.0,207.0,1139.0,377.0,113.0,170.0,660.0,888.0,58.0,100.0,1046.0,43348.0,5217.0,9097.0,57661.0
35521.0,15585.0,1799.0,2869.0,20253.0,10992.0,1117.0,1835.0,13944.0,6880.0,1153.0,1999.0,10032.0,2742.0,301.0,642.0,3685.0,3858.0,666.0,1053.0,5577.0,705.0,78.0,190.0,973.0,473.0,124.0,156.0,753.0,902.0,62.0,103.0,1067.0,42137.0,5300.0,8847.0,56284.0,16389.0,1841.0,2946.0,21177.0,11659.0,1119.0,1901.0,14679.0,7229.0,1181.0,2100.0,10510.0,2909.0,294.0,596.0,3799.0,4076.0,690.0,1098.0,5863.0,846.0,84.0,195.0,1125.0,401.0,121.0,157.0,679.0,865.0,61.0,96.0,1022.0,44374.0,5391.0,9089.0,58854.0,16115.0,1810.0,2922.0,20847.0,11311.0,1115.0,1928.0,14353.0,7182.0,1133.0,2109.0,10424.0,2838.0,292.0,598.0,3728.0,4051.0,679.0,1105.0,5836.0,836.0,86.0,207.0,1129.0,382.0,118.0,167.0,667.0,903.0,57.0,103.0,1062.0,43617.0,5290.0,9140.0,58047.0
35551.0,16267.0,2023.0,3291.0,21581.0,11412.0,1223.0,2116.0,14751.0,7198.0,1136.0,2222.0,10556.0,2684.0,317.0,633.0,3634.0,4130.0,704.0,1126.0,5960.0,681.0,106.0,247.0,1034.0,489.0,154.0,172.0,815.0,977.0,58.0,132.0,1167.0,43838.0,5721.0,9939.0,59498.0,15982.0,1932.0,2943.0,20856.0,11130.0,1096.0,1888.0,14115.0,7243.0,1093.0,2078.0,10414.0,2657.0,299.0,562.0,3518.0,4011.0,674.0,1032.0,5718.0,787.0,89.0,194.0,1071.0,393.0,140.0,169.0,703.0,886.0,57.0,112.0,1055.0,43089.0,5381.0,8979.0,57449.0,16160.0,1844.0,2945.0,20949.0,11313.0,1129.0,1949.0,14391.0,7246.0,1169.0,2109.0,10524.0,2849.0,301.0,589.0,3739.0,4066.0,699.0,1098.0,5863.0,836.0,87.0,209.0,1132.0,385.0,123.0,164.0,673.0,913.0,58.0,105.0,1076.0,43768.0,5410.0,9167.0,58345.0
35582.0,18924.0,2293.0,4278.0,25495.0,12341.0,1393.0,2994.0,16728.0,8830.0,1425.0,3365.0,13620.0,3357.0,405.0,835.0,4597.0,4530.0,885.0,1546.0,6961.0,792.0,98.0,273.0,1163.0,484.0,156.0,225.0,865.0,1076.0,52.0,124.0,1252.0,50334.0,6707.0,13640.0,70681.0,16187.0,1850.0,2976.0,21013.0,11276.0,1183.0,2031.0,14490.0,7403.0,1182.0,2156.0,10742.0,2909.0,325.0,570.0,3803.0,4183.0,678.0,1108.0,5969.0,835.0,88.0,201.0,1123.0,373.0,107.0,159.0,638.0,936.0,45.0,106.0,1087.0,44102.0,5457.0,9306.0,58866.0,16244.0,1908.0,2950.0,21102.0,11350.0,1172.0,1977.0,14499.0,7330.0,1211.0,2118.0,10659.0,2891.0,311.0,580.0,3782.0,4113.0,733.0,1093.0,5939.0,844.0,90.0,212.0,1145.0,389.0,128.0,162.0,680.0,925.0,61.0,106.0,1093.0,44087.0,5615.0,9197.0,58899.0
35612.0,16917.0,1755.0,2824.0,21496.0,11673.0,1144.0,2037.0,14854.0,7476.0,1207.0,1853.0,10536.0,2983.0,272.0,525.0,3780.0,4251.0,807.0,1001.0,6059.0,848.0,84.0,232.0,1164.0,367.0,114.0,152.0,633.0,1049.0,68.0,102.0,1219.0,45564.0,5451.0,8726.0,59741.0,16156.0,1768.0,2939.0,20863.0,11164.0,1200.0,2073.0,14437.0,7392.0,1284.0,2170.0,10846.0,2992.0,303.0,576.0,3870.0,4212.0,817.0,1124.0,6154.0,888.0,88.0,229.0,1204.0,378.0,133.0,170.0,681.0,949.0,67.0,101.0,1117.0,44131.0,5660.0,9383.0,59174.0,16422.0,2001.0,2946.0,21369.0,11489.0,1244.0,2007.0,14740.0,7448.0,1252.0,2136.0,10837.0,2973.0,321.0,574.0,3868.0,4194.0,774.0,1095.0,6063.0,851.0,94.0,214.0,1159.0,396.0,131.0,161.0,688.0,944.0,68.0,108.0,1121.0,44718.0,5886.0,9241.0,59845.0
35643.0,14969.0,2092.0,2655.0,19716.0,10814.0,1245.0,1740.0,13799.0,7068.0,1309.0,1826.0,10203.0,2804.0,332.0,486.0,3622.0,4120.0,679.0,924.0,5723.0,1015.0,105.0,213.0,1333.0,342.0,136.0,147.0,625.0,919.0,76.0,107.0,1102.0,42051.0,5974.0,8098.0,56123.0,15502.0,2216.0,2876.0,20593.0,11283.0,1303.0,1900.0,14486.0,7096.0,1317.0,2062.0,10474.0,2955.0,341.0,558.0,3854.0,4085.0,757.0,1062.0,5905.0,886.0,99.0,225.0,1210.0,390.0,151.0,154.0,695.0,937.0,83.0,107.0,1128.0,43133.0,6266.0,8945.0,58345.0,16674.0,2111.0,2943.0,21728.0,11727.0,1341.0,2032.0,15101.0,7593.0,1304.0,2161.0,11059.0,3081.0,334.0,576.0,3992.0,4298.0,814.0,1105.0,6217.0,856.0,101.0,214.0,1171.0,404.0,130.0,160.0,694.0,974.0,76.0,111.0,1160.0,45608.0,6211.0,9303.0,61122.0
35674.0,18030.0,2136.0,2965.0,23131.0,12609.0,1289.0,2062.0,15960.0,7769.0,1283.0,2132.0,11184.0,3279.0,331.0,559.0,4169.0,4465.0,829.0,978.0,6272.0,1013.0,138.0,202.0,1353.0,392.0,109.0,150.0,651.0,1070.0,99.0,122.0,1291.0,48627.0,6214.0,9170.0,64011.0,18782.0,2313.0,3037.0,24132.0,12564.0,1390.0,2113.0,16067.0,8209.0,1364.0,2209.0,11782.0,3262.0,359.0,617.0,4238.0,4478.0,956.0,1141.0,6575.0,869.0,163.0,224.0,1255.0,449.0,115.0,161.0,726.0,1206.0,88.0,119.0,1413.0,49820.0,6747.0,9621.0,66188.0,16934.0,2224.0,2949.0,22108.0,11994.0,1442.0,2053.0,15489.0,7759.0,1371.0,2195.0,11325.0,3185.0,349.0,585.0,4120.0,4411.0,843.0,1117.0,6371.0,856.0,111.0,213.0,1180.0,410.0,128.0,156.0,694.0,1008.0,83.0,112.0,1203.0,46557.0,6550.0,9382.0,62489.0
35704.0,17513.0,2535.0,2793.0,22841.0,13524.0,1671.0,2129.0,17324.0,7956.0,1515.0,2199.0,11670.0,3570.0,359.0,571.0,4500.0,5056.0,913.0,1137.0,7106.0,779.0,140.0,199.0,1118.0,435.0,149.0,162.0,746.0,1049.0,104.0,124.0,1277.0,49882.0,7386.0,9314.0,66582.0,16896.0,2448.0,2966.0,22309.0,12376.0,1734.0,2145.0,16255.0,7963.0,1470.0,2287.0,11720.0,3368.0,345.0,600.0,4314.0,4654.0,875.0,1122.0,6651.0,802.0,125.0,203.0,1130.0,426.0,136.0,158.0,719.0,1041.0,97.0,123.0,1261.0,47525.0,7230.0,9604.0,64359.0,17147.0,2327.0,2961.0,22434.0,12199.0,1528.0,2070.0,15798.0,7900.0,1442.0,2225.0,11567.0,3245.0,365.0,598.0,4208.0,4504.0,857.0,1118.0,6479.0,852.0,121.0,213.0,1186.0,415.0,128.0,152.0,695.0,1038.0,87.0,112.0,1237.0,47299.0,6856.0,9449.0,63603.0
35735.0,17303.0,2339.0,2835.0,22477.0,12652.0,1606.0,1939.0,16197.0,7734.0,1436.0,2143.0,11313.0,3394.0,383.0,558.0,4335.0,4471.0,841.0,1097.0,6409.0,1160.0,124.0,193.0,1477.0,370.0,129.0,169.0,668.0,1067.0,70.0,115.0,1252.0,48151.0,6928.0,9049.0,64128.0,17111.0,2281.0,2912.0,22303.0,12662.0,1567.0,2043.0,16272.0,7989.0,1425.0,2237.0,11651.0,3330.0,387.0,591.0,4308.0,4563.0,847.0,1133.0,6543.0,1169.0,127.0,193.0,1489.0,418.0,122.0,149.0,689.0,1081.0,76.0,107.0,1263.0,48322.0,6831.0,9365.0,64518.0,17242.0,2413.0,2992.0,22648.0,12280.0,1592.0,2091.0,15962.0,7976.0,1508.0,2247.0,11731.0,3250.0,380.0,613.0,4243.0,4552.0,864.0,1114.0,6529.0,849.0,129.0,214.0,1192.0,420.0,130.0,151.0,701.0,1057.0,89.0,111.0,1258.0,47626.0,7104.0,9533.0,64263.0
35765.0,17181.0,2488.0,3054.0,22723.0,12889.0,1644.0,2072.0,16605.0,8532.0,1581.0,2320.0,12433.0,3216.0,436.0,726.0,4378.0,4736.0,815.0,1233.0,6784.0,1594.0,125.0,227.0,1946.0,338.0,108.0,129.0,575.0,1124.0,108.0,97.0,1329.0,49610.0,7305.0,9858.0,66773.0,16846.0,2458.0,3059.0,22363.0,11809.0,1554.0,2091.0,15455.0,7842.0,1483.0,2264.0,11589.0,3121.0,384.0,637.0,4143.0,4471.0,764.0,1126.0,6362.0,878.0,128.0,217.0,1223.0,393.0,111.0,142.0,646.0,1081.0,97.0,104.0,1282.0,46441.0,6981.0,9640.0,63062.0,17180.0,2477.0,3055.0,22712.0,12222.0,1630.0,2123.0,15974.0,7952.0,1557.0,2265.0,11775.0,3211.0,396.0,630.0,4236.0,4549.0,873.0,1112.0,6534.0,848.0,134.0,219.0,1202.0,423.0,133.0,154.0,709.0,1068.0,89.0,111.0,1269.0,47454.0,7289.0,9668.0,64411.0
35796.0,13677.0,2063.0,2154.0,17894.0,9484.0,1431.0,1394.0,12309.0,6466.0,1496.0,1646.0,9608.0,2560.0,387.0,441.0,3388.0,3883.0,833.0,851.0,5567.0,640.0,126.0,162.0,928.0,287.0,116.0,105.0,508.0,853.0,64.0,76.0,993.0,37850.0,6516.0,6829.0,51195.0,17145.0,2547.0,3164.0,22856.0,12110.0,1730.0,2106.0,15945.0,8047.0,1895.0,2309.0,12252.0,3204.0,480.0,622.0,4306.0,4695.0,941.0,1087.0,6722.0,888.0,160.0,229.0,1277.0,393.0,156.0,149.0,698.0,1069.0,83.0,105.0,1257.0,47550.0,7991.0,9771.0,65312.0,17038.0,2540.0,3153.0,22731.0,12131.0,1654.0,2166.0,15951.0,7871.0,1598.0,2289.0,11757.0,3161.0,413.0,646.0,4219.0,4524.0,894.0,1119.0,6537.0,859.0,136.0,227.0,1223.0,426.0,137.0,161.0,725.0,1075.0,91.0,110.0,1275.0,47085.0,7463.0,9870.0,64418.0
35827.0,16780.0,2400.0,3031.0,22211.0,11805.0,1449.0,2093.0,15347.0,7793.0,1385.0,2207.0,11385.0,2998.0,330.0,629.0,3957.0,4293.0,884.0,1113.0,6290.0,646.0,118.0,223.0,987.0,460.0,129.0,165.0,754.0,988.0,85.0,101.0,1174.0,45763.0,6780.0,9562.0,62105.0,17536.0,2612.0,3264.0,23412.0,12318.0,1559.0,2269.0,16146.0,8081.0,1505.0,2346.0,11932.0,3120.0,354.0,686.0,4159.0,4548.0,924.0,1099.0,6571.0,813.0,131.0,264.0,1208.0,495.0,156.0,179.0,830.0,1055.0,92.0,115.0,1262.0,47965.0,7333.0,10222.0,65520.0,16958.0,2609.0,3268.0,22835.0,12138.0,1675.0,2211.0,16024.0,7816.0,1636.0,2323.0,11775.0,3146.0,431.0,659.0,4235.0,4515.0,928.0,1136.0,6580.0,886.0,137.0,236.0,1259.0,433.0,142.0,172.0,747.0,1080.0,94.0,110.0,1284.0,46972.0,7653.0,10114.0,64738.0
35855.0,18171.0,2924.0,3585.0,24680.0,12641.0,1919.0,2454.0,17014.0,8015.0,1779.0,2493.0,12287.0,3192.0,447.0,697.0,4336.0,4552.0,984.0,1203.0,6739.0,885.0,135.0,205.0,1225.0,508.0,138.0,234.0,880.0,1159.0,106.0,119.0,1384.0,49123.0,8432.0,10990.0,68545.0,16770.0,2652.0,3132.0,22553.0,11869.0,1751.0,2255.0,15875.0,7263.0,1583.0,2148.0,10994.0,2980.0,438.0,678.0,4096.0,4203.0,948.0,1103.0,6254.0,950.0,120.0,221.0,1291.0,448.0,135.0,193.0,777.0,1072.0,104.0,111.0,1287.0,45556.0,7731.0,9840.0,63127.0,17052.0,2667.0,3375.0,23095.0,12332.0,1700.0,2251.0,16283.0,7859.0,1665.0,2365.0,11889.0,3196.0,450.0,668.0,4314.0,4557.0,965.0,1159.0,6681.0,922.0,137.0,243.0,1303.0,444.0,145.0,182.0,771.0,1089.0,100.0,111.0,1300.0,47452.0,7830.0,10354.0,65636.0
35886.0,15263.0,2544.0,3412.0,21219.0,11221.0,1711.0,2131.0,15063.0,7266.0,1548.0,2235.0,11049.0,3073.0,479.0,678.0,4230.0,4055.0,968.0,1148.0,6171.0,692.0,135.0,249.0,1076.0,478.0,129.0,167.0,774.0,1011.0,93.0,116.0,1220.0,43059.0,7607.0,10136.0,60802.0,16551.0,2742.0,3839.0,23132.0,12384.0,1728.0,2333.0,16445.0,7852.0,1660.0,2550.0,12061.0,3308.0,511.0,690.0,4510.0,4534.0,1038.0,1303.0,6875.0,923.0,138.0,264.0,1325.0,416.0,142.0,191.0,748.0,1102.0,99.0,122.0,1323.0,47071.0,8058.0,11292.0,66420.0,17325.0,2708.0,3455.0,23487.0,12668.0,1733.0,2284.0,16685.0,8002.0,1678.0,2409.0,12089.0,3303.0,468.0,673.0,4444.0,4655.0,996.0,1181.0,6832.0,959.0,139.0,246.0,1343.0,455.0,144.0,190.0,788.0,1104.0,105.0,112.0,1322.0,48469.0,7971.0,10550.0,66990.0
35916.0,16876.0,2785.0,3737.0,23398.0,12546.0,1821.0,2429.0,16796.0,7529.0,1670.0,2550.0,11749.0,3282.0,481.0,683.0,4446.0,4985.0,1007.0,1278.0,7270.0,789.0,162.0,294.0,1245.0,518.0,154.0,190.0,862.0,947.0,113.0,108.0,1168.0,47472.0,8193.0,11269.0,66934.0,17236.0,2740.0,3467.0,23443.0,12954.0,1755.0,2296.0,17005.0,7918.0,1665.0,2486.0,12070.0,3436.0,470.0,627.0,4533.0,4966.0,1026.0,1187.0,7179.0,932.0,147.0,234.0,1313.0,426.0,141.0,192.0,759.0,893.0,117.0,103.0,1112.0,48761.0,8060.0,10593.0,67414.0,17642.0,2726.0,3485.0,23853.0,13006.0,1763.0,2300.0,17069.0,8163.0,1674.0,2437.0,12273.0,3419.0,480.0,669.0,4569.0,4771.0,1006.0,1192.0,6969.0,983.0,140.0,246.0,1369.0,460.0,140.0,192.0,793.0,1116.0,110.0,114.0,1339.0,49560.0,8040.0,10635.0,68235.0
35947.0,22643.0,3724.0,5181.0,31548.0,16085.0,2282.0,3463.0,21830.0,11073.0,2385.0,4081.0,17539.0,4235.0,655.0,985.0,5875.0,5743.0,1307.0,1680.0,8730.0,1145.0,162.0,333.0,1640.0,713.0,244.0,272.0,1229.0,1335.0,148.0,125.0,1608.0,62972.0,10907.0,16120.0,89999.0,18827.0,2957.0,3494.0,25278.0,14030.0,1854.0,2279.0,18164.0,9040.0,1914.0,2533.0,13487.0,3534.0,497.0,672.0,4704.0,4967.0,997.0,1171.0,7136.0,1167.0,146.0,234.0,1546.0,538.0,148.0,196.0,882.0,1134.0,116.0,104.0,1354.0,53237.0,8630.0,10684.0,72551.0,17948.0,2737.0,3482.0,24168.0,13242.0,1778.0,2306.0,17326.0,8277.0,1663.0,2451.0,12391.0,3490.0,485.0,664.0,4638.0,4854.0,998.0,1188.0,7040.0,988.0,141.0,244.0,1373.0,456.0,137.0,190.0,783.0,1117.0,112.0,114.0,1342.0,50372.0,8051.0,10638.0,69060.0
35977.0,19584.0,2480.0,3232.0,25296.0,14043.0,1615.0,2290.0,17948.0,8630.0,1498.0,2110.0,12238.0,3910.0,445.0,677.0,5032.0,5015.0,951.0,1062.0,7028.0,938.0,145.0,265.0,1348.0,435.0,106.0,154.0,695.0,1208.0,108.0,139.0,1455.0,53763.0,7348.0,9929.0,71040.0,18641.0,2405.0,3323.0,24369.0,13567.0,1696.0,2299.0,17562.0,8505.0,1599.0,2401.0,12506.0,3806.0,477.0,689.0,4973.0,4964.0,969.0,1182.0,7115.0,950.0,145.0,262.0,1356.0,426.0,128.0,169.0,723.0,1100.0,116.0,136.0,1351.0,51958.0,7536.0,10460.0,69954.0,18146.0,2770.0,3472.0,24388.0,13324.0,1789.0,2308.0,17421.0,8302.0,1662.0,2463.0,12427.0,3486.0,478.0,662.0,4626.0,4872.0,980.0,1166.0,7018.0,967.0,142.0,243.0,1352.0,446.0,135.0,184.0,765.0,1099.0,112.0,114.0,1326.0,50644.0,8069.0,10611.0,69324.0
36008.0,17328.0,2588.0,3209.0,23125.0,12495.0,1738.0,2167.0,16400.0,8090.0,1400.0,2097.0,11587.0,3198.0,448.0,567.0,4213.0,4520.0,862.0,934.0,6316.0,979.0,146.0,211.0,1336.0,390.0,100.0,197.0,687.0,1074.0,92.0,110.0,1276.0,48074.0,7374.0,9492.0,64940.0,18033.0,2723.0,3454.0,24210.0,13164.0,1841.0,2332.0,17337.0,8124.0,1441.0,2364.0,11930.0,3335.0,477.0,652.0,4463.0,4789.0,951.0,1100.0,6840.0,886.0,138.0,230.0,1253.0,452.0,118.0,201.0,771.0,1092.0,101.0,107.0,1300.0,49875.0,7790.0,10440.0,68105.0,18179.0,2816.0,3472.0,24466.0,13266.0,1798.0,2323.0,17387.0,8243.0,1670.0,2481.0,12394.0,3412.0,463.0,664.0,4539.0,4810.0,963.0,1135.0,6907.0,924.0,143.0,241.0,1308.0,432.0,136.0,179.0,748.0,1068.0,112.0,114.0,1295.0,50334.0,8101.0,10610.0,69045.0
36039.0,17136.0,2964.0,3407.0,23507.0,12671.0,1672.0,2279.0,16622.0,7408.0,1651.0,2378.0,11437.0,3042.0,400.0,581.0,4023.0,4163.0,855.0,1010.0,6028.0,917.0,123.0,230.0,1270.0,326.0,140.0,144.0,610.0,948.0,132.0,110.0,1190.0,46611.0,7937.0,10139.0,64687.0,17839.0,3185.0,3532.0,24556.0,12532.0,1832.0,2350.0,16714.0,7759.0,1691.0,2520.0,11970.0,3198.0,431.0,628.0,4258.0,4077.0,950.0,1130.0,6156.0,831.0,145.0,238.0,1214.0,381.0,144.0,160.0,685.0,1054.0,115.0,112.0,1281.0,47671.0,8492.0,10671.0,66834.0,18000.0,2854.0,3492.0,24346.0,13074.0,1798.0,2358.0,17229.0,8099.0,1677.0,2504.0,12280.0,3286.0,443.0,668.0,4398.0,4677.0,946.0,1106.0,6729.0,871.0,143.0,238.0,1252.0,416.0,138.0,177.0,731.0,1030.0,112.0,114.0,1256.0,49453.0,8112.0,10656.0,68221.0
36069.0,17516.0,2521.0,3119.0,23156.0,13495.0,1574.0,2264.0,17333.0,7485.0,1665.0,2270.0,11420.0,3163.0,411.0,598.0,4172.0,4558.0,884.0,1053.0,6495.0,818.0,135.0,225.0,1178.0,386.0,168.0,168.0,722.0,896.0,105.0,106.0,1107.0,48317.0,7463.0,9803.0,65583.0,17491.0,2660.0,3364.0,23515.0,12842.0,1671.0,2360.0,16873.0,7809.0,1738.0,2431.0,11978.0,3053.0,417.0,659.0,4129.0,4390.0,900.0,1093.0,6384.0,852.0,129.0,242.0,1222.0,398.0,159.0,166.0,723.0,915.0,102.0,108.0,1125.0,47751.0,7775.0,10424.0,65950.0,17672.0,2871.0,3532.0,24074.0,12813.0,1789.0,2406.0,17007.0,7923.0,1692.0,2527.0,12141.0,3156.0,427.0,669.0,4253.0,4519.0,936.0,1088.0,6543.0,826.0,142.0,234.0,1202.0,400.0,142.0,176.0,718.0,992.0,111.0,114.0,1217.0,48299.0,8110.0,10745.0,67155.0
36100.0,18479.0,3373.0,3954.0,25806.0,13444.0,1967.0,2493.0,17904.0,7892.0,1902.0,2858.0,12652.0,3279.0,421.0,731.0,4431.0,4368.0,981.0,1007.0,6356.0,855.0,147.0,220.0,1222.0,344.0,141.0,213.0,698.0,950.0,121.0,137.0,1208.0,49611.0,9053.0,11613.0,70277.0,17465.0,3143.0,3882.0,24490.0,12968.0,1887.0,2480.0,17335.0,7900.0,1872.0,2814.0,12586.0,3018.0,419.0,752.0,4189.0,4389.0,969.0,1026.0,6384.0,800.0,143.0,227.0,1170.0,367.0,137.0,185.0,689.0,951.0,129.0,117.0,1197.0,47859.0,8699.0,11482.0,68040.0,17331.0,2866.0,3577.0,23774.0,12630.0,1776.0,2457.0,16863.0,7798.0,1710.0,2540.0,12049.0,3065.0,418.0,661.0,4145.0,4396.0,933.0,1081.0,6410.0,799.0,143.0,229.0,1171.0,389.0,146.0,178.0,713.0,960.0,110.0,113.0,1183.0,47368.0,8102.0,10837.0,66307.0
36130.0,17869.0,2953.0,3471.0,24293.0,14323.0,2066.0,2395.0,18784.0,8828.0,1904.0,2550.0,13282.0,3279.0,482.0,716.0,4477.0,4768.0,1078.0,1216.0,7062.0,1290.0,175.0,245.0,1710.0,369.0,153.0,177.0,699.0,1019.0,130.0,106.0,1255.0,51745.0,8941.0,10876.0,71562.0,17233.0,2928.0,3500.0,23661.0,12736.0,1876.0,2425.0,17036.0,8024.0,1732.0,2504.0,12260.0,3139.0,418.0,625.0,4182.0,4374.0,958.0,1082.0,6413.0,735.0,173.0,230.0,1139.0,443.0,153.0,184.0,780.0,963.0,111.0,114.0,1188.0,47646.0,8349.0,10663.0,66658.0,17093.0,2849.0,3598.0,23540.0,12587.0,1765.0,2493.0,16845.0,7743.0,1726.0,2529.0,11998.0,3028.0,419.0,645.0,4091.0,4333.0,932.0,1078.0,6343.0,794.0,144.0,226.0,1164.0,388.0,151.0,179.0,718.0,934.0,109.0,112.0,1155.0,46901.0,8094.0,10860.0,65854.0
